name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Forest & Ray Dental Practice,208124613,Forest & Ray Dental Practice,WC1A 2JD,West End London (WC1A),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.forest-ray.com,
Museum Dental Suites,02070 361999,Museum Dental Suites,WC1B 3BN,West End London (WC1B),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.museumdentalsuites.co.uk,
Royal National ENT and Eastman Dental Hospitals,02034 567890,Royal National ENT and Eastman Dental Hospitals,WC1E 6DG,West End London (WC1E),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
EVD Kings Cross,0776 5222273,EVD Kings Cross,WC1H 8DG,West End London (WC1H),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Raval Dental Surgery,02078 373478,Raval Dental Surgery,WC1H 8DG,West End London (WC1H),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Tavistock Dental,02078 375638,Tavistock Dental,WC1H 9RU,West End London (WC1H),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bond Dental London (BLOOMSBURY),02073 884124,Bond Dental London (BLOOMSBURY),WC1N 1AG,West End London (WC1N),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Travers Dental Practice,0798 4598773,Travers Dental Practice,WC1N 1AG,West End London (WC1N),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Greg Gossayn Dental Surgery,02078 331024,Greg Gossayn Dental Surgery,WC1N 1RE,West End London (WC1N),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Conduit Dental Centre,02074 054030,Conduit Dental Centre,WC1N 3NG,West End London (WC1N),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.execudent.co.uk,
Malmin Orthodontic Group Ltd,02072 420088,Malmin Orthodontic Group Ltd,WC1V 6LS,West End London (WC1V),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smilepod Holborn,0782 5603878,Smilepod Holborn,WC1V 6NX,West End London (WC1V),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smilepod.co.uk,
Dr Clear Aligners Ltd,0786 4558147,Dr Clear Aligners Ltd,WC1X 8BP,West End London (WC1X),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Skin & Smile Dental,0793 9815783,Skin & Smile Dental,WC1X 8LR,West End London (WC1X),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.london-dentists.com,
Kings Cross Dental Practice,02078 370773,Kings Cross Dental Practice,WC1X 8QD,West End London (WC1X),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Grays Inn Road Dental Surgery,0788 1103546,Grays Inn Road Dental Surgery,WC1X 8RH,West End London (WC1X),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Implant and Aesthetic Center Limited,02072 420037,Implant and Aesthetic Center Limited,WC1X 8TR,West End London (WC1X),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sardinia House Dental Practice,02074 048600,Sardinia House Dental Practice,WC2A 3LZ,West End London (WC2A),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sardiniahousedentalpractice.com,website unreachable
18a Charing Cross Dental Surgery,02072 405250,18a Charing Cross Dental Surgery,WC2H 0HR,West End London (WC2H),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Centre Point Dental Practice,02078 369259,Centre Point Dental Practice,WC2H 0LA,West End London (WC2H),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.centrepointdental.co.uk,
Leicester Square Dental Clinic,02074 378520,Leicester Square Dental Clinic,WC2H 7BA,West End London (WC2H),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Covent Garden Dental Spa,02078 369107,Covent Garden Dental Spa,WC2H 8DR,West End London (WC2H),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://coventgardendentalspa.co.uk,
Drury Lane Dental Care,02072 401778,Drury Lane Dental Care,WC2H 9AA,West End London (WC2H),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dldc.co.uk,
The Gentle Dentist,02073 950520,The Gentle Dentist,WC2H 9HE,West End London (WC2H),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thegentledentist.co.uk,
The Covent Garden Dental Practice,02078 369161,The Covent Garden Dental Practice,WC2H 9SD,West End London (WC2H),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cgdp.com,
Covent Garden Dental Clinic,02078 361847,Covent Garden Dental Clinic,WC2N 4HS,West End London (WC2N),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.coventgardendental.com,
Your Dental Practice,02073 538110,Your Dental Practice,WC2R 3JF,West End London (WC2R),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
