practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Forest & Ray Dental Practice,,"8f Gilbert Place, London",WC1A 2JD,West End London (WC1A),208124613,https://www.forest-ray.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Forest & Ray Ltd,CQC directory (auto-downloaded),
Bloomsbury Dental Practice,,"7 Bury Place, Bloomsbury, London",WC1A 2LA,West End London (WC1A),,https://www.bloomsburydental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Ian Cline,CQC directory (auto-downloaded),
Museum Dental Suites,,"70 Great Russell Street, London",WC1B 3BN,West End London (WC1B),02070 361999,https://www.museumdentalsuites.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Abdulwahab Raad Shakir,CQC directory (auto-downloaded),
The Eastman Clinical Suite,,"Rockerfeller Building, 21 University Street, London",WC1E 6DE,West End London (WC1E),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The University College London Hospitals Charitable Foundation,CQC directory (auto-downloaded),
Royal National ENT and Eastman Dental Hospitals,,"47-49 Huntley Street, London",WC1E 6DG,West End London (WC1E),02034 567890,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,University College London Hospitals NHS Foundation Trust,CQC directory (auto-downloaded),
EVD Kings Cross,,"86 Cromer Street, London",WC1H 8DG,West End London (WC1H),0776 5222273,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,EVD Kingscross LTD,CQC directory (auto-downloaded),
Raval Dental Surgery,,"86 Cromer Street, London",WC1H 8DG,West End London (WC1H),02078 373478,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,East Village Dental Partnership,CQC directory (auto-downloaded),
Tavistock Dental,,"16 Tavistock Place, Bloomsbury, London",WC1H 9RU,West End London (WC1H),02078 375638,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Tavistock Dental,CQC directory (auto-downloaded),
Bond Dental London (BLOOMSBURY),,"96 Marchmont Street, Bloomsbury, London",WC1N 1AG,West End London (WC1N),02073 884124,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kevom Ltd,CQC directory (auto-downloaded),
Travers Dental Practice,,"96 Marchmont Street, London",WC1N 1AG,West End London (WC1N),0798 4598773,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr  Kevaal Vijaykumar Patel,CQC directory (auto-downloaded),
Greg Gossayn Dental Surgery,,"71 Marchmont Street, London",WC1N 1RE,West End London (WC1N),02078 331024,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Gregory Gossayn,CQC directory (auto-downloaded),
Land Of Smiles Clinic,,"2-3, North Mews, London",WC1N 2JP,West End London (WC1N),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Land Of Smiles Ltd,CQC directory (auto-downloaded),
Conduit Dental Centre,,"41 Lambs Conduit Street, Holborn, London",WC1N 3NG,West End London (WC1N),02074 054030,https://www.execudent.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Execudent Limited,CQC directory (auto-downloaded),
Malmin Dental - Coombe Springs Management Limited,,"79-80, High Holborn, London",WC1V 6LS,West End London (WC1V),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Coombe Springs Management Ltd,CQC directory (auto-downloaded),
Malmin Orthodontic Group Ltd,Malmin Orthodontics Holborn,"79-80, High Holborn, London",WC1V 6LS,West End London (WC1V),02072 420088,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Malmin Orthodontic Group Limited,CQC directory (auto-downloaded),
Smilepod Holborn,,"Eagle House, 16 Procter Street, London",WC1V 6NX,West End London (WC1V),0782 5603878,https://www.smilepod.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile Pod Limited,CQC directory (auto-downloaded),
