name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Ruh Dental (Notting Hill Gate) Limited,02036 218065,Ruh Dental (Notting Hill Gate) Limited,W11 3LF,West London (W11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.theneemtree.co.uk,
The Ealing Dental Practice,02085 672235,The Ealing Dental Practice,W13 8RY,West London (W13),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.ealingdental.com,
Dental Beauty Northfields,02088 404999,Dental Beauty Northfields,W13 9QU,West London (W13),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.dentalbeautynorthfields.co.uk,
Wimpole Dental Office,02075 805011,Wimpole Dental Office,W1G 8GF,West London (W1G),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.wimpoledentaloffice.com,
Smart Dental and Aesthetic,0779 2836986,Smart Dental and Aesthetic,W1H 1QH,West London (W1H),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.smartdentalclinic.co.uk,
"Premium Dental Hygiene Services, Marylebone",02072 243434,"Premium Dental Hygiene Services, Marylebone",W1U 2AU,West London (W1U),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.premiumdentalhygiene.co.uk,
the a.b.c smile,0792 1844948,the a.b.c smile,W1W 7SF,West London (W1W),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.abc.dental,
Cambridge Court Dental Centre,02072 623334,Cambridge Court Dental Centre,W2 1UL,West London (W2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.cambridgecourtdental.co.uk,
Perfect Smile Healthcare SDS,02089 932233,Perfect Smile Healthcare SDS,W3 6NP,West London (W3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.perfectsmile-dental.com,
Chiswick Dental and Implant Clinic,02089 946202,Chiswick Dental and Implant Clinic,W4 4PU,West London (W4),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.chiswickdental.co.uk,
Shirland Dental Practice,0788 2171920,Shirland Dental Practice,W9 2BT,West London (W9),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.shirlanddentalpractice.com,
