name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Ruh Dental (Notting Hill Gate) Limited,02036 218065,Ruh Dental (Notting Hill Gate) Limited,W11 3LF,West London (W11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.theneemtree.co.uk,
Wimpole Dental Office,02075 805011,Wimpole Dental Office,W1G 8GF,West London (W1G),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.wimpoledentaloffice.com,
"Premium Dental Hygiene Services, Marylebone",02072 243434,"Premium Dental Hygiene Services, Marylebone",W1U 2AU,West London (W1U),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.premiumdentalhygiene.co.uk,
Cambridge Court Dental Centre,02072 623334,Cambridge Court Dental Centre,W2 1UL,West London (W2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.cambridgecourtdental.co.uk,
Perfect Smile Healthcare SDS,02089 932233,Perfect Smile Healthcare SDS,W3 6NP,West London (W3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.perfectsmile-dental.com,
Chiswick Dental and Implant Clinic,02089 946202,Chiswick Dental and Implant Clinic,W4 4PU,West London (W4),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.chiswickdental.co.uk,
Shirland Dental Practice,0788 2171920,Shirland Dental Practice,W9 2BT,West London (W9),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.shirlanddentalpractice.com,
All Smiles Clinic,02077 278328,All Smiles Clinic,W11 1HA,West London (W11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Keep Smiling UK,02072 290752,Keep Smiling UK,W11 2RN,West London (W11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ghauri Dental Centre - Notting Hill Gate,02072 297071,Ghauri Dental Centre - Notting Hill Gate,W11 2SE,West London (W11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ghauridentalcentre.com,
Bond Dental London (NOTTING HILL),02077 274795,Bond Dental London (NOTTING HILL),W11 3HL,West London (W11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
42 The Dental Practice,02072 295542,42 The Dental Practice,W11 3HN,West London (W11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr Seema Bahl Dental Practice,02077 278370,Dr Seema Bahl Dental Practice,W11 3JE,West London (W11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Addison Place Dental Practice,02076 021856,Addison Place Dental Practice,W11 4RJ,West London (W11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.addisonplace.co.uk,
The Holland Park Dentist,02077 275810,The Holland Park Dentist,W11 4UE,West London (W11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smilestyledental.co.uk,
Holland Park Dental Surgery,02076 034155,Holland Park Dental Surgery,W11 4UH,West London (W11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hollandparkdental.co.uk,
Ghauri Dental Centre - Shepherds Bush,02087 434065,Ghauri Dental Centre - Shepherds Bush,W12 0LU,West London (W12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.ghauridentalcentre.com,
Hammersmith Orthodontic Practice (MakingSmiles),02080 599586,Hammersmith Orthodontic Practice (MakingSmiles),W12 0LU,West London (W12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hammersmithorthodontics.co.uk,
Canberra Dental Practice,02070 182360,Canberra Dental Practice,W12 7DA,West London (W12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
DS Dental Studio,02031 740667,DS Dental Studio,W12 7GA,West London (W12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Bush Dental Clinic,02087 430585,The Bush Dental Clinic,W12 7JA,West London (W12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.thebushdentalclinic.co.uk,
Mr G Lai & Associates - Shepherds Bush,02087 490171,Mr G Lai & Associates - Shepherds Bush,W12 7LJ,West London (W12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr Amish Jessa,02087 499547,Dr Amish Jessa,W12 7NU,West London (W12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental W12,02087 433534,Dental W12,W12 8HD,West London (W12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Envysmile Dental,0784 6740221,Envysmile Dental,W12 8QQ,West London (W12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Centre,02087 403021,Dental Centre,W12 9AH,West London (W12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
International Dental Centre London,02087 431509,International Dental Centre London,W12 9RB,West London (W12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smileclinic-idcl.co.uk,website unreachable
Orthosmile Kensington,02076 022200,Orthosmile Kensington,W14 0BJ,West London (W14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.orthosmile.co.uk,
Kings Dental Clinic,02076 035211,Kings Dental Clinic,W14 0SH,West London (W14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.kingsdentalclinic.co.uk,
ARK Dental Practice,02076 037255,ARK Dental Practice,W14 0SP,West London (W14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile Kensington,0771 3237764,Smile Kensington,W14 8EZ,West London (W14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Kensington Clinic,02076 033008,The Kensington Clinic,W14 8EZ,West London (W14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thekensingtonclinic.com,
London Medical Suites Ltd,0752 1799594,London Medical Suites Ltd,W14 8QA,West London (W14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
One Dental Kensington Ltd,0794 0381047,One Dental Kensington Ltd,W14 8QZ,West London (W14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bond Dental London (KENSINGTON),02073 730007,Bond Dental London (KENSINGTON),W14 9NH,West London (W14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
West Kensington NHS Dental Practice,02073 811922,West Kensington NHS Dental Practice,W14 9NL,West London (W14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr. Omid Sobhani,02079 357343,Dr. Omid Sobhani,W1G 6AL,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shakib & Neale Ltd T/A Harley Street Maxillofacial Clinic,02079 358627,Shakib & Neale Ltd T/A Harley Street Maxillofacial Clinic,W1G 6AL,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
99 Harley Street,02072 241999,99 Harley Street,W1G 6AQ,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cunnington Endodontics - Harley Street,02072 243670,Cunnington Endodontics - Harley Street,W1G 6AQ,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cunningtonendodontics.co.uk,
This is IT Dental,0779 6693535,This is IT Dental,W1G 6AQ,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pro Dental Clinic,02030 264402,Pro Dental Clinic,W1G 6AS,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.prodentalclinic.london,
Brilliant Dental Limited,0780 2349619,Brilliant Dental Limited,W1G 6AT,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://Monicadental.co.uk,
Smile Architect,02079 358553,Smile Architect,W1G 6AW,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smilearchitect.co.uk,
Harley Centre for Cosmetic & Implant Dentistry,02074 865538,Harley Centre for Cosmetic & Implant Dentistry,W1G 6AX,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.harleydental.com,website unreachable
Harley Street Centre for Endodontics,02079 356393,Harley Street Centre for Endodontics,W1G 6AX,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Devonshire Dental Centre,02079 359905,Devonshire Dental Centre,W1G 6HH,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Diamond Whites,02034 751504,Diamond Whites,W1G 6HJ,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dwaligners.co.uk,
Art Dentistry,02079 352660,Art Dentistry,W1G 6HP,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clive Stockwell Dental,0773 5355917,Clive Stockwell Dental,W1G 6HP,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
NG Smiles,02078 467609,NG Smiles,W1G 6HP,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ngsmiles.com,website unreachable
"25 Devonshire Place, Dental Practice",0775 4460352,"25 Devonshire Place, Dental Practice",W1G 6JD,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sonria Dental Clinic Limited,02072 241402,Sonria Dental Clinic Limited,W1G 6JD,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sonriadentalclinic.com,website unreachable
The Marylebone Implant Centre,02080 384189,The Marylebone Implant Centre,W1G 6JG,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smiles by Jasmine,0333 7338020,Smiles by Jasmine,W1G 6JP,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smilesbyjasmine.com,
Swedish Smile Clinic,02074 861010,Swedish Smile Clinic,W1G 6JP,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.swedishsmileclinic.co.uk,
Bespoke Smile Marylebone,02074 864861,Bespoke Smile Marylebone,W1G 6LD,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
H W Preiskel,02079 354525,H W Preiskel,W1G 6NF,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
E-line Orthodontics,02074 675700,E-line Orthodontics,W1G 6PB,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.elineorthodontics.co.uk,
Dr. Gaynor Langley - Devonshire Street,02079 355354,Dr. Gaynor Langley - Devonshire Street,W1G 6QB,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.38devonshirestreet.co.uk,
Blanche Smile Studio,02075 804808,Blanche Smile Studio,W1G 7BY,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Elite Orthodontics Limited,02075 805370,Elite Orthodontics Limited,W1G 7BY,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.eliteorthodontics.co.uk,
Weymouth Street Paediatric Dental Care,02075 805370,Weymouth Street Paediatric Dental Care,W1G 7BY,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wpddentistry.co.uk,
Weymouth Street Dental Practice,02073 234441,Weymouth Street Dental Practice,W1G 7BZ,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bloom and Gonsai Dental,02037 474300,Bloom and Gonsai Dental,W1G 7DB,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The London Centre for Prosthodontics Limited,02076 374518,The London Centre for Prosthodontics Limited,W1G 7DB,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cime Dentistry Limited,02074 367202,Cime Dentistry Limited,W1G 7HG,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gentle Dental Care,02079 353668,Gentle Dental Care,W1G 7HG,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Michael Carling Harley Street,02075 803168,Michael Carling Harley Street,W1G 7HG,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The One to One Dental Clinic,0776 7640986,The One to One Dental Clinic,W1G 7HL,West London (W1G),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
