practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Ruh Dental (Notting Hill Gate) Limited,The Neem Tree Notting Hill,"151 Notting Hill Gate, London",W11 3LF,West London (W11),02036 218065,https://www.theneemtree.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Ruh Dental (Notting Hill Gate) Limited,CQC directory (auto-downloaded),
The Ealing Dental Practice,,"6 Drayton Green Road, West Ealing, London",W13 8RY,West London (W13),02085 672235,https://www.ealingdental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Ealing Dental Practice Limited,CQC directory (auto-downloaded),
Dental Beauty Northfields,,"189 Northfield Avenue, London",W13 9QU,West London (W13),02088 404999,https://www.dentalbeautynorthfields.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dental Beauty Northfields Limited,CQC directory (auto-downloaded),
Wimpole Dental Office,,"20 Wimpole Street, London",W1G 8GF,West London (W1G),02075 805011,https://www.wimpoledentaloffice.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr Siavash Mirfendereski,CQC directory (auto-downloaded),
Smart Dental and Aesthetic,,"81 York Street, London",W1H 1QH,West London (W1H),0779 2836986,https://www.smartdentalclinic.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Smart Dental And Aesthetics Ltd,CQC directory (auto-downloaded),
"Premium Dental Hygiene Services, Marylebone",,"50-54 Wigmore Street, London",W1U 2AU,West London (W1U),02072 243434,https://www.premiumdentalhygiene.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr Mark Ian Kench,CQC directory (auto-downloaded),
the a.b.c smile,,"69 Mortimer Street, London",W1W 7SF,West London (W1W),0792 1844948,https://www.abc.dental,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,ABC Smile Ltd,CQC directory (auto-downloaded),
Cambridge Court Dental Centre,,"4 Sussex Gardens, Paddington, London",W2 1UL,West London (W2),02072 623334,https://www.cambridgecourtdental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dental Magic (Care) Ltd,CQC directory (auto-downloaded),
Perfect Smile Healthcare SDS,Springfield Dental Surgery,"64a, Horn Lane, London",W3 6NP,West London (W3),02089 932233,https://www.perfectsmile-dental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Perfect Smile Healthcare Limited,CQC directory (auto-downloaded),
Chiswick Dental and Implant Clinic,,"231-235 Chiswick High Road, Chiswick, London",W4 4PU,West London (W4),02089 946202,https://www.chiswickdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,P&P Chiswick Limited,CQC directory (auto-downloaded),
