name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Bramingham Dental Clinic,01582 490410,Bramingham Dental Clinic,LU3 4AD,Luton & Dunstable (LU3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.braminghamdental.com,
Confident Dental Care,01582 723220,Confident Dental Care,LU1 2DP,Luton & Dunstable (LU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.confidentdentalcare.co.uk,
Luton Advanced Dental Care,01582 726853,Luton Advanced Dental Care,LU1 2DP,Luton & Dunstable (LU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lutondental.co.uk,website unreachable
Luton Dental Health Centre,02089 599974,Luton Dental Health Centre,LU1 2NL,Luton & Dunstable (LU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sharing Smiles Orthodontics,01582 877108,Sharing Smiles Orthodontics,LU1 2PL,Luton & Dunstable (LU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.sharingsmiles.co.uk,
Luton Dental Centre,01582 420277,Luton Dental Centre,LU1 2QR,Luton & Dunstable (LU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Maple Dental Clinic - Luton,01582 727314,Maple Dental Clinic - Luton,LU1 2RD,Luton & Dunstable (LU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.mapledentalclinic-luton.co.uk,
Luton Medical & Dental Clinic,0782 5650057,Luton Medical & Dental Clinic,LU1 5DL,Luton & Dunstable (LU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Vogue Dentalcare,01582 432181,Vogue Dentalcare,LU2 0SJ,Luton & Dunstable (LU2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.voguedentalcare.com,
U Smile Dental Practice,01582 415150,U Smile Dental Practice,LU2 7HN,Luton & Dunstable (LU2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Village Dental Practice,01582 400282,Village Dental Practice,LU2 7UG,Luton & Dunstable (LU2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
21D Luton,0800 0073199,21D Luton,LU2 8DL,Luton & Dunstable (LU2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.21d.co.uk,
