practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Bramingham Dental Clinic,,"1st Floor Freeman Avenue, Luton",LU3 4AD,Luton & Dunstable (LU3),01582 490410,https://www.braminghamdental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Bramingham Dental Clinic Limited,CQC directory (auto-downloaded),
Confident Dental Care,,"20 King Street, Luton",LU1 2DP,Luton & Dunstable (LU1),01582 723220,https://www.confidentdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Hitesh Gohil,CQC directory (auto-downloaded),
Luton Advanced Dental Care,,"12a King Street, Luton",LU1 2DP,Luton & Dunstable (LU1),01582 726853,https://www.lutondental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Luton Advanced Dental Care Ltd,CQC directory (auto-downloaded),website unreachable
Luton Dental Health Centre,,"57 Guildford Street, Luton",LU1 2NL,Luton & Dunstable (LU1),02089 599974,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Samir Jagsi,CQC directory (auto-downloaded),
Sharing Smiles Orthodontics,,"1st Floor,  54 Alma Street, Luton",LU1 2PL,Luton & Dunstable (LU1),01582 877108,https://www.sharingsmiles.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Sharing Smiles Orthodontics Ltd,CQC directory (auto-downloaded),
Luton Dental Centre,,"1A Peel Street, Luton",LU1 2QR,Luton & Dunstable (LU1),01582 420277,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Luton Centre Limited,CQC directory (auto-downloaded),
Maple Dental Clinic - Luton,,"29 Upper George Street, Luton",LU1 2RD,Luton & Dunstable (LU1),01582 727314,https://www.mapledentalclinic-luton.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr. Hardeep Matharu,CQC directory (auto-downloaded),
Luton Medical & Dental Clinic,,"76, Stuart Place, Luton",LU1 5DL,Luton & Dunstable (LU1),0782 5650057,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dencorp Ltd,CQC directory (auto-downloaded),
Vogue Dentalcare,,"260-262 Crawley Green Road, Luton",LU2 0SJ,Luton & Dunstable (LU2),01582 432181,https://www.voguedentalcare.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Vogue DentalCare Limited Partnership,CQC directory (auto-downloaded),
U Smile Dental Practice,,"156 Old Bedford Road, Luton",LU2 7HN,Luton & Dunstable (LU2),01582 415150,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Kambiz Gilani,CQC directory (auto-downloaded),
