name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Portway Dental Practice,01614 372382,Portway Dental Practice,M22 1UB,Manchester (M22),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.portwaydentalpractice.co.uk,
Love-Teeth Dental Practice Ltd,01617 737080,Love-Teeth Dental Practice Ltd,M25 0LE,Manchester (M25),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.loveteethdp.co.uk,
Sale Dental Care,01619 697432,Sale Dental Care,M33 7TQ,Manchester (M33),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.saledentalspa.co.uk,
Moss Side Health Centre,01612 265031,Moss Side Health Centre,M14 4GP,Manchester (M14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.mft.nhs.uk,
300 Great Western Street,01612 262548,300 Great Western Street,M14 4LP,Manchester (M14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Family Dental Practice,01612 268432,Family Dental Practice,M14 4RL,Manchester (M14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Birch Dental Practice Limited,01612 248127,Birch Dental Practice Limited,M14 5AT,Manchester (M14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Didsbury Dental Lounge,01612 247135,Didsbury Dental Lounge,M14 6SG,Manchester (M14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Practice,01612 247621,The Dental Practice,M14 7DS,Manchester (M14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Practice Fallowfield,01612 247621,The Dental Practice Fallowfield,M14 7DS,Manchester (M14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalpracticefallowfield.co.uk/,
