practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
THE LODGE DENTAL,,"6 North Road, Manchester",M11 4WE,Manchester (M11),01612 232145,https://www.thelodgedental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Greater Manchester Oral Surgery and Restorative Group Limited,CQC directory (auto-downloaded),
The Vallance Dental Centre,,"The Vallance Medical Centre, Wadeson Road, Manchester",M13 9UJ,Manchester (M13),01612 735998,https://www.vallancedentalcentre.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,South Manchester Dental Emergency Cooperative Limited,CQC directory (auto-downloaded),
Dentology Chorlton,,"563 Barlow Moor Road, Manchester",M21 8AE,Manchester (M21),01618 813465,https://www.dentologychorlton.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dentology Chorlton Ltd,CQC directory (auto-downloaded),
Portway Dental Practice,,"40 Portway, Manchester",M22 1UB,Manchester (M22),01614 372382,https://www.portwaydentalpractice.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Greater Manchester Oral Surgery and Restorative Group Limited,CQC directory (auto-downloaded),
Love-Teeth Dental Practice Ltd,,"3 Kings Road, Prestwich, Manchester",M25 0LE,Manchester (M25),01617 737080,https://www.loveteethdp.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Love-Teeth Dental Practice Ltd,CQC directory (auto-downloaded),
360 Dental Care Limited,,"6 Southern Street, Manchester",M3 4NJ,Manchester (M3),01618 341000,https://www.360dentalcare.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,360 Dentalcare Limited,CQC directory (auto-downloaded),
Sale Dental Care,,"77 Washway Road, Sale",M33 7TQ,Manchester (M33),01619 697432,https://www.saledentalspa.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Miss Aisha Ahmed,CQC directory (auto-downloaded),
Whitefield Dental Practice,,"118 Radcliffe New Road, Whitefield, Manchester",M45 7WQ,Manchester (M45),01617 666164,https://www.whitefielddentalpractice.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Whitefield Dental Practice Ltd,CQC directory (auto-downloaded),
Arndale Dental & Implant Clinic - Boots Manchester,,"2nd floor,  Boots Store, 32 Market Street, Manchester",M1 1PW,Manchester (M1),01616 600200,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Your Smile Clinic,,"75 Dale Street, Manchester",M1 2HG,Manchester (M1),01613 272878,https://www.yoursmileclinic.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Allegra Dental Ltd,CQC directory (auto-downloaded),
Openshaw Dental Practice,,"1333 Ashton Old Road, Openshaw, Manchester",M11 1JT,Manchester (M11),01613 702213,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Robert Brown,CQC directory (auto-downloaded),
The Cornerstone Centre,,"Dental Department, 2 Graham Street, Manchester",M11 3AA,Manchester (M11),01612 302200,https://www.mft.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Manchester University NHS Foundation Trust,CQC directory (auto-downloaded),
Nova Dental,,"566 Stockport Road, Manchester",M12 4JJ,Manchester (M12),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Mahmood Ul Hasan,CQC directory (auto-downloaded),
East Road Care Limited,,"73 East Road, Longsight, Manchester",M12 5QY,Manchester (M12),01612 245875,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,East Road Care Limited,CQC directory (auto-downloaded),
The Park House Dental Practice and Cosmetic Centre,,"7 Slade Lane, Manchester",M13 0QJ,Manchester (M13),01612 573839,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Park Dental Group,CQC directory (auto-downloaded),
Longsight Health Centre,,"Dental Department, 526-528 Stockport Road, Manchester",M13 0RR,Manchester (M13),01612 259274,https://www.mft.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Manchester University NHS Foundation Trust,CQC directory (auto-downloaded),
Birchfields Family Dental Care,,"Longsight, Manchester",M13 0XQ,Manchester (M13),01612 249813,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Maria Jose Arenas Farrona,CQC directory (auto-downloaded),
Advanced Dental Education Centre (ADEC) Carys Bannister,,"5th Floor,  Carys Bannister Building,  University of Manchester, Dover Street, Manchester",M13 9GB,Manchester (M13),01612 761234,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Manchester University NHS Foundation Trust,CQC directory (auto-downloaded),
Moss Side Health Centre,,"Dental Department, Monton Street, Manchester",M14 4GP,Manchester (M14),01612 265031,https://www.mft.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Manchester University NHS Foundation Trust,CQC directory (auto-downloaded),
300 Great Western Street,,"300 Great Western Street, Rusholme, Manchester",M14 4LP,Manchester (M14),01612 262548,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Sean Hasnain,CQC directory (auto-downloaded),
Family Dental Practice,,"177a Princess Road, Moss Side, Manchester",M14 4RL,Manchester (M14),01612 268432,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Saddeer Ahmed,CQC directory (auto-downloaded),
Birch Dental Practice Limited,,"2 Hythe Close, Rusholme, Manchester",M14 5AT,Manchester (M14),01612 248127,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Birch Dental Practice Limited,CQC directory (auto-downloaded),
Didsbury Dental Lounge,,"169 Mauldeth Road, Manchester",M14 6SG,Manchester (M14),01612 247135,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Shivaum Limited,CQC directory (auto-downloaded),
The Dental Practice,,"135 Wilbraham Road, Fallowfield, Manchester",M14 7DS,Manchester (M14),01612 247621,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Aftab Ahmad,CQC directory (auto-downloaded),
The Dental Practice Fallowfield,,"135 Wilbraham Road, Manchester",M14 7DS,Manchester (M14),01612 247621,https://www.dentalpracticefallowfield.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dental Practice Fallowfield Ltd,CQC directory (auto-downloaded),
New Life Teeth Manchester,,"NEW LIFE TEETH,  Parkway Five, Parkway Business Centre,  Princess Road, Manchester",M14 7HR,Manchester (M14),01613 888899,https://www.newlifeteeth.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NEW LIFE TEETH MANCHESTER LIMITED,CQC directory (auto-downloaded),
MCR Implant Centre,,"10 Commercial Street, Manchester",M15 4PZ,Manchester (M15),01613 597548,https://www.mcrimplantcentre.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,One Clinic Limited,CQC directory (auto-downloaded),
Deansgate Dental Studio,,"13 Owen Street, Manchester",M15 4YB,Manchester (M15),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Deansgate Aesthetics Ltd,CQC directory (auto-downloaded),
