practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Kent Smile Studio,,"15-16 Northumberland Court, Northumberland Road, Maidstone",ME15 7LW,Medway & Kent north (ME15),01622 754662,https://www.kentsmilestudio.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr. Shushil Dattani,CQC directory (auto-downloaded),
Kings Hill Dental,,"Suite 14, 10 Churchill Square,  Kings Hill, West Malling",ME19 4YU,Medway & Kent north (ME19),01732 523500,https://www.kingshilldental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Kings Hill Dental,CQC directory (auto-downloaded),
New Road Dental Practice,,"3a -3b, New Road, Rochester",ME1 1BD,Medway & Kent north (ME1),01634 845286,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Renita Noreen D'Souza,CQC directory (auto-downloaded),
Louie Dental practice and Partner,"Oradent - High Street, Rochester","360 High Street, Rochester",ME1 1DJ,Medway & Kent north (ME1),01634 404590,https://www.louiedental.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Louie Dental Practice and Partner,CQC directory (auto-downloaded),website unreachable
"Oradent - High Street, Rochester","Oradent - High Street, Rochester","360 High Street, Rochester",ME1 1DJ,Medway & Kent north (ME1),01634 404590,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oradent Operations Limited,CQC directory (auto-downloaded),
Thorndike Dental Practice,,"374 High Street, Rochester",ME1 1DJ,Medway & Kent north (ME1),0772 0709743,https://www.thorndent.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Thorndike Dental Practice,CQC directory (auto-downloaded),website unreachable
Coco Dental Rochester Limited,,"1-4 Eastgate Court, High Street, Rochester",ME1 1EU,Medway & Kent north (ME1),01634 841337,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Coco Dental Rochester Limited,CQC directory (auto-downloaded),
Rochester Dental Clinic,,"196 High Street, Rochester",ME1 1EY,Medway & Kent north (ME1),01634 404600,https://www.photaydental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Photay And Associates,CQC directory (auto-downloaded),
St Mark Crown Court Dental Clinic,,"203 High Street, Rochester",ME1 1HB,Medway & Kent north (ME1),01634 840303,https://www.stmarkcrowncourt.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Waguih Maher Bishay,CQC directory (auto-downloaded),website unreachable
City Way Dental Practice,"Oradent - City Way, Rochester","18E City Way, Rochester",ME1 2AB,Medway & Kent north (ME1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,City Way Dental Practice,CQC directory (auto-downloaded),
"Oradent - City Way, Rochester","Oradent - City Way, Rochester","18E City Way, Rochester",ME1 2AB,Medway & Kent north (ME1),01634 842549,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oradent Operations Limited,CQC directory (auto-downloaded),
