name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Kent Smile Studio,01622 754662,Kent Smile Studio,ME15 7LW,Medway & Kent north (ME15),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.kentsmilestudio.com,
New Road Dental Practice,01634 845286,New Road Dental Practice,ME1 1BD,Medway & Kent north (ME1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Louie Dental practice and Partner,01634 404590,Louie Dental practice and Partner,ME1 1DJ,Medway & Kent north (ME1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.louiedental.com,website unreachable
"Oradent - High Street, Rochester",01634 404590,"Oradent - High Street, Rochester",ME1 1DJ,Medway & Kent north (ME1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Thorndike Dental Practice,0772 0709743,Thorndike Dental Practice,ME1 1DJ,Medway & Kent north (ME1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.thorndent.co.uk,website unreachable
Coco Dental Rochester Limited,01634 841337,Coco Dental Rochester Limited,ME1 1EU,Medway & Kent north (ME1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Rochester Dental Clinic,01634 404600,Rochester Dental Clinic,ME1 1EY,Medway & Kent north (ME1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.photaydental.co.uk,
St Mark Crown Court Dental Clinic,01634 840303,St Mark Crown Court Dental Clinic,ME1 1HB,Medway & Kent north (ME1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stmarkcrowncourt.co.uk,website unreachable
"Oradent - City Way, Rochester",01634 842549,"Oradent - City Way, Rochester",ME1 2AB,Medway & Kent north (ME1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Peters Village Dental,0788 5529968,Peters Village Dental,ME1 3AP,Medway & Kent north (ME1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park Road Dental Practice,01795 424204,Park Road Dental Practice,ME10 1DR,Medway & Kent north (ME10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentice Limited,01795 472020,Dentice Limited,ME10 1NA,Medway & Kent north (ME10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chopra & Associates Sittingbourne,01795 477224,Chopra & Associates Sittingbourne,ME10 1NQ,Medway & Kent north (ME10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.chopradental.com,
Milton Regis Dental Clinic,01795 434910,Milton Regis Dental Clinic,ME10 2AR,Medway & Kent north (ME10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
"Portman Smile Clinic, Sittingbourne",01795 474311,"Portman Smile Clinic, Sittingbourne",ME10 4AQ,Medway & Kent north (ME10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hillton Dental Surgeries Sittingbourne,01795 424994,Hillton Dental Surgeries Sittingbourne,ME10 4AW,Medway & Kent north (ME10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hilltondentistry.co.uk,
Sheerness Dental Clinic,01795 668276,Sheerness Dental Clinic,ME12 1AB,Medway & Kent north (ME12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sheerness Dental Centre,01795 660553,Sheerness Dental Centre,ME12 1NL,Medway & Kent north (ME12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Terrace Dental,01795 662569,Terrace Dental,ME12 1UN,Medway & Kent north (ME12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
South Cliff Dental Group - Minister On Sea,01795 668276,South Cliff Dental Group - Minister On Sea,ME12 2DF,Medway & Kent north (ME12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hillton Dental Surgeries Minster,01795 874914,Hillton Dental Surgeries Minster,ME12 2RN,Medway & Kent north (ME12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hilltondentistry.co.uk,
Caizen Dental,0789 1638920,Caizen Dental,ME12 3AU,Medway & Kent north (ME12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chopra & Associates H M Prison Elmley,01795 882000,Chopra & Associates H M Prison Elmley,ME12 4DZ,Medway & Kent north (ME12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Faversham Dental Practice,01795 532897,Faversham Dental Practice,ME13 8NU,Medway & Kent north (ME13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Faversham Dental Practice,01795 532897,The Faversham Dental Practice,ME13 8NU,Medway & Kent north (ME13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Confident Labs Limited,01227 762175,Confident Labs Limited,ME13 8PE,Medway & Kent north (ME13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Faversham Smiles,01795 515601,Faversham Smiles,ME13 8PG,Medway & Kent north (ME13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hillton Dentistry,01795 591899,Hillton Dentistry,ME13 8PH,Medway & Kent north (ME13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hilltondentistry.co.uk/meet-our- teams/faversham,website unreachable
Dental Department HMP Maidstone,01622 775402,Dental Department HMP Maidstone,ME14 1UZ,Medway & Kent north (ME14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Roseacre Cottage Dental Practice,01622 730548,Roseacre Cottage Dental Practice,ME14 4BT,Medway & Kent north (ME14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.roseacredental.com,
The Implant Experts,01622 751553,The Implant Experts,ME14 5BJ,Medway & Kent north (ME14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.theimplantexperts.com,
Total Orthodontics Maidstone,01622 737666,Total Orthodontics Maidstone,ME14 5BT,Medway & Kent north (ME14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Albion Place Dental Practice,01622 755815,Albion Place Dental Practice,ME14 5DY,Medway & Kent north (ME14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Fresh Dental & Implant Clinic,01622 761067,Fresh Dental & Implant Clinic,ME14 5SF,Medway & Kent north (ME14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.freshdentalcare.co.uk,
Gabriels Hill Dental Practice,01622 677100,Gabriels Hill Dental Practice,ME15 6JJ,Medway & Kent north (ME15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.gabrielshilldentalmaidstone.com,
Romney Place Dental Practice,01622 754833,Romney Place Dental Practice,ME15 6LE,Medway & Kent north (ME15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.romneyplacedental.co.uk,
Maidstone Dental and Implant Centre,01622 682029,Maidstone Dental and Implant Centre,ME15 6LP,Medway & Kent north (ME15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.maidstonedental.co.uk,
The White House Dental Surgery,01622 752356,The White House Dental Surgery,ME15 6QE,Medway & Kent north (ME15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Longford Dental Centre - Maidstone,01622 752206,Longford Dental Centre - Maidstone,ME15 6TP,Medway & Kent north (ME15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
College Dental Surgeries,01622 752340,College Dental Surgeries,ME15 6YF,Medway & Kent north (ME15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bearsted Dental Studio,01622 736968,Bearsted Dental Studio,ME15 8PW,Medway & Kent north (ME15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Orchard Dental Practice,01622 741817,Orchard Dental Practice,ME15 9BQ,Medway & Kent north (ME15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kent Minor Oral Surgery (UJ Patel),01622 756652,Kent Minor Oral Surgery (UJ Patel),ME15 9NB,Medway & Kent north (ME15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Senacre Lodge Dental Practice,01622 756652,Senacre Lodge Dental Practice,ME15 9NB,Medway & Kent north (ME15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Maidstone Dental Care,01622 743371,Maidstone Dental Care,ME15 9UF,Medway & Kent north (ME15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.southerndental.co.uk,website unreachable
Oakwood Dental Practice,01622 753821,Oakwood Dental Practice,ME16 0DP,Medway & Kent north (ME16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.oakwooddentalsurgery.co.uk,
St Michael's Dental Clinic,01622 758537,St Michael's Dental Clinic,ME16 8JS,Medway & Kent north (ME16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Barming Dental Health Care Centre,01622 728159,Barming Dental Health Care Centre,ME16 8TR,Medway & Kent north (ME16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.barmingdentalcentre.co.uk,website unreachable
Barming Dental and Health Care Centre,01622 728159,Barming Dental and Health Care Centre,ME16 8TR,Medway & Kent north (ME16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://smileology.co.uk,
Longford Dental Centre - Strood,01634 723086,Longford Dental Centre - Strood,ME2 2EU,Medway & Kent north (ME2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Thakray Dental Practice,01634 716840,Thakray Dental Practice,ME2 3HF,Medway & Kent north (ME2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
GM Dental and Implant Centre,01634 718882,GM Dental and Implant Centre,ME2 3JA,Medway & Kent north (ME2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Louise Lunness-Barnes Dental Clinic,0782 4859145,Louise Lunness-Barnes Dental Clinic,ME2 3ST,Medway & Kent north (ME2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Enhance Orthodontics,01634 710105,Enhance Orthodontics,ME2 4JS,Medway & Kent north (ME2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.enhanceorthodontics.co.uk,website unreachable
Smïl,0755 4420246,Smïl,ME4 3ED,Medway & Kent north (ME4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chatham Dental Surgery,01634 406776,Chatham Dental Surgery,ME4 4DH,Medway & Kent north (ME4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Premier Dental Care,01634 405515,Premier Dental Care,ME4 4DL,Medway & Kent north (ME4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.premierdentalcarechatham.co.uk,
Luton Arches Dental,01634 844121,Luton Arches Dental,ME4 4NU,Medway & Kent north (ME4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lutonarchesdental.co.uk,
Ashley S Lupin & Assocs Limited,01634 827669,Ashley S Lupin & Assocs Limited,ME4 4RH,Medway & Kent north (ME4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://chathamdentist.co.uk,
Gibraltar House Dental Clinic,01634 400128,Gibraltar House Dental Clinic,ME4 4RY,Medway & Kent north (ME4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.gibhouse.co.uk,
Lavender Dental Care Limited,01634 864153,Lavender Dental Care Limited,ME5 0PU,Medway & Kent north (ME5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lavenderclose.com,website unreachable
Miss S. P. Meads & Associates Dental Practice,01634 201636,Miss S. P. Meads & Associates Dental Practice,ME5 8DP,Medway & Kent north (ME5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Kent Smile Studio,01634 683123,Kent Smile Studio,ME5 9LL,Medway & Kent north (ME5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hospital Lane Dental and Implant Clinic,01634 842566,Hospital Lane Dental and Implant Clinic,ME5 9PE,Medway & Kent north (ME5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hospitallane.com,website unreachable
HighStreet Medical Dental,01634 853289,HighStreet Medical Dental,ME7 1AY,Medway & Kent north (ME7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.highstreetmedicaldental.co.uk,website unreachable
Dental Healthcare Practice,01634 851178,Dental Healthcare Practice,ME7 1BL,Medway & Kent north (ME7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gillingham Dental,16348516670,Gillingham Dental,ME7 1BL,Medway & Kent north (ME7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.carholmedentalgroup.co.uk,
Watling Street Dental Care,01634 576688,Watling Street Dental Care,ME7 2YN,Medway & Kent north (ME7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Franklin House Dental Practice,01634 853030,Franklin House Dental Practice,ME7 4DF,Medway & Kent north (ME7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.gillinghamdentists.co.uk,website unreachable
Nelson Road Dental and Implant Centre,01634 851317,Nelson Road Dental and Implant Centre,ME7 4NB,Medway & Kent north (ME7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.nelsonroaddental.co.uk,
