name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Rinse Dental Hygiene Island,0793 9992078,Rinse Dental Hygiene Island,MK10 7NG,Milton Keynes & Bedford (MK10),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.rinsedentalisland.co.uk,
Davinci Dental Clinic,01908 886871,Davinci Dental Clinic,MK12 5NF,Milton Keynes & Bedford (MK12),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.davincidentistry.co.uk,
ROKA DENTAL,0749 0236377,ROKA DENTAL,MK17 8UD,Milton Keynes & Bedford (MK17),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.rokadental.co.uk,
Zental (Milton Keynes) Ltd,02039 828602,Zental (Milton Keynes) Ltd,MK2 2BU,Milton Keynes & Bedford (MK2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.zental.uk,
Dental Specialists MK,01908 630169,Dental Specialists MK,MK2 2EH,Milton Keynes & Bedford (MK2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.dentalspecialistsmk.com,
Marston Dental Practice,0795 7164931,Marston Dental Practice,MK43 0XR,Milton Keynes & Bedford (MK43),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.marstondental.co.uk,
Silsoe Dental,01525 868600,Silsoe Dental,MK45 4PZ,Milton Keynes & Bedford (MK45),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.silsoedental.co.uk,
Aspects Dental and Referral,01908 506199,Aspects Dental and Referral,MK5 6JG,Milton Keynes & Bedford (MK5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.aspectsdental.com,
Stony Dental Practice,01908 566319,Stony Dental Practice,MK11 1BY,Milton Keynes & Bedford (MK11),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,https://www.stonydental.co.uk,
Buckingham House Dental Practice,01280 821927,Buckingham House Dental Practice,MK18 1NT,Milton Keynes & Bedford (MK18),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,https://www.buckinghamhousedental.co.uk,
