practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Rinse Dental Hygiene Island,,"Unit 12,  9 Brooklands Square, Brooklands, Milton Keynes",MK10 7NG,Milton Keynes & Bedford (MK10),0793 9992078,https://www.rinsedentalisland.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Rinse Dental Hygiene Island Limited,CQC directory (auto-downloaded),
Davinci Dental Clinic,,"3 Canon Harnett Court, Wolverton Mill, Milton Keynes",MK12 5NF,Milton Keynes & Bedford (MK12),01908 886871,https://www.davincidentistry.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Proper Aesthetics Limited,CQC directory (auto-downloaded),
ROKA DENTAL,,"The Spinney,  Pristine Business Park, Newport Road,  Woburn Sands, Milton Keynes",MK17 8UD,Milton Keynes & Bedford (MK17),0749 0236377,https://www.rokadental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,ROKA DENTAL LIMITED,CQC directory (auto-downloaded),
Zental (Milton Keynes) Ltd,,"11 Watling Street, Fenny Stratford, Milton Keynes",MK2 2BU,Milton Keynes & Bedford (MK2),02039 828602,https://www.zental.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Zental Dental Practices Ltd,CQC directory (auto-downloaded),
Dental Specialists MK,,"259 Queensway, Bletchley, Milton Keynes",MK2 2EH,Milton Keynes & Bedford (MK2),01908 630169,https://www.dentalspecialistsmk.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Spectrum Associates (MK) Ltd,CQC directory (auto-downloaded),
Marston Dental Practice,,"1 Garricks Court, Gold Furlong,  Marston Moretaine, Bedford",MK43 0XR,Milton Keynes & Bedford (MK43),0795 7164931,https://www.marstondental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,TR Dental Ltd,CQC directory (auto-downloaded),
Kateri Clinic,,"Unit 4,  Rushey Ford Business Park, West End Road,  Kempston, Bedford",MK43 8RU,Milton Keynes & Bedford (MK43),,https://www.katericlinic.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Kateri Clinic Ltd,CQC directory (auto-downloaded),
Silsoe Dental,,"4 The Gateway, Blackthorn Place,  Silsoe, Bedford",MK45 4PZ,Milton Keynes & Bedford (MK45),01525 868600,https://www.silsoedental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dencorp Ltd,CQC directory (auto-downloaded),
Aspects Dental and Referral,,"38 Benbow Court, Shenley Church End, Milton Keynes",MK5 6JG,Milton Keynes & Bedford (MK5),01908 506199,https://www.aspectsdental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,MHV Smile Centre Limited,CQC directory (auto-downloaded),
Smile and Move Polyclinic,,"27a and 29b, Highland Drive,  Broughton, Milton Keynes",MK10 7FA,Milton Keynes & Bedford (MK10),0790 6709956,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,K & N Ventures Limited,CQC directory (auto-downloaded),
MK Smiles,,"42 Montague Crescent, Brooklands, Milton Keynes",MK10 7LN,Milton Keynes & Bedford (MK10),01908 348100,https://www.mksmiles.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,MK Smiles Partnership Limited,CQC directory (auto-downloaded),
MK Dental Practice,,"Griffith Gate, Middleton, Milton Keynes",MK10 9BQ,Milton Keynes & Bedford (MK10),01908 231888,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Apps Smiles Ltd,CQC directory (auto-downloaded),
Broughton Dental Practice,,"57-61 Tanfield Lane, Broughton, Milton Keynes",MK10 9NJ,Milton Keynes & Bedford (MK10),01908 241000,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Jai Basudev,CQC directory (auto-downloaded),
Oakgrove Dental Practice,,"11 Atlas Way, Oakgrove, Milton Keynes",MK10 9SG,Milton Keynes & Bedford (MK10),01908 771170,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Claydon Oakgrove Limited,CQC directory (auto-downloaded),
Butterflies Dental Clinic,,"106 High Street, Stony Stratford, Milton Keynes",MK11 1AH,Milton Keynes & Bedford (MK11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Butterflies Dental Clinic Limited,CQC directory (auto-downloaded),
The Dental Surgery Stony Stratford,,"90A High Street, Stony Stratford, Milton Keynes",MK11 1AH,Milton Keynes & Bedford (MK11),01908 563651,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dental Surgery Stony Stratford Limited,CQC directory (auto-downloaded),
MK Dental Spa,,"50 Tilers Road, Kiln Farm, Milton Keynes",MK11 3EA,Milton Keynes & Bedford (MK11),0845 5214242,https://www.mkdentalspa.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,LEH Ltd,CQC directory (auto-downloaded),
ABBEY DENTAL,,"122 Church Street, Wolverton, Milton Keynes",MK12 5JR,Milton Keynes & Bedford (MK12),01908 312727,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dental Suite Ltd,CQC directory (auto-downloaded),
