name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Zental (Milton Keynes) Ltd,02039 828602,Zental (Milton Keynes) Ltd,MK2 2BU,Milton Keynes & Bedford (MK2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.zental.uk,
ABBEY DENTAL,01908 312727,ABBEY DENTAL,MK12 5JR,Milton Keynes & Bedford (MK12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Stratford House Dental Practice,01908 313109,Stratford House Dental Practice,MK12 5LW,Milton Keynes & Bedford (MK12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Newport Pagnell Dental Clinic,0844 3878268,Newport Pagnell Dental Clinic,MK16 8SE,Milton Keynes & Bedford (MK16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.newportpagnelldentalclinic.co.uk,website unreachable
Bank Chambers Dental Practice,01280 822210,Bank Chambers Dental Practice,MK18 1NS,Milton Keynes & Bedford (MK18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Milton Keynes Dental Clinic,01908 372885,Milton Keynes Dental Clinic,MK2 2EH,Milton Keynes & Bedford (MK2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Kimbolton Dental Practice,0795 6583261,Kimbolton Dental Practice,MK40 2NR,Milton Keynes & Bedford (MK40),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Adelaide Square Dental Practice,01234 342223,Adelaide Square Dental Practice,MK40 2RW,Milton Keynes & Bedford (MK40),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Richard Miller White Dentistry,01582 883929,Richard Miller White Dentistry,MK45 4PP,Milton Keynes & Bedford (MK45),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Teethinline - Milton Keynes,0844 3838262,Teethinline - Milton Keynes,MK6 2RX,Milton Keynes & Bedford (MK6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.teethinline.co.uk,
Bedford House Dental Practice,01234 351413,Bedford House Dental Practice,MK40 1NN,Milton Keynes & Bedford (MK40),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,Yes,,
