name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Smile and Move Polyclinic,0790 6709956,Smile and Move Polyclinic,MK10 7FA,Milton Keynes & Bedford (MK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
MK Smiles,01908 348100,MK Smiles,MK10 7LN,Milton Keynes & Bedford (MK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.mksmiles.co.uk,
MK Dental Practice,01908 231888,MK Dental Practice,MK10 9BQ,Milton Keynes & Bedford (MK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Broughton Dental Practice,01908 241000,Broughton Dental Practice,MK10 9NJ,Milton Keynes & Bedford (MK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oakgrove Dental Practice,01908 771170,Oakgrove Dental Practice,MK10 9SG,Milton Keynes & Bedford (MK10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Surgery Stony Stratford,01908 563651,The Dental Surgery Stony Stratford,MK11 1AH,Milton Keynes & Bedford (MK11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
MK Dental Spa,0845 5214242,MK Dental Spa,MK11 3EA,Milton Keynes & Bedford (MK11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.mkdentalspa.co.uk,
ABBEY DENTAL,01908 312727,ABBEY DENTAL,MK12 5JR,Milton Keynes & Bedford (MK12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Stratford House Dental Practice,01908 313109,Stratford House Dental Practice,MK12 5LW,Milton Keynes & Bedford (MK12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Wilson House Dental  Limited,01908 611478,Wilson House Dental  Limited,MK16 0AG,Milton Keynes & Bedford (MK16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wilsonhousedentalpractice.com,
Christopher Dental Care,01908 617665,Christopher Dental Care,MK16 0EN,Milton Keynes & Bedford (MK16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brooklands Dental Clinic Limited,01908 235124,Brooklands Dental Clinic Limited,MK16 0HU,Milton Keynes & Bedford (MK16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.brooklandsdentalclinic.co.uk,
Diamond Dental MK Ltd,01908 014600,Diamond Dental MK Ltd,MK16 8HJ,Milton Keynes & Bedford (MK16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.diamonddentalmk.co.uk,
Newport Pagnell Dental Clinic,0844 3878268,Newport Pagnell Dental Clinic,MK16 8SE,Milton Keynes & Bedford (MK16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.newportpagnelldentalclinic.co.uk,website unreachable
Teethinline - Newport Pagnell,0844 3878260,Teethinline - Newport Pagnell,MK16 8SE,Milton Keynes & Bedford (MK16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.teethinline.co.uk,
Kind Hands Dental Care,01908 794999,Kind Hands Dental Care,MK16 9BH,Milton Keynes & Bedford (MK16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.kindhandsdental.co.uk,
