practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
The Cosmetic Dental Clinic,,"2 Eldon Square, Newcastle Upon Tyne",NE1 7JG,Newcastle (NE1),01912 603688,https://www.thecosmeticdentalclinic.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Quay Aesthetics,,"212 Park View, Whitley Bay",NE26 3QR,Newcastle (NE26),01916 911328,https://www.quayaesthetics.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Hoylage Limited,CQC directory (auto-downloaded),
Hexham Dental Clinic,,"17 Battle Hill, Hexham",NE46 1BA,Newcastle (NE46),01434 603759,https://www.hexhamdentalclinic.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Hexham Dental Clinic,CQC directory (auto-downloaded),
Durham Family Dental,,"677 Durham Road, Low Fell, Gateshead",NE9 5HB,Newcastle (NE9),01914 876263,https://www.durhamfamilydental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Stephanie Durham LTD,CQC directory (auto-downloaded),
Neo Orthodontics Quayside,,"98-100, The Close, Newcastle Upon Tyne",NE1 3RF,Newcastle (NE1),01912 326592,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Neo Orthodontics North East Limited,CQC directory (auto-downloaded),
Mr Robert Wain - Dovetail,,"Amy House, 61 Blandford Square, Newcastle Upon Tyne",NE1 4HZ,Newcastle (NE1),01912 619911,https://www.dovetaildental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Robert Wain,CQC directory (auto-downloaded),
Kingswalk Dental Practice - Leazes Park Road,,"50 Leazes Park Road, Newcastle Upon Tyne",NE1 4PG,Newcastle (NE1),01912 220725,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kingswalk Dental Practice Limited,CQC directory (auto-downloaded),
Smmmile,,"95-97, Grainger Street, Newcastle Upon Tyne",NE1 5AE,Newcastle (NE1),794336492,https://www.smmmile.store,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,SRKP Limited,CQC directory (auto-downloaded),website unreachable
Smmmile Newcastle,,"95-97 Grainger Street, Newcastle Upon Tyne",NE1 5AE,Newcastle (NE1),01916 913000,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smmmile Newcastle Limited,CQC directory (auto-downloaded),
St Mary's Dental Practice,,"3 St Marys Place, Newcastle Upon Tyne",NE1 7PG,Newcastle (NE1),01912 324233,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Newcastle Dental Care Practice Partnership,CQC directory (auto-downloaded),
Saville Dental Practice,,"Floor 1,  6 Saville Place, Newcastle Upon Tyne",NE1 8DQ,Newcastle (NE1),01912 320002,https://www.philipbrantinghamandassociates.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Philip Brantingham and Kim Anne Brantingham,CQC directory (auto-downloaded),
Newcastle Dental Care,,"11 Ridley Place, Newcastle Upon Tyne",NE1 8JQ,Newcastle (NE1),01912 324284,https://www.newcastledentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Samy Solaiman,CQC directory (auto-downloaded),
