name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
The Cosmetic Dental Clinic,01912 603688,The Cosmetic Dental Clinic,NE1 7JG,Newcastle (NE1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.thecosmeticdentalclinic.com,
Durham Family Dental,01914 876263,Durham Family Dental,NE9 5HB,Newcastle (NE9),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.durhamfamilydental.co.uk,
Neo Orthodontics Quayside,01912 326592,Neo Orthodontics Quayside,NE1 3RF,Newcastle (NE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Mr Robert Wain - Dovetail,01912 619911,Mr Robert Wain - Dovetail,NE1 4HZ,Newcastle (NE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dovetaildental.co.uk,
Kingswalk Dental Practice - Leazes Park Road,01912 220725,Kingswalk Dental Practice - Leazes Park Road,NE1 4PG,Newcastle (NE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smmmile,794336492,Smmmile,NE1 5AE,Newcastle (NE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smmmile.store,website unreachable
Smmmile Newcastle,01916 913000,Smmmile Newcastle,NE1 5AE,Newcastle (NE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Mary's Dental Practice,01912 324233,St Mary's Dental Practice,NE1 7PG,Newcastle (NE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Saville Dental Practice,01912 320002,Saville Dental Practice,NE1 8DQ,Newcastle (NE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.philipbrantinghamandassociates.co.uk,
Newcastle Dental Care,01912 324284,Newcastle Dental Care,NE1 8JQ,Newcastle (NE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.newcastledentalcare.co.uk,
Gateshead Lobley Hill Partnership,01914 604604,Gateshead Lobley Hill Partnership,NE11 0BT,Newcastle (NE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Practice - Valley Shopping Village Kingsway,01914 915600,The Dental Practice - Valley Shopping Village Kingsway,NE11 0EN,Newcastle (NE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Carew Dental Limited,0790 3938652,Carew Dental Limited,NE11 0JU,Newcastle (NE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr Mohammed Bholah - Spoor Street,01914 601101,Dr Mohammed Bholah - Spoor Street,NE11 9BD,Newcastle (NE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Crescent Dental Care,01914 604182,Crescent Dental Care,NE11 9SJ,Newcastle (NE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Village Dental Practice,01914 200111,Village Dental Practice,NE16 4DT,Newcastle (NE16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.villagedentalpractice.co.uk,
Whickham Dental Practice,01914 887826,Whickham Dental Practice,NE16 4DT,Newcastle (NE16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.whickhamdentalpractice.co.uk,
