ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POSTCODE,TELEPHONE_NO,DENTISTTYPE,LCG,LGD
1 CASTLE AVENUE,,CASTLEWELLAN,,BT31 9DX,02843778319,GDS,SOUTH EASTERN,DOWN
1 CHURCH STREET,,ROSSLEA,,BT92 7DD,02867751800,GDS,WESTERN,FERMANAGH
1 ST PATRICK'S TERRACE,BUNCRANA ROAD,LONDONDERRY,,BT48 7QR,02871260612,GDS,WESTERN,DERRY
1 SYDNEY TERRACE,GT JAMES STREET,LONDONDERRY,,BT48 7DQ,02871264155,GDS,WESTERN,DERRY
10 FRANCES STREET,NEWTOWNARDS,,,BT23 4JA,,GDS,SOUTH EASTERN,ARDS
1003 UPPER NEWTOWNARDS RD,,BELFAST,,BT16 1RN,02890483240,GDS,BELFAST,CASTLEREAGH
11 MAIN STREET,,BALLYNAHINCH,,BT24 8DN,02897562676,GDS,SOUTH EASTERN,DOWN
11 VICTORIA ROAD,,LARNE,,BT40 1RT,02828260797,GDS,NORTHERN,LARNE
112 MOSS ROAD,LAMBEG,LISBURN,,BT27 4NU,02892665588,GDS,SOUTH EASTERN,LISBURN
116 HIGH STREET,,HOLYWOOD,,BT18 9HW,02890423934,GDS,SOUTH EASTERN,NORTH DOWN
13 BELFAST ROAD,ANTRIM,,,BT41 1NY,02894462335,GDS,NORTHERN,ANTRIM
13 CLARENDON STREET,,DERRY,,BT48 7EP,02871263397,GDS,WESTERN,DERRY
13 THE PARADE,,DONAGHADEE,,BT21 0AE,02891883513,GDS,SOUTH EASTERN,ARDS
139 FALLS ROAD,,BELFAST,,BT12 6AF,02890329092,GDS,BELFAST,BELFAST
14 FINAGHY ROAD SOUTH,,BELFAST,,BT10 0DR,02890582288,GDS,BELFAST,BELFAST
14 PORTAFERRY ROAD,,NEWTOWNARDS,,BT23 8NN,02891821348,GDS,SOUTH EASTERN,ARDS
14 RAILWAY ROAD,,COLERAINE,,BT52 1PD,02870343151,GDS,NORTHERN,COLERAINE
14 VICTORIA ROAD,,LARNE,,BT40 1RN,02828260170,GDS,NORTHERN,LARNE
152 ANDERSONSTOWN ROAD,,BELFAST,,BT11 9BY,02890613325,GDS,BELFAST,BELFAST
16 BELMORE STREET,,ENNISKILLEN,,BT74 6AA,02866323357,GDS,WESTERN,FERMANAGH
16 NEWRY RD,BANBRIDGE,,,BT32 3HN,02840624881,GDS,SOUTHERN,BANBRIDGE
165/167 CAVEHILL ROAD,,BELFAST,,BT15 5BP,02890370206,GDS,BELFAST,BELFAST
167 MOIRA ROAD,,LISBURN,,BT28 1RW,02892672399,GDS,SOUTH EASTERN,LISBURN
17 CHURCH ROAD,BESSBROOK,NEWRY,,BT35 7AQ,02830830218,GDS,SOUTHERN,NEWRY & MOURNE
17 STREAM STREET,,DOWNPATRICK,,BT30 6DD,02844612217,GDS,SOUTH EASTERN,DOWN
188 STEWARTSTOWN ROAD,,BELFAST,,BT17 0LE,02890610570,GDS,SOUTH EASTERN,LISBURN
19A MARKET SQUARE,,DROMORE,,BT25 1AW,02892699785,GDS,SOUTHERN,BANBRIDGE
208 ANTRIM ROAD,,BELFAST,,BT15 2AN,02890351127,GDS,BELFAST,BELFAST
20C NORTH STREET,,CROSSMAGLEN,,BT35 9AB,02830861100,GDS,SOUTHERN,NEWRY & MOURNE
21 SLOAN STREET,,LISBURN,,BT27 5AG,02892661616,GDS,SOUTH EASTERN,LISBURN
22 MAIN STREET,,BALLYNAHINCH,,BT24 8DN,02897562358,GDS,SOUTH EASTERN,DOWN
22 NORTH STREET,,CARRICKFERGUS,,BT38 7AQ,02893351418,GDS,NORTHERN,CARRICKFERGUS
22 WEST STREET,,CARRICKFERGUS,,BT38 7AR,02893368777,GDS,NORTHERN,CARRICKFERGUS
23 CHERRY DRIVE,,EGLINTON,,BT47 3US,02871811447,GDS,WESTERN,DERRY
244 SHANKILL ROAD,,BELFAST,,BT13 2BL,02890331298,GDS,BELFAST,BELFAST
24A ST PATRICK'S AVENUE,,DOWNPATRICK,,BT30 6DW,02844614900,GDS,SOUTH EASTERN,DOWN
27 MAIN STREET,,CAMLOUGH,,BT35 7JG,02830838585,GDS,SOUTHERN,NEWRY & MOURNE
3 DUKE STREET,,WARRENPOINT,,BT34 3JY,02841754242,GDS,SOUTHERN,NEWRY & MOURNE
32/34 UPPER MILL STREET,,NEWRY,,BT34 1EY,02830262322,GDS,SOUTHERN,NEWRY & MOURNE
33 CHLORINE GARDENS,,BELFAST,,BT9 5DL,02890667598,GDS,BELFAST,BELFAST
35 ST PATRICKS AVENUE,,DOWNPATRICK,,BT30 6DW,02844612231,GDS,SOUTH EASTERN,DOWN
36 DOBBIN STREET,ARMAGH,,,BT61 7QQ,02837522580,GDS,SOUTHERN,ARMAGH
36 KING STREET,,MAGHERAFELT,,BT45 6AS,02879631924,GDS,NORTHERN,MAGHERAFELT
4 WINDSOR HILL,,NEWRY,,BT34 1ER,02830263400,GDS,SOUTHERN,NEWRY & MOURNE
40 NORTHLAND ROW,,DUNGANNON,,BT71 6AP,02887722605,GDS,SOUTHERN,DUNGANNON
420 FALLS ROAD,,BELFAST,,BT12 6EN,02890328398,GDS,BELFAST,BELFAST
43 BALLYLESSON ROAD,,BALLYMENA,,BT42 3HW,02825654300,GDS,NORTHERN,BALLYMENA
47 CARLETON STREET,,PORTADOWN,,BT62 3EP,02838334672,GDS,SOUTHERN,CRAIGAVON
49/51 MAIN STREET,,FINTONA,,BT78 2AG,02882840150,GDS,WESTERN,OMAGH
5 NEWCASTLE STREET,,KILKEEL,,BT34 4AF,02841764210,GDS,SOUTHERN,NEWRY & MOURNE
5 WINDSOR HILL,,NEWRY,,BT34 1ER,02830833843,GDS,SOUTHERN,NEWRY & MOURNE
521 ANTRIM ROAD,,BELFAST,,BT15 3BS,02890771766,GDS,BELFAST,BELFAST
55 THOMAS STREET,,DUNGANNON,,BT70 1HW,02887722619,GDS,SOUTHERN,DUNGANNON
554 ANTRIM ROAD,,BELFAST,,BT15 5GJ,02890777025,GDS,BELFAST,BELFAST
58 MAIN STREET,,PORTGLENONE,,BT44 8HR,02825822115,GDS,NORTHERN,BALLYMENA
59 ABERCORN ROAD,,LONDONDERRY,,BT48 6TQ,02871262216,GDS,WESTERN,DERRY
6 HENRY STREET,,BALLYMENA,,BT42 3AH,02825659413,GDS,NORTHERN,BALLYMENA
6 PORTLAND AVENUE,NEWTOWNABBEY,,,BT36 5EY,,GDS,NORTHERN,NEWTOWNABBEY
6 THE CRESCENT,,BELFAST,,BT8 8DW,02890812431,GDS,BELFAST,CASTLEREAGH
60 MALONE ROAD,,BELFAST,,BT9 5BT,02890660066,GDS,BELFAST,BELFAST
6A LEVER ROAD,PORTSTEWART,,,BT55 7EF,02870832798,GDS,NORTHERN,COLERAINE
1 MANOR DRIVE,,LISBURN,,BT28 1JH,02892663364,GDS,SOUTH EASTERN,LISBURN
1 TEMPLEWELL,,TEMPLEPATRICK,,BT39 0AB,02894433888,GDS,NORTHERN,ANTRIM
103 MAIN STREET,,CRUMLIN,,BT29 4UU,02894453413,GDS,NORTHERN,ANTRIM
11 UNIVERSITY STREET,BELFAST,,,BT7 1FY,02890323321,GDS,BELFAST,BELFAST
115 BELMONT ROAD,,BELFAST,,BT4 2AD,02890471503,GDS,BELFAST,BELFAST
116 UPPER LISBURN ROAD,,BELFAST,,BT10 0BD,02890611880,GDS,BELFAST,BELFAST
12/14 RUSSELL STREET,,ARMAGH,,BT61 9AA,02837524958,GDS,SOUTHERN,ARMAGH
138 WHITEWELL ROAD,,BELFAST,,BT36 7EP,02890370279,GDS,BELFAST,BELFAST
143 LONGSTONE STREET,,LISBURN,,BT28 1TY,02892662518,GDS,SOUTH EASTERN,LISBURN
16 REGENT STREET,,NEWTOWNARDS,,BT23 4LH,02891812507,GDS,SOUTH EASTERN,ARDS
18 DARLING STREET,,ENNISKILLEN,,BT74 7HR,02866322983,GDS,WESTERN,FERMANAGH
18/24 WILLIAM STREET,,LURGAN,,BT66 6JA,02838322441,GDS,SOUTHERN,CRAIGAVON
18A JOHN WESLEY STREET,,STRABANE,,BT82 8EF,02871880318,GDS,WESTERN,STRABANE
19 CENTRAL AVENUE,,PORTSTEWART,,BT55 7BP,02870834555,GDS,NORTHERN,COLERAINE
1A LOCKVIEW ROAD,,BELFAST,,BT9 5FH,02890381445,GDS,BELFAST,BELFAST
2 PORTLAND AVENUE,,GLENGORMLEY,,BT36 5EY,02890832202,GDS,NORTHERN,NEWTOWNABBEY
21 PORTRUSH ROAD,,BALLYMONEY,,BT53 6BX,02827662145,GDS,NORTHERN,BALLYMONEY
211 ALBERTBRIDGE ROAD,BELFAST,,,BT5 4PU,02896919777,GDS,BELFAST,BELFAST
214 SHORE ROAD,,BELFAST,,BT15 3QB,02890370951,GDS,BELFAST,BELFAST
22 CHARLES STREET,,BALLYMONEY,,BT53 6DY,02827662226,GDS,NORTHERN,BALLYMONEY
22 DOAGH ROAD,,BALLYCLARE,,BT39 9BG,02893341437,GDS,NORTHERN,NEWTOWNABBEY
231 SHANKILL ROAD,,BELFAST,,BT13 1FQ,02890323526,GDS,BELFAST,BELFAST
24-34 RATHFRILAND STREET,,BANBRIDGE,,BT32 3LA,02840662645,GDS,SOUTHERN,BANBRIDGE
246/248 RAVENHILL ROAD,,BELFAST,,BT6 8GJ,02890459696,GDS,BELFAST,BELFAST
25 CHURCH STREET,,DROMORE,,BT25 1AA,02892692557,GDS,SOUTHERN,BANBRIDGE
254 BALLYSILLAN ROAD,,BELFAST,,BT14 6RA,02890714444,GDS,BELFAST,BELFAST
266 WOODSTOCK ROAD,,BELFAST,,BT6 9DN,02890457561,GDS,BELFAST,BELFAST
28 MAIN STREET,,NEWTOWNSTEWART,,BT78 4AA,02881662808,GDS,WESTERN,STRABANE
292 SHORE ROAD,,NEWTOWNABBEY,,BT37 9RW,02890365259,GDS,NORTHERN,NEWTOWNABBEY
30A FAIRHILL ROAD,,COOKSTOWN,,BT80 8AG,02886762306,GDS,NORTHERN,COOKSTOWN
32 RAINEY STREET,,MAGHERAFELT,,BT45 5AQ,02879633435,GDS,NORTHERN,MAGHERAFELT
32 SHORE ROAD,,HOLYWOOD,,BT18 9HX,02890427325,GDS,SOUTH EASTERN,NORTH DOWN
33 CAMPSIE ROAD,,OMAGH,,BT79 0AJ,02882242233,GDS,WESTERN,OMAGH
339 CREGAGH ROAD,,BELFAST,,BT6 0LE,02890792729,GDS,BELFAST,CASTLEREAGH
35 RATHFRILAND STREET,,BANBRIDGE,,BT32 3LA,02840628108,GDS,SOUTHERN,BANBRIDGE
37 BALLYGOMARTIN ROAD,,BELFAST,,BT13 3LA,02890391057,GDS,BELFAST,BELFAST
372 CREGAGH ROAD,,BELFAST,,BT6 9EY,02890793015,GDS,BELFAST,CASTLEREAGH
39 BACHELOR'S WALK,,LISBURN,,BT28 1XN,02892663022,GDS,SOUTH EASTERN,LISBURN
