name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
East Park Dental Practice Limited Northampton,01604 638102,East Park Dental Practice Limited Northampton,NN1 4LB,Northampton & Kettering (NN1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.eastparkdental.co.uk,
Brookfield Dental Care,01933 350783,Brookfield Dental Care,NN10 9TQ,Northampton & Kettering (NN10),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.brookfielddental.co.uk,
Mawsley Dental Clinic,01536 799210,Mawsley Dental Clinic,NN14 1SN,Northampton & Kettering (NN14),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.mawsleydentalclinic.co.uk,
Priors Hall Dental,01536 214144,Priors Hall Dental,NN17 5GT,Northampton & Kettering (NN17),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.priorshalldental.com,
Dental Aura,01933 677719,Dental Aura,NN8 4UF,Northampton & Kettering (NN8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.redhilldentalcare.co.uk/,
Wellingborough Dental & Implant Clinic,0791 2938448,Wellingborough Dental & Implant Clinic,NN8 6UW,Northampton & Kettering (NN8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.ketteringdentists.co.uk,
Finedon Dental Surgery,01933 681288,Finedon Dental Surgery,NN9 5JA,Northampton & Kettering (NN9),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://finedondentalpractice.co.uk,
The Elms Dental Practice,01604 630984,The Elms Dental Practice,NN1 5BE,Northampton & Kettering (NN1),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,https://www.theelmsdental.co.uk,
Together Dental Daventry,01327 871611,Together Dental Daventry,NN11 4BG,Northampton & Kettering (NN11),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Together Dental,No,https://www.together.dental/daventry/,
Together Dental Daventry,01327 871611,Together Dental Daventry,NN11 4BH,Northampton & Kettering (NN11),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Together Dental,No,https://www.together.dental/daventry/,
Woodview Dental Practice,01604 670977,Woodview Dental Practice,NN3 8AW,Northampton & Kettering (NN3),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,https://www.woodviewdental.co.uk,
Together Dental Wellingborough,01933 222321,Together Dental Wellingborough,NN8 4PW,Northampton & Kettering (NN8),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Together Dental,No,https://www.together.dental/wellingborough/,
