practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
East Park Dental Practice Limited Northampton,,"24 East Park Parade, Kettering Road, Northampton",NN1 4LB,Northampton & Kettering (NN1),01604 638102,https://www.eastparkdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,East Park Dental Practice Limited,CQC directory (auto-downloaded),
Brookfield Dental Care,,"1 Brookfield Road, Rushden",NN10 9TQ,Northampton & Kettering (NN10),01933 350783,https://www.brookfielddental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Private Dental Group Limited,CQC directory (auto-downloaded),
Mawsley Dental Clinic,,"School Road, Mawsley Village, Kettering",NN14 1SN,Northampton & Kettering (NN14),01536 799210,https://www.mawsleydentalclinic.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mawsley Dental Clinic Limited,CQC directory (auto-downloaded),
Priors Hall Dental,,"Holland Square, , Hampstead Road, , Corby",NN17 5GT,Northampton & Kettering (NN17),01536 214144,https://www.priorshalldental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Priors Hall Dental Limited,CQC directory (auto-downloaded),
Dental Aura,,"4 Farm Road, Wellingborough",NN8 4UF,Northampton & Kettering (NN8),01933 677719,https://www.redhilldentalcare.co.uk/,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Priya Sanghvi-Patel,CQC directory (auto-downloaded),
Wellingborough Dental & Implant Clinic,,"York House,  1-3 Newton Close, Park Farm Industrial Estate, Wellingborough",NN8 6UW,Northampton & Kettering (NN8),0791 2938448,https://www.ketteringdentists.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Revel Dental Limited,CQC directory (auto-downloaded),
Finedon Dental Surgery,,"2 Tann Road, Finedon, Wellingborough",NN9 5JA,Northampton & Kettering (NN9),01933 681288,https://finedondentalpractice.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Finedon Dental Surgery Partnership,CQC directory (auto-downloaded),
Castilian Street Dental Practice,,"10 Castilian Street, Northampton",NN1 1JX,Northampton & Kettering (NN1),01604 637080,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Castilian Street Dental Practice,CQC directory (auto-downloaded),
Northampton Dental Hub,,"8 St. Peters Square, Northampton",NN1 1PS,Northampton & Kettering (NN1),0777 2765215,https://www.northamptondentalhub.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Northampton Dental Hub Limited,CQC directory (auto-downloaded),website unreachable
Northants Dental Ltd,44 Derngate,"44 Derngate, Northampton",NN1 1UH,Northampton & Kettering (NN1),01604 439270,https://www.44derngate.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Northants Dental Limited,CQC directory (auto-downloaded),
Mr Sachin Patel,,"320 Wellingborough Road, Northampton",NN1 4EP,Northampton & Kettering (NN1),01604 636361,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Sachin Patel,CQC directory (auto-downloaded),
Floss Dental Care,,"14 Wantage Road, Northampton",NN1 4TH,Northampton & Kettering (NN1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr Diana Ferati Pllana,CQC directory (auto-downloaded),
Abington Dental Practice,,"1A Billing Road, Northampton",NN1 5AL,Northampton & Kettering (NN1),01604 638815,https://www.abingtondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Abington Dental Practice Ltd,CQC directory (auto-downloaded),
Delapre Dental Care,,"5 Billing Road, Northampton",NN1 5AN,Northampton & Kettering (NN1),01604 636836,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Piyush Kumar Patel and Sabina Hamid,CQC directory (auto-downloaded),
Cliftonville Dental,,"65 The Avenue, Cliftonville, Northampton",NN1 5BT,Northampton & Kettering (NN1),01604 604545,https://www.cliftonvilledentalcare.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Anesh Patel,CQC directory (auto-downloaded),website unreachable
Priory Cottage St Andrews Hospital,,"Billing Road, Northampton",NN1 5DG,Northampton & Kettering (NN1),01604 616000,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
The Dental Suite (Northants) Ltd,The Dental Suite,"Ardington Road, Northampton",NN1 5LT,Northampton & Kettering (NN1),01604 232604,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dental Suite (Northants) Ltd,CQC directory (auto-downloaded),
Saving Smiles Rushden,,"12 Queen Street, Rushden",NN10 0AA,Northampton & Kettering (NN10),01933 312992,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Vivak Shah,CQC directory (auto-downloaded),
Mr Ha Wai Edmund Chan - Rushden,,"2 High Street South, Rushden",NN10 0QS,Northampton & Kettering (NN10),01933 312256,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Ha Wai Edmund Chan,CQC directory (auto-downloaded),
TG's Dental Suite,,"69 High Street, Higham Ferrers, Rushden",NN10 8DD,Northampton & Kettering (NN10),01933 318481,https://www.tgsdental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,TG Dental Care Limited,CQC directory (auto-downloaded),website unreachable
