name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
East Park Dental Practice Limited Northampton,01604 638102,East Park Dental Practice Limited Northampton,NN1 4LB,Northampton & Kettering (NN1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.eastparkdental.co.uk,
Brookfield Dental Care,01933 350783,Brookfield Dental Care,NN10 9TQ,Northampton & Kettering (NN10),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.brookfielddental.co.uk,
Mawsley Dental Clinic,01536 799210,Mawsley Dental Clinic,NN14 1SN,Northampton & Kettering (NN14),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.mawsleydentalclinic.co.uk,
Priors Hall Dental,01536 214144,Priors Hall Dental,NN17 5GT,Northampton & Kettering (NN17),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.priorshalldental.com,
Dental Aura,01933 677719,Dental Aura,NN8 4UF,Northampton & Kettering (NN8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.redhilldentalcare.co.uk/,
Wellingborough Dental & Implant Clinic,0791 2938448,Wellingborough Dental & Implant Clinic,NN8 6UW,Northampton & Kettering (NN8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.ketteringdentists.co.uk,
Finedon Dental Surgery,01933 681288,Finedon Dental Surgery,NN9 5JA,Northampton & Kettering (NN9),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://finedondentalpractice.co.uk,
Castilian Street Dental Practice,01604 637080,Castilian Street Dental Practice,NN1 1JX,Northampton & Kettering (NN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Northampton Dental Hub,0777 2765215,Northampton Dental Hub,NN1 1PS,Northampton & Kettering (NN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.northamptondentalhub.co.uk,website unreachable
Northants Dental Ltd,01604 439270,Northants Dental Ltd,NN1 1UH,Northampton & Kettering (NN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.44derngate.co.uk,
Mr Sachin Patel,01604 636361,Mr Sachin Patel,NN1 4EP,Northampton & Kettering (NN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Abington Dental Practice,01604 638815,Abington Dental Practice,NN1 5AL,Northampton & Kettering (NN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.abingtondental.co.uk,
Delapre Dental Care,01604 636836,Delapre Dental Care,NN1 5AN,Northampton & Kettering (NN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cliftonville Dental,01604 604545,Cliftonville Dental,NN1 5BT,Northampton & Kettering (NN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cliftonvilledentalcare.com,website unreachable
Priory Cottage St Andrews Hospital,01604 616000,Priory Cottage St Andrews Hospital,NN1 5DG,Northampton & Kettering (NN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Suite (Northants) Ltd,01604 232604,The Dental Suite (Northants) Ltd,NN1 5LT,Northampton & Kettering (NN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Saving Smiles Rushden,01933 312992,Saving Smiles Rushden,NN10 0AA,Northampton & Kettering (NN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mr Ha Wai Edmund Chan - Rushden,01933 312256,Mr Ha Wai Edmund Chan - Rushden,NN10 0QS,Northampton & Kettering (NN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
TG's Dental Suite,01933 318481,TG's Dental Suite,NN10 8DD,Northampton & Kettering (NN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.tgsdental.co.uk,website unreachable
Ashby Fields Dental Centre,01327 704493,Ashby Fields Dental Centre,NN11 0XY,Northampton & Kettering (NN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Daventry Dental Care,01327 878758,Daventry Dental Care,NN11 4AB,Northampton & Kettering (NN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Desborough Dental Surgery,01536 761416,Desborough Dental Surgery,NN14 2RL,Northampton & Kettering (NN14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chancery Dental,01832 733093,Chancery Dental,NN14 4JL,Northampton & Kettering (NN14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.chancerydental.co.uk,
