practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
BELFAST Dental Surgery,,"CRUTCHLEYS DENTAL PRACTICE, 116 UPPER LISBURN ROAD, BELFAST",BT10 0BD,Northern Ireland (BT10),02890 603440,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Northern Ireland BSO dental surgery list,
BELFAST Dental Surgery,,"8 FINAGHY ROAD SOUTH, BELFAST",BT10 0DR,Northern Ireland (BT10),02890 613558,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Northern Ireland BSO dental surgery list,
BELFAST Dental Surgery,,"GRANSHA DENTAL SURGERY, 89A GLEN ROAD, BELFAST",BT11 8BD,Northern Ireland (BT11),0844 5769505,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Northern Ireland BSO dental surgery list,
BELFAST Dental Surgery,,"535A FALLS ROAD, BELFAST",BT11 9AA,Northern Ireland (BT11),02890 629296,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Northern Ireland BSO dental surgery list,
BELFAST Dental Surgery,,"SLIABH MÓR DENTAL CARE, KENNEDY CENTRE, 564-568 FALLS ROAD, BELFAST",BT11 9AE,Northern Ireland (BT11),02890 430110,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Northern Ireland BSO dental surgery list,
BELFAST Dental Surgery,,"152 ANDERSONSTOWN ROAD, BELFAST",BT11 9BY,Northern Ireland (BT11),02890 613325,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Northern Ireland BSO dental surgery list,
BELFAST Dental Surgery,,"163 ANDERSONSTOWN ROAD, BELFAST",BT11 9EA,Northern Ireland (BT11),02890 611444,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Northern Ireland BSO dental surgery list,
BELFAST Dental Surgery,,"4 LADYBROOK PARK, BELFAST",BT11 9EL,Northern Ireland (BT11),02890 301999,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Northern Ireland BSO dental surgery list,
BELFAST Dental Surgery,,"25 STEWARTSTOWN ROAD, BELFAST",BT11 9FY,Northern Ireland (BT11),02890 283800,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Northern Ireland BSO dental surgery list,
BELFAST Dental Surgery,,"5 SUFFOLK PARADE, BELFAST",BT11 9JR,Northern Ireland (BT11),02890 611688,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Northern Ireland BSO dental surgery list,
BELFAST Dental Surgery,,"279 GROSVENOR ROAD, BELFAST",BT12 4LL,Northern Ireland (BT12),02890 438395,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Northern Ireland BSO dental surgery list,
