name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
BELFAST Dental Surgery,0844 5769505,BELFAST Dental Surgery,BT11 8BD,Northern Ireland (BT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 629296,BELFAST Dental Surgery,BT11 9AA,Northern Ireland (BT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 430110,BELFAST Dental Surgery,BT11 9AE,Northern Ireland (BT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 613325,BELFAST Dental Surgery,BT11 9BY,Northern Ireland (BT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 611444,BELFAST Dental Surgery,BT11 9EA,Northern Ireland (BT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 301999,BELFAST Dental Surgery,BT11 9EL,Northern Ireland (BT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 283800,BELFAST Dental Surgery,BT11 9FY,Northern Ireland (BT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 611688,BELFAST Dental Surgery,BT11 9JR,Northern Ireland (BT11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 749679,BELFAST Dental Surgery,BT15 2AN,Northern Ireland (BT15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 743709,BELFAST Dental Surgery,BT15 2GZ,Northern Ireland (BT15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 754916,BELFAST Dental Surgery,BT15 3BG,Northern Ireland (BT15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 771766,BELFAST Dental Surgery,BT15 3BS,Northern Ireland (BT15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02895 039547,BELFAST Dental Surgery,BT15 3BU,Northern Ireland (BT15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 370951,BELFAST Dental Surgery,BT15 3QB,Northern Ireland (BT15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 371517,BELFAST Dental Surgery,BT15 5AE,Northern Ireland (BT15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 370206,BELFAST Dental Surgery,BT15 5BP,Northern Ireland (BT15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 715211,BELFAST Dental Surgery,BT15 5EY,Northern Ireland (BT15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 774633,BELFAST Dental Surgery,BT15 5GB,Northern Ireland (BT15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BELFAST Dental Surgery,02890 777025,BELFAST Dental Surgery,BT15 5GJ,Northern Ireland (BT15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BANGOR Dental Surgery,02891 462234,BANGOR Dental Surgery,BT20 3DU,Northern Ireland (BT20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BANGOR Dental Surgery,02891 270634,BANGOR Dental Surgery,BT20 3DW,Northern Ireland (BT20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BANGOR Dental Surgery,02891 270873,BANGOR Dental Surgery,BT20 3JW,Northern Ireland (BT20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BANGOR Dental Surgery,02891 270041,BANGOR Dental Surgery,BT20 4JA,Northern Ireland (BT20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BANGOR Dental Surgery,02891 270426,BANGOR Dental Surgery,BT20 4LE,Northern Ireland (BT20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BANGOR Dental Surgery,02891 270657,BANGOR Dental Surgery,BT20 4LN,Northern Ireland (BT20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BANGOR Dental Surgery,02891 463352,BANGOR Dental Surgery,BT20 4QX,Northern Ireland (BT20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BANGOR Dental Surgery,02891 271026,BANGOR Dental Surgery,BT20 5DR,Northern Ireland (BT20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BANGOR Dental Surgery,02891 452555,BANGOR Dental Surgery,BT20 5EX,Northern Ireland (BT20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BANGOR Dental Surgery,02891 465625,BANGOR Dental Surgery,BT20 5LN,Northern Ireland (BT20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
NEWTOWNARDS Dental Surgery,02891 812615,NEWTOWNARDS Dental Surgery,BT23 4DE,Northern Ireland (BT23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
63 South Street,02891 818909,63 South Street,BT23 4JU,Northern Ireland (BT23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
NEWTOWNARDS Dental Surgery,02891 812507,NEWTOWNARDS Dental Surgery,BT23 4LH,Northern Ireland (BT23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
COMBER Dental Surgery,02891 872482,COMBER Dental Surgery,BT23 5AP,Northern Ireland (BT23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
COMBER Dental Surgery,02891 897897,COMBER Dental Surgery,BT23 5DY,Northern Ireland (BT23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
COMBER Dental Surgery,02891 872839,COMBER Dental Surgery,BT23 5DZ,Northern Ireland (BT23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
NEWTOWNARDS Dental Surgery,02891 813288,NEWTOWNARDS Dental Surgery,BT23 7DW,Northern Ireland (BT23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
NEWTOWNARDS Dental Surgery,02891 821348,NEWTOWNARDS Dental Surgery,BT23 8NN,Northern Ireland (BT23),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LISBURN Dental Surgery,02892 663364,LISBURN Dental Surgery,BT28 1JH,Northern Ireland (BT28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LISBURN Dental Surgery,02892 672399,LISBURN Dental Surgery,BT28 1RW,Northern Ireland (BT28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LISBURN Dental Surgery,02892 634444,LISBURN Dental Surgery,BT28 1TP,Northern Ireland (BT28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LISBURN Dental Surgery,02892 602201,LISBURN Dental Surgery,BT28 1TS,Northern Ireland (BT28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LISBURN Dental Surgery,02892 662518,LISBURN Dental Surgery,BT28 1TY,Northern Ireland (BT28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LISBURN Dental Surgery,02892 663185,LISBURN Dental Surgery,BT28 1XG,Northern Ireland (BT28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
1-3 Bachelors Walk,02892 679060,1-3 Bachelors Walk,BT28 1XJ,Northern Ireland (BT28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LISBURN Dental Surgery,02892 663893,LISBURN Dental Surgery,BT28 1XN,Northern Ireland (BT28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LISBURN Dental Surgery,02892 663414,LISBURN Dental Surgery,BT28 1YG,Northern Ireland (BT28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
DOWNPATRICK Dental Surgery,02844 614422,DOWNPATRICK Dental Surgery,BT30 6AB,Northern Ireland (BT30),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
DOWNPATRICK Dental Surgery,02844 612249,DOWNPATRICK Dental Surgery,BT30 6BW,Northern Ireland (BT30),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
DOWNPATRICK Dental Surgery,02844 612217,DOWNPATRICK Dental Surgery,BT30 6DD,Northern Ireland (BT30),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
9-11 St Patrick'S Ave,02844 616588,9-11 St Patrick'S Ave,BT30 6DW,Northern Ireland (BT30),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
DOWNPATRICK Dental Surgery,02844 612231,DOWNPATRICK Dental Surgery,BT30 6DW,Northern Ireland (BT30),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
DOWNPATRICK Dental Surgery,02844 881995,DOWNPATRICK Dental Surgery,BT30 7ND,Northern Ireland (BT30),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
CO. DOWN Dental Surgery,02844 832585,CO. DOWN Dental Surgery,BT30 9DQ,Northern Ireland (BT30),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
CROSSGAR Dental Surgery,02844 830111,CROSSGAR Dental Surgery,BT30 9EA,Northern Ireland (BT30),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
NEWRY Dental Surgery,02830 053748,NEWRY Dental Surgery,BT34 1AY,Northern Ireland (BT34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
NEWRY Dental Surgery,02830 265765,NEWRY Dental Surgery,BT34 1BT,Northern Ireland (BT34),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
