practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Toftwood Dental Practice,,"111 Shipdham Road, Toftwood, Dereham",NR19 1AH,Norwich & Norfolk (NR19),01362 699342,https://www.toftwooddentalpractice.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Clavarez Ltd,CQC directory (auto-downloaded),
Station House Dental Practice,,"High Street, Stalham, Norwich",NR12 9AH,Norwich & Norfolk (NR12),0844 5769986,https://www.stationhousedental.co.uk,Unknown,Exact/SOE,high,Exact/SOE:softwareofexcellence,Exact/SOE confirmed,Tier 2 - Exact/SOE workflow (no live booking integration yet),No,,No,Simply Smile Station House Limited,CQC directory (auto-downloaded),
Prince of Wales Dental Care incorporating East of England Endodontics,,"42 Prince of Wales Road, Norwich",NR1 1LG,Norwich & Norfolk (NR1),01603 629344,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Souza Dental Partnership - Prince of Wales Dental Care,CQC directory (auto-downloaded),
RS Dental Norwich,,"42 Prince of Wales Road, Norwich",NR1 1LG,Norwich & Norfolk (NR1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Rekha Shrestha,CQC directory (auto-downloaded),
Cathedral Steet Dental Practice,,"10 Cathedral Street, Norwich",NR1 1LX,Norwich & Norfolk (NR1),01603 628963,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Maltese Cross Dental Limited,CQC directory (auto-downloaded),
Cathedral Street Dental Practice,,"10-12 Cathedral Street, Norwich",NR1 1LX,Norwich & Norfolk (NR1),01603 628963,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cathedral Street Dental Practice,CQC directory (auto-downloaded),
Riverside Dental,,"12 Broadland Court, Wherry Road, Norwich",NR1 1UN,Norwich & Norfolk (NR1),01603 920313,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Envisage Dental UK Limited,CQC directory (auto-downloaded),
Viva Dental Norwich,,"225-227, Queens Road, Norwich",NR1 3AE,Norwich & Norfolk (NR1),01217 728886,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Night Dental Ltd,CQC directory (auto-downloaded),
Andrew Brown Dental Practice,,"88 Hall Road, Norwich",NR1 3HP,Norwich & Norfolk (NR1),01603 621623,https://www.andrewbrowndentist.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Masoud Shahram,CQC directory (auto-downloaded),
Norwich Dental Care,,"88 Hall Road, Norwich",NR1 3HP,Norwich & Norfolk (NR1),01603 621623,https://www.andrewbrowndentist.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Norwich Dental Care Limited,CQC directory (auto-downloaded),
