name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Prince of Wales Dental Care incorporating East of England Endodontics,01603 629344,Prince of Wales Dental Care incorporating East of England Endodontics,NR1 1LG,Norwich & Norfolk (NR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cathedral Steet Dental Practice,01603 628963,Cathedral Steet Dental Practice,NR1 1LX,Norwich & Norfolk (NR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cathedral Street Dental Practice,01603 628963,Cathedral Street Dental Practice,NR1 1LX,Norwich & Norfolk (NR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Riverside Dental,01603 920313,Riverside Dental,NR1 1UN,Norwich & Norfolk (NR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Viva Dental Norwich,01217 728886,Viva Dental Norwich,NR1 3AE,Norwich & Norfolk (NR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Andrew Brown Dental Practice,01603 621623,Andrew Brown Dental Practice,NR1 3HP,Norwich & Norfolk (NR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.andrewbrowndentist.com,
Norwich Dental Care,01603 621623,Norwich Dental Care,NR1 3HP,Norwich & Norfolk (NR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.andrewbrowndentist.com,
All Saints Green Dental Clinic,01603 623936,All Saints Green Dental Clinic,NR1 3LY,Norwich & Norfolk (NR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.allsaintsgreendental.co.uk,
Levene Dental Care,01603 660758,Levene Dental Care,NR1 3NY,Norwich & Norfolk (NR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.rosscampbell.co.uk,
Orford Hill Dental Practice,01603 762900,Orford Hill Dental Practice,NR1 3QD,Norwich & Norfolk (NR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Norfolk Dental Specialists,01603 632525,Norfolk Dental Specialists,NR1 3QX,Norwich & Norfolk (NR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.perionorfolk.co.uk,website unreachable
The Heartsease Dental Surgery,01603 700435,The Heartsease Dental Surgery,NR1 4AB,Norwich & Norfolk (NR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Spixworth Dental Practice,01603 898414,Spixworth Dental Practice,NR10 3AF,Norwich & Norfolk (NR10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Horsford Dental Practice,01603 898002,Horsford Dental Practice,NR10 3DE,Norwich & Norfolk (NR10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
