name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Aesthetic Dental Studio,01159 502777,Aesthetic Dental Studio,NG1 1HW,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Harrison Dental,01159 483238,Harrison Dental,NG1 1PU,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
City Dental Practice,01159 417034,City Dental Practice,NG1 2AE,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smmmile Nottingham,01156 488888,Smmmile Nottingham,NG1 2JP,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smmmile Store,794336492,Smmmile Store,NG1 2JP,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smmmile.store,website unreachable
A & D Dental Practice Ltd,01158 415064,A & D Dental Practice Ltd,NG1 3FB,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Features Nottingham,01159 501977,Features Nottingham,NG1 3HL,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.featuresnottingham.co.uk,
Pure Orthodontics,0758 8204950,Pure Orthodontics,NG1 5BQ,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pure Orthodontics (Richard Skeggs),01159 484288,Pure Orthodontics (Richard Skeggs),NG1 5BQ,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Regent Street Orthodontics,01159 484277,Regent Street Orthodontics,NG1 5BQ,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
East Midlands Orthodontics,01159 484274,East Midlands Orthodontics,NG1 5BS,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stella Dental Suite,115488444,Stella Dental Suite,NG1 5DU,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://stelladentalsuite.co.uk,
The Ropewalk Dental and Implant Suite,01159 508260,The Ropewalk Dental and Implant Suite,NG1 5DW,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ropewalkdental.co.uk,
Park Dental Care,01159 101447,Park Dental Care,NG1 6FW,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ukdentist.co.uk,
Market St Dental Care,01159 474244,Market St Dental Care,NG1 6HW,Nottingham (NG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.Msdental.co.uk,
Tamworth Road Dental Practice,01159 725777,Tamworth Road Dental Practice,NG10 1BY,Nottingham (NG10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
A J Moore & Associates,01159 726212,A J Moore & Associates,NG10 4ER,Nottingham (NG10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sunshine Dental Limited,01159 733591,Sunshine Dental Limited,NG10 4ND,Nottingham (NG10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sunshinedental.co.uk,
Jackson & Rigby Dental Practice,01623 623364,Jackson & Rigby Dental Practice,NG18 1NG,Nottingham (NG18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Care Centre,01623 622026,Dental Care Centre,NG18 1QJ,Nottingham (NG18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mansfield Dental Practice,01623 272222,Mansfield Dental Practice,NG18 2AF,Nottingham (NG18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.mansfielddental.co.uk,website unreachable
Mansfield Orthodontic Practice - 17 Woodhouse Road,01623 641613,Mansfield Orthodontic Practice - 17 Woodhouse Road,NG18 2AF,Nottingham (NG18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.goodsmile.co.uk,
Mansfield Orthodontic Practice - 19 Woodhouse Road,01623 641613,Mansfield Orthodontic Practice - 19 Woodhouse Road,NG18 2AF,Nottingham (NG18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.goodsmile.co.uk,
Thackeray Dental Care,01623 629359,Thackeray Dental Care,NG18 2BT,Nottingham (NG18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.thackeraydental.co.uk,
Dentistry Mansfield,01623 429966,Dentistry Mansfield,NG18 2BU,Nottingham (NG18),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Smile Centre Dental Practice,01159 864741,The Smile Centre Dental Practice,NG2 2JY,Nottingham (NG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr Mohammed Afzal - Sneinton,01159 580713,Dr Mohammed Afzal - Sneinton,NG2 4FE,Nottingham (NG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lady Bay Dental Care Ltd,01159 821000,Lady Bay Dental Care Ltd,NG2 5FW,Nottingham (NG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ladybaydentalcare.co.uk,
TSA Dental Care - West Bridgford,01159 810012,TSA Dental Care - West Bridgford,NG2 5JE,Nottingham (NG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gordon Road Dental Care,01159 816823,Gordon Road Dental Care,NG2 5LN,Nottingham (NG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bridgford Dental Practice,01159 816986,Bridgford Dental Practice,NG2 6AX,Nottingham (NG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hilton Dental Clinic,01159 232907,Hilton Dental Clinic,NG2 6HT,Nottingham (NG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hiltondentalclinic.co.uk,
Helix House Healthcare,01159 811911,Helix House Healthcare,NG2 7DR,Nottingham (NG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.helixchoices.co.uk,website unreachable
Compton Acres Dental Practice,01159 455664,Compton Acres Dental Practice,NG2 7RS,Nottingham (NG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.compton-acres.com,
Alpha Dental Care Nottingham,01159 507555,Alpha Dental Care Nottingham,NG3 2FW,Nottingham (NG3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mapperley Dental Care,01159 605282,Mapperley Dental Care,NG3 5FF,Nottingham (NG3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Duncan Macmillan House (Trust Headquarters),01159 691300,Duncan Macmillan House (Trust Headquarters),NG3 6AA,Nottingham (NG3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.nottinghamshirehealthcare.nhs.uk,
Nottingham Emergency Dental Services Ltd,115784686,Nottingham Emergency Dental Services Ltd,NG3 6DG,Nottingham (NG3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Westdale Dental,01159 603572,Westdale Dental,NG3 6DG,Nottingham (NG3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.westdaledental.com,
Westdale Dental Practice,01159 603572,Westdale Dental Practice,NG3 6DG,Nottingham (NG3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.westdaledental.com,
Porchester Dental Practice,01159 500079,Porchester Dental Practice,NG3 6LH,Nottingham (NG3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Health & Implant Centre (DHIC),01476 594480,Dental Health & Implant Centre (DHIC),NG31 6TA,Nottingham (NG31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Health Centre,01476 594480,Dental Health Centre,NG31 6TA,Nottingham (NG31),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
