practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Synergy Dental Clinic Oldham,,"133 Union Street, Oldham",OL1 1TE,Oldham (OL1),01617 102702,https://www.synergydental.org.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Zuber Bagasi and Dr Chaudhary Ahmad Partnership,CQC directory (auto-downloaded),
Eagle House Dental,,"60 Stamford Street East, Ashton-under-lyne",OL6 6QH,Oldham (OL6),01613 303419,https://www.eaglehousedental.co.uk/,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Mariam Azmi,CQC directory (auto-downloaded),
Radiant Dental Limited,,"61 Stamford Square, Ashton-under-lyne",OL6 6QR,Oldham (OL6),01613 301178,https://www.radiantdental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Radiant Dental Limited,CQC directory (auto-downloaded),
Pritchards Dental Practice Limited,,"20 Union Street, Oldham",OL1 1BE,Oldham (OL1),01616 787287,https://www.pritcharddental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Pritchards Dental Practice Ltd,CQC directory (auto-downloaded),website unreachable
Dental Surgery,,"96 Union Street, Oldham",OL1 1DU,Oldham (OL1),01616 204343,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Surgery,CQC directory (auto-downloaded),
Oldham Integrated Care Centre,,"New Radcliffe Street, Oldham",OL1 1NL,Oldham (OL1),01925 635911,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,North Cheshire and Mersey NHS Foundation Trust,CQC directory (auto-downloaded),
Ascroft Medical Clegg Street,,"24 Clegg Street, Oldham",OL1 1PL,Oldham (OL1),0752 5234034,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Multimed Limited,CQC directory (auto-downloaded),
The Tooth Place,,"63-65 Yorkshire Street, Oldham",OL1 3SL,Oldham (OL1),01616 521205,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,The Tooth Place Limited,CQC directory (auto-downloaded),
Rhodes St Dental Practice,,"11 Rhodes Street, Oldham",OL1 3TG,Oldham (OL1),01618 235329,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Rhodes DP LTD,CQC directory (auto-downloaded),
Rhodes Street Dental,,"11 Rhodes Street, Oldham",OL1 3TG,Oldham (OL1),0789 5472967,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Greater Manchester Oral Surgery and Restorative Group Limited,CQC directory (auto-downloaded),
Heywood Dental Practice,,"6 Manchester Street, Heywood",OL10 1DL,Oldham (OL10),01706 369810,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Gareth Benjamin Harper,CQC directory (auto-downloaded),
