name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Synergy Dental Clinic Oldham,01617 102702,Synergy Dental Clinic Oldham,OL1 1TE,Oldham (OL1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.synergydental.org.uk,
Eagle House Dental,01613 303419,Eagle House Dental,OL6 6QH,Oldham (OL6),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.eaglehousedental.co.uk/,
Radiant Dental Limited,01613 301178,Radiant Dental Limited,OL6 6QR,Oldham (OL6),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.radiantdental.co.uk,
Pritchards Dental Practice Limited,01616 787287,Pritchards Dental Practice Limited,OL1 1BE,Oldham (OL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.pritcharddental.co.uk,website unreachable
Dental Surgery,01616 204343,Dental Surgery,OL1 1DU,Oldham (OL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oldham Integrated Care Centre,01925 635911,Oldham Integrated Care Centre,OL1 1NL,Oldham (OL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ascroft Medical Clegg Street,0752 5234034,Ascroft Medical Clegg Street,OL1 1PL,Oldham (OL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Tooth Place,01616 521205,The Tooth Place,OL1 3SL,Oldham (OL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Rhodes St Dental Practice,01618 235329,Rhodes St Dental Practice,OL1 3TG,Oldham (OL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Rhodes Street Dental,0789 5472967,Rhodes Street Dental,OL1 3TG,Oldham (OL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Heywood Dental Practice,01706 369810,Heywood Dental Practice,OL10 1DL,Oldham (OL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Tailor & Gibb,01706 364200,Tailor & Gibb,OL10 1LJ,Oldham (OL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
DHS Dental Practice - Phoenix Centre,01706 764334,DHS Dental Practice - Phoenix Centre,OL10 1LR,Oldham (OL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Phoenix Centre,01925 635911,Phoenix Centre,OL10 1LR,Oldham (OL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hopwood Dental Practice,01706 369636,Hopwood Dental Practice,OL10 2PP,Oldham (OL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Fletcher Fosbrook Dental Surgery,01706 624677,Fletcher Fosbrook Dental Surgery,OL10 4LY,Oldham (OL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
York Street Dental Care,01706 360176,York Street Dental Care,OL10 4NN,Oldham (OL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Deeplish Dental Practice,01706 664159,Deeplish Dental Practice,OL11 1DN,Oldham (OL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Nye Bevan House,01925 635911,Nye Bevan House,OL11 1DN,Oldham (OL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mike Brown Dental,01706 647746,Mike Brown Dental,OL11 1EF,Oldham (OL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mr John Booth - 4A Dental,01706 394470,Mr John Booth - 4A Dental,OL11 2AJ,Oldham (OL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kirkholt Dental Centre,01706 352319,Kirkholt Dental Centre,OL11 2JG,Oldham (OL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Better Dental Ltd,01706 352348,Better Dental Ltd,OL11 3AW,Oldham (OL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
518 Dental,01706 527127,518 Dental,OL11 4DQ,Oldham (OL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Roch Valley Dental,01706 524469,Roch Valley Dental,OL11 4PZ,Oldham (OL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Bamford Dental Practice,01706 860831,Bamford Dental Practice,OL11 5PT,Oldham (OL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.bamforddental.co.uk,
Edenfield Dental Care,01706 644301,Edenfield Dental Care,OL12 7NH,Oldham (OL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Whitworth Dental Care,01706 353355,Whitworth Dental Care,OL12 8PW,Oldham (OL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Buckley Hall,01706 514300,HMP Buckley Hall,OL12 9DP,Oldham (OL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentistry@442,01706 372088,Dentistry@442,OL12 9LH,Oldham (OL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Church Street Dental Care,01706 379672,Church Street Dental Care,OL15 8AB,Oldham (OL15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Littleborough Dental Practice,01706 376523,Littleborough Dental Practice,OL15 8JZ,Oldham (OL15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Crescent Orthodontics & Dental Practice,01706 645125,Crescent Orthodontics & Dental Practice,OL16 1PZ,Oldham (OL16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.rochdaleorthodontics.co.uk,
Drake Dental Practice,01706 644717,Drake Dental Practice,OL16 1PZ,Oldham (OL16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
One Dental,01706 352319,One Dental,OL16 1UG,Oldham (OL16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Waterside Dental Care,01706 632661,Waterside Dental Care,OL16 2DS,Oldham (OL16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
K.L.M. Dental,0759 4170746,K.L.M. Dental,OL16 2UP,Oldham (OL16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Croft Shifa Dental Practice,01706 764738,Croft Shifa Dental Practice,OL16 2UY,Oldham (OL16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Milnrow Center OF Dental Excellence,01706 710209,Milnrow Center OF Dental Excellence,OL16 3NW,Oldham (OL16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.skexceldental.net,website unreachable
Dale Street Dental Practice,01706 641051,Dale Street Dental Practice,OL16 4HS,Oldham (OL16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Maypole Dental & Implant Clinic,01616 272184,Maypole Dental & Implant Clinic,OL2 5PA,Oldham (OL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Heyside Dental Practice Partnership,01706 849392,Heyside Dental Practice Partnership,OL2 6LS,Oldham (OL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Royton Health and Wellbeing Centre,01615 465850,Royton Health and Wellbeing Centre,OL2 6QW,Oldham (OL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Saddleworth Dental Clinic,01457 872108,Saddleworth Dental Clinic,OL3 6HY,Oldham (OL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
DHS Dental Practice,01457 874872,DHS Dental Practice,OL3 6HZ,Oldham (OL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Jackson's Dental Care,01616 274914,Jackson's Dental Care,OL4 2RB,Oldham (OL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Apollonia House Dental & Health Care,01457 821800,Apollonia House Dental & Health Care,OL4 4HA,Oldham (OL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.apolloniahouse.com,
Lees Dental Centre,01616 338227,Lees Dental Centre,OL4 5AA,Oldham (OL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
