practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Didcot Dental Studio,,"43 Orchard Street, Didcot",OX11 7LG,Oxford & Banbury (OX11),01235 380888,https://www.didcotdentalstudio.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Didcot Dental Group Ltd,CQC directory (auto-downloaded),
Cherwell Heights Dental Care,,"83 Chatsworth Drive, Banbury",OX16 9YJ,Oxford & Banbury (OX16),0789 4223737,https://www.cherwelldental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Farhan Yusuf Janjua and Saher Iqbal Janjua,CQC directory (auto-downloaded),
Heyford Smiles,,"2 The Old Station House, Camp Road,  Upper Heyford, Bicester",OX25 5BZ,Oxford & Banbury (OX25),0784 1513391,https://www.heyfordsmiles.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,SKDK Ltd,CQC directory (auto-downloaded),
Your Dentist in Thame,,"10-11 Upper High Street, Thame",OX9 3ER,Oxford & Banbury (OX9),,https://www.yourdentistinthame.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Your Dentist in Thame Ltd,CQC directory (auto-downloaded),
Park Street Dental Clinic,,"34 Park Street, Thame",OX9 3HR,Oxford & Banbury (OX9),01844 215404,https://www.parkstreetdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Dr Adam Conradi,CQC directory (auto-downloaded),
St John's Dental Practice,,"25 St John Street, Oxford",OX1 2LH,Oxford & Banbury (OX1),01865 515967,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,25 St.Johns Practice Limited,CQC directory (auto-downloaded),
Oxford,,"21 Beaumont Street, Oxford",OX1 2NA,Oxford & Banbury (OX1),01865 202705,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Accessible Orthodontics (O) Ltd,CQC directory (auto-downloaded),
33 Beaumont Street,,"33 Beaumont Street, Oxford",OX1 2NP,Oxford & Banbury (OX1),01865 557933,https://www.33beaumontstreet.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Rishi Patel Ltd,CQC directory (auto-downloaded),
"Winter, Molyneux and Vallis",,"30 Beaumont Street, Oxford",OX1 2NY,Oxford & Banbury (OX1),01865 552978,https://www.30beaumontstreet.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Winter, Molyneux and Vallis",CQC directory (auto-downloaded),
Cornmarket Dental Practice,,"3rd Floor,  11-12, Cornmarket Street, Oxford",OX1 3EX,Oxford & Banbury (OX1),01865 244304,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr David Roger Barrett,CQC directory (auto-downloaded),
42 St Giles,,"42 St Giles, Oxford",OX1 3LW,Oxford & Banbury (OX1),01865 310368,https://www.42stgiles.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Alastair Nash,CQC directory (auto-downloaded),
The Smile Practice Oxford,,"130 High Street, Oxford",OX1 4DH,Oxford & Banbury (OX1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Smile Practice Oxford Limited,CQC directory (auto-downloaded),
Lawrence & Pinkerton,,"25 St Marys Street, Wallingford",OX10 0ET,Oxford & Banbury (OX10),01491 202025,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lawrence & Pinkerton,CQC directory (auto-downloaded),
St Mary's Dental Practice,,"21A St Marys Street, Wallingford",OX10 0EW,Oxford & Banbury (OX10),01491 825252,https://www.stmarysdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Perioservices Limited,CQC directory (auto-downloaded),
Imogen Dental Limited,,"14 High Street, Benson, Wallingford",OX10 6RP,Oxford & Banbury (OX10),01491 833380,https://www.imogendental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Imogen Dental Limited,CQC directory (auto-downloaded),
