name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
St John's Dental Practice,01865 515967,St John's Dental Practice,OX1 2LH,Oxford & Banbury (OX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oxford,01865 202705,Oxford,OX1 2NA,Oxford & Banbury (OX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
33 Beaumont Street,01865 557933,33 Beaumont Street,OX1 2NP,Oxford & Banbury (OX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.33beaumontstreet.com,
"Winter, Molyneux and Vallis",01865 552978,"Winter, Molyneux and Vallis",OX1 2NY,Oxford & Banbury (OX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.30beaumontstreet.co.uk,
Cornmarket Dental Practice,01865 244304,Cornmarket Dental Practice,OX1 3EX,Oxford & Banbury (OX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
42 St Giles,01865 310368,42 St Giles,OX1 3LW,Oxford & Banbury (OX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.42stgiles.com,
Lawrence & Pinkerton,01491 202025,Lawrence & Pinkerton,OX10 0ET,Oxford & Banbury (OX10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Mary's Dental Practice,01491 825252,St Mary's Dental Practice,OX10 0EW,Oxford & Banbury (OX10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stmarysdental.co.uk,
Imogen Dental Limited,01491 833380,Imogen Dental Limited,OX10 6RP,Oxford & Banbury (OX10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.imogendental.co.uk,
Dentalcare Berinsfield,01865 341036,Dentalcare Berinsfield,OX10 7QA,Oxford & Banbury (OX10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalcareberinsfield.co.uk,
Croft House Dental Surgery,01491 836379,Croft House Dental Surgery,OX10 8DL,Oxford & Banbury (OX10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
