practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Dee Dental Paisley,,"5 COUNTY PLACE, PAISLEY",PA1 1BN,Paisley & Renfrewshire (PA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Happy Smiles Paisley,,"6 ST MIRREN STREET, PAISLEY",PA1 1UA,Paisley & Renfrewshire (PA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Abbey Dental Care,,"47 CAUSEYSIDE STREET, PAISLEY",PA1 1YN,Paisley & Renfrewshire (PA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Finesse Dental Care,,"63 CAUSEYSIDE STREET, PAISLEY",PA1 1YT,Paisley & Renfrewshire (PA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Paisley Dental Clinic,,"39 HIGH STREET, PAISLEY",PA1 2AF,Paisley & Renfrewshire (PA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Wellmeadow Dental Practice,,"11 WELLMEADOW STREET, PAISLEY",PA1 2EF,Paisley & Renfrewshire (PA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Happy Smiles Ralston,,"356 GLASGOW ROAD, PAISLEY",PA1 3BH,Paisley & Renfrewshire (PA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Kelburne Dental Practice,,"49 GLASGOW ROAD, PAISLEY",PA1 3PD,Paisley & Renfrewshire (PA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Complete Dentistry,,"21/23 GLASGOW ROAD, PAISLEY",PA1 3QY,Paisley & Renfrewshire (PA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Greenlaw Dental Care,,"25 GLASGOW ROAD, PAISLEY",PA1 3QY,Paisley & Renfrewshire (PA1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Kilbarchan Dental Practice,,"7 SHUTTLE STREET, KILBARCHAN",PA102JN,Paisley & Renfrewshire (PA10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Bridge Of Weir Dental & Aesthetic,,"NO 1 GATESIDE, 2 PRIESTON ROAD, BRIDGE OF WEIR",PA113AJ,Paisley & Renfrewshire (PA11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Blue Water Dental,,"69 HIGH STREET, LOCHWINNOCH",PA124AB,Paisley & Renfrewshire (PA12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Envisage Kilmacolm,,"10 ST JAMES TERRACE, KILMACOLM",PA134HB,Paisley & Renfrewshire (PA13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Lynton House Dental Practice,,"13A BROWN STREET, PORT GLASGOW",PA145BP,Paisley & Renfrewshire (PA14),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Belhaven Dental Surgery,,"SCARLOW HOUSE,2 SCARLOW ST, PORT GLASGOW",PA145EY,Paisley & Renfrewshire (PA14),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Crosshill Dental Practice,,"1 CROSSHILL PLACE, PORT GLASGOW",PA145UF,Paisley & Renfrewshire (PA14),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Orangefield Dental Practice,,"2 ORANGEFIELD PLACE, GREENOCK",PA151YX,Paisley & Renfrewshire (PA15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Greenock Health Centre,,"DENTAL DEPARTMENT, 20 DUNCAN ST. GREENOCK",PA154LY,Paisley & Renfrewshire (PA15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Ivy Cottage Dental Surgery,,"MAIN STREET, INVERKIP",PA160AU,Paisley & Renfrewshire (PA16),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Ardgowan Dental Care,,"12A UNION STREET, GREENOCK",PA168JJ,Paisley & Renfrewshire (PA16),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Frederick Dental Practice,,"11A UNION STREET, GREENOCK",PA168JL,Paisley & Renfrewshire (PA16),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dentistry On The Clyde,,"24 KEMPOCK STREET, GOUROCK",PA191NA,Paisley & Renfrewshire (PA19),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Weir&Mcclafferty Dental Care,,"GOUROCK MUNICIPAL BUILDINGS, 122 SHORE ST, GOUROCK",PA191QZ,Paisley & Renfrewshire (PA19),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Blessing Dental Care,,"51 IVANHOE ROAD, PAISLEY",PA2 0JZ,Paisley & Renfrewshire (PA2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
