practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Oakbank Dental Care,,"33 BURGHMUIR ROAD, PERTH",PH1 1LU,Perth & Kinross (PH1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Public Dental Service,,"BROXDEN DENTAL CENTRE, TWEED PLACE, PERTH",PH1 1TJ,Perth & Kinross (PH1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Balhousie Dental Practice,,"10 BALHOUSIE STREET, PERTH",PH1 5HJ,Perth & Kinross (PH1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dental Care Perth And Implant Clinic,,"23 SOUTH METHVEN ST, PERTH",PH1 5PE,Perth & Kinross (PH1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
64 High Street,,"BLAIRGOWRIE, PERTHSHIRE",PH106DF,Perth & Kinross (PH10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Infinityblu Dental Care & Implant Clinic,,"20 COMMERCIAL STREET, ALYTH",PH118AF,Perth & Kinross (PH11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Coupar Angus Dental Care,,"7 UNION STREET, COUPAR ANGUS, PERTHSHIRE",PH139AE,Perth & Kinross (PH13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Anderson Dentistry,,"THE CROWN, 10 BANK STREET, ABERFELDY",PH152BB,Perth & Kinross (PH15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Infinityblu Dental Care,,"60-62 ATHOLL ROAD, PITLOCHRY",PH165BL,Perth & Kinross (PH16),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Scone Dental Practice,,"12 CROSS STREET, SCONE",PH2 6LR,Perth & Kinross (PH2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
11 Main Street,,"BRIDGEND, PERTH",PH2 7HD,Perth & Kinross (PH2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Caledonian Dental Care,,"45 YORK PLACE, PERTH",PH2 8EH,Perth & Kinross (PH2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
The Perth Dental Centre,,"17-21 YORK PLACE, PERTH",PH2 8EP,Perth & Kinross (PH2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Caledonian Dental Care,,"53 KINNOULL CAUSEWAY, PERTH",PH2 8HQ,Perth & Kinross (PH2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
4 Grahams Place,,"KING STREET, PERTH",PH2 8HZ,Perth & Kinross (PH2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dental Implant Centre Perth,,"19-21 SOUTH STREET, PERTH",PH2 8PG,Perth & Kinross (PH2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Bridge Of Earn Dental Practice,,"SCOTT WAY, OLD EDINBURGH ROAD, BRIDGE OF EARN",PH2 9NJ,Perth & Kinross (PH2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Kingussie Dental,,"GYNACK STREET, KINGUSSIE",PH211EL,Perth & Kinross (PH21),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Aviemore Dental & Implant Clinic,,"CRAIG-NA-GOWER AVENUE, AVIEMORE",PH221RW,Perth & Kinross (PH22),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Your Perfect Smile Dental Clinic,,"6 GRANISH WAY, AVIEMORE",PH221UQ,Perth & Kinross (PH22),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Your Perfect Smile Dental Clinic,,"GRANT ARMS COTTAGE,THE SQUARE, GRANTOWN ON SPEY",PH263HF,Perth & Kinross (PH26),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Spring Grove Clinic,,"187 HIGH STREET, AUCHTERARDER",PH3 1AF,Perth & Kinross (PH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Infinityblu Dental Care & Implant Clinic,,"81 FEUS, AUCHTERARDER",PH3 1DG,Perth & Kinross (PH3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
M&S Dental Care,,"GLEN NEVIS PLACE, FORT WILLIAM",PH336DA,Perth & Kinross (PH33),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Glencoe Dental Centre,,"LORN DRIVE, GLENCOE",PH494HP,Perth & Kinross (PH49),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Spring Grove Clinic,,"DUNDAS STREET, COMRIE",PH6 2LN,Perth & Kinross (PH6),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Care Dental,,"34-36 COMRIE STREET, CRIEFF",PH7 4AX,Perth & Kinross (PH7),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
