practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Dental Access Centre,,"5 Midgate, Peterborough",PE1 1TN,Peterborough & Cambridgeshire (PE1),0300 5556655,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,East of England Community Health and Care NHS Trust,CQC directory (auto-downloaded),
The Priestgate Clinic,,"26 Priestgate, Peterborough",PE1 1WG,Peterborough & Cambridgeshire (PE1),01733 865000,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Dental Pods (Hygiene Services),,"6 and 6A Cathedral Square, Peterborough",PE1 1XH,Peterborough & Cambridgeshire (PE1),01733 685560,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Pods (Hygiene Services) Ltd,CQC directory (auto-downloaded),
Total Dentalcare Cathedral Square,,"3rd Floor Market Chambers, Cathedral Square, Peterborough",PE1 1XW,Peterborough & Cambridgeshire (PE1),01733 314131,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,MDANZ Limited,CQC directory (auto-downloaded),
DS Dental Surgery,,"95 Lincoln Road, Peterborough",PE1 2SJ,Peterborough & Cambridgeshire (PE1),01733 562436,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Bharpur Sanghera,CQC directory (auto-downloaded),
Oralcare,,"87a Princes Street, Peterborough",PE1 2SS,Peterborough & Cambridgeshire (PE1),01733 560700,https://www.smile1.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oralcare Limited,CQC directory (auto-downloaded),
Campbell Orthodontics,,"81-83, Park Road, Peterborough",PE1 2TN,Peterborough & Cambridgeshire (PE1),01733 847792,https://www.chortho.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Campbell Orthodontics Limited,CQC directory (auto-downloaded),
Dental Harmony,,"87 Park Road, Peterborough",PE1 2TN,Peterborough & Cambridgeshire (PE1),01733 913123,https://www.dentalharmony.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Harmony Ltd,CQC directory (auto-downloaded),
The Smile Boutique,,"150 Park Road, Peterborough",PE1 2UB,Peterborough & Cambridgeshire (PE1),01733 551534,https://www.thesmileboutique.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
Thistlemoor Smiles Centre,,"6-10 Thistlemoor Road, Peterborough",PE1 3HP,Peterborough & Cambridgeshire (PE1),01733 551988,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Thistlemoor Smiles Centre Limited,CQC directory (auto-downloaded),
Eastfield House Specialist Orthodontic Practice,,"Eastfield House, 147 Eastfield Road, Peterborough",PE1 4AU,Peterborough & Cambridgeshire (PE1),01733 348670,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Monument Dental Studio,,"Larchfield House, 79 Broadway, Peterborough",PE1 4DA,Peterborough & Cambridgeshire (PE1),01733 348433,https://www.monumentdentalstudio.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Monument Dental Studio LTD,CQC directory (auto-downloaded),
Huntly Grove Partnership,,"157 Broadway, Peterborough",PE1 4DD,Peterborough & Cambridgeshire (PE1),01733 308157,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Huntly Grove Partnership,CQC directory (auto-downloaded),
Peterborough Onefiveseven Partnership,,"157 Broadway, Peterborough",PE1 4DD,Peterborough & Cambridgeshire (PE1),01733 308157,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Peterborough Onefiveseven Partnership,CQC directory (auto-downloaded),
North Street Dental Practice,,"72 North Street, Bourne",PE10 9AJ,Peterborough & Cambridgeshire (PE10),01778 422785,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Grand Dental Ltd,CQC directory (auto-downloaded),
Bourne Dental Practice,,"19/21 West Street, Bourne",PE10 9NB,Peterborough & Cambridgeshire (PE10),01778 422002,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Welch and Maxey,CQC directory (auto-downloaded),
Ernevale House Dentistry,,"24 Station Street, Spalding",PE11 1EB,Peterborough & Cambridgeshire (PE11),01775 723191,https://www.ernevalehouse.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,NJBB Limited,CQC directory (auto-downloaded),website unreachable
Winsover Dental Care,,"Unit 1-2, 14-16,  Winsover Road, Spalding",PE11 1EJ,Peterborough & Cambridgeshire (PE11),01775 513113,https://www.winsoverdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Winsover Limited,CQC directory (auto-downloaded),
Fen House Dental Practice - Spalding,,"50-52 Bourne Road, Spalding",PE11 1JW,Peterborough & Cambridgeshire (PE11),01775 660477,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Fen House Dental Practice,CQC directory (auto-downloaded),
Smile Orthodontics Spalding,,"Fen House Dental Practice, 50 Bourne Road, Spalding",PE11 1JW,Peterborough & Cambridgeshire (PE11),0844 5769630,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Smile Orthodontics LLP,CQC directory (auto-downloaded),
Tulip Dental Practice,,"2 Woolram Wygate, Spalding",PE11 1NX,Peterborough & Cambridgeshire (PE11),01775 766901,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Israr Razaq,CQC directory (auto-downloaded),
Johnson Community Hospital,,"Pinchbeck Road, Spalding",PE11 3PB,Peterborough & Cambridgeshire (PE11),,https://www.lincolnshirecommunityhealthservices.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lincolnshire Community Health Services NHS Trust,CQC directory (auto-downloaded),
Pinchbeck Dental and Healthcare,,"5 Market Way, Pinchbeck, Spalding",PE11 3PE,Peterborough & Cambridgeshire (PE11),01775 513126,https://www.pinchbeckdh.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,RRRSS Ltd,CQC directory (auto-downloaded),
Fen House Dental Practice - Gosberton,,"42 High Street, Gosberton, Spalding",PE11 4NJ,Peterborough & Cambridgeshire (PE11),01775 660478,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Santhi Sri Kondreddy,CQC directory (auto-downloaded),
The Spalding Dental Surgery,,"Camelgate, Spalding",PE12 6ES,Peterborough & Cambridgeshire (PE12),01775 724756,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Spalding Dental Surgery,CQC directory (auto-downloaded),
Holbeach Dental Surgery,,"12 Albert Street, Holbeach, Spalding",PE12 7DN,Peterborough & Cambridgeshire (PE12),01406 490606,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Santhi Sri Kondreddy,CQC directory (auto-downloaded),
Long Sutton Dentistry,,"7 Market Street, Long Sutton, Spalding",PE12 9DD,Peterborough & Cambridgeshire (PE12),0794 0582537,https://www.longsuttondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Long Sutton Dentistry Limited,CQC directory (auto-downloaded),
The Lawns Dental Practice,,"1 London Road, Long Sutton",PE12 9EA,Peterborough & Cambridgeshire (PE12),01406 363230,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Lawns Dental Practice,CQC directory (auto-downloaded),
Museum Square Dental Centre,,"4 Museum Square, Wisbech",PE13 1ES,Peterborough & Cambridgeshire (PE13),01945 583199,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Xeon Smiles UK Limited,CQC directory (auto-downloaded),
North Cambridgeshire Hospital,,"Churchill Road, Wisbech",PE13 3AB,Peterborough & Cambridgeshire (PE13),0300 5556655,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,East of England Community Health and Care NHS Trust,CQC directory (auto-downloaded),
Townley Dental Centre,,"Upwell Health Centre, Townley Close, Wisbech",PE14 9BT,Peterborough & Cambridgeshire (PE14),01945 772121,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr David Thomas Reid Rattray,CQC directory (auto-downloaded),
Upwell Road Dental Centre,,"84 Upwell Road, March",PE15 0DA,Peterborough & Cambridgeshire (PE15),01354 653539,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mrs. Zelda Wiese,CQC directory (auto-downloaded),
HMP Whitemoor,,"Whitemoor, Longhill Road, March",PE15 0PR,Peterborough & Cambridgeshire (PE15),01354 602656,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Prisoner Centred Dental Care Limited,CQC directory (auto-downloaded),
Her Majesty's Prison Whitemoor,,"Longhill Road, March, Cambridgeshire",PE15 0PR,Peterborough & Cambridgeshire (PE15),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Northamptonshire Healthcare NHS Foundation Trust,CQC directory (auto-downloaded),
March Dental Surgery,,"24 Broad Street, March",PE15 8TG,Peterborough & Cambridgeshire (PE15),01223 247690,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Raj Wadhwani,CQC directory (auto-downloaded),
The Hollies Dental Practice,,"14 Park Street, Chatteris",PE16 6AF,Peterborough & Cambridgeshire (PE16),01354 692151,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,W & S K Ltd,CQC directory (auto-downloaded),
So Dental,,"14 East Park Street, Chatteris",PE16 6LD,Peterborough & Cambridgeshire (PE16),01354 692742,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,EQC Associates Ltd,CQC directory (auto-downloaded),
Priory Park Dental Practice,Enamel Dental Care - Priory Park Dental Practice,"29-31 New Street, St. Neots",PE19 1AJ,Peterborough & Cambridgeshire (PE19),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Enamel Priory Park Limited,CQC directory (auto-downloaded),
Huntingdon House Dental Practice,Enamel Dental Care - Spire Dental Group,"18 Huntingdon Street, St. Neots",PE19 1BG,Peterborough & Cambridgeshire (PE19),01480 470570,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Enamel St Neots Limited,CQC directory (auto-downloaded),
Cambridge Street Dental Practice,,"28 Cambridge Street, St Neots",PE19 1JL,Peterborough & Cambridgeshire (PE19),01480 475438,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Avtar Pardesi Ltd,CQC directory (auto-downloaded),
Market Square Dental Practice,,"8 Market Square, St Neots",PE19 2AW,Peterborough & Cambridgeshire (PE19),01480 472081,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Market Square Dental Practice,CQC directory (auto-downloaded),
Buckden Dental Clinic,,"35 Silver Street, Buckden",PE19 5TS,Peterborough & Cambridgeshire (PE19),01480 812898,https://www.silverstreetdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr Georgina O'Callaghan,CQC directory (auto-downloaded),
Matley Dental Surgery,,"Orton Brimbles, Peterborough",PE2 5YQ,Peterborough & Cambridgeshire (PE2),01733 230066,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Promise Dental Services Limited,CQC directory (auto-downloaded),
Modern Dentistry Centre,,"23 Commerce Road, Lynch Wood Park, Peterborough",PE2 6LR,Peterborough & Cambridgeshire (PE2),01733 961500,https://www.mdcentre.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Modern Dentistry Centre Ltd,CQC directory (auto-downloaded),
My Choice Health - Stanground,,"88 South Street, Stanground, Peterborough",PE2 8EZ,Peterborough & Cambridgeshire (PE2),01733 215555,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,RTW Surgeries Ltd,CQC directory (auto-downloaded),
Mace Dental Surgery,,"7 Mace Road, Stanground, Peterborough",PE2 8RQ,Peterborough & Cambridgeshire (PE2),01733 566203,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Molar Matrix Limited,CQC directory (auto-downloaded),
Peterborough Dental Hub,,"1 Nene Promenade, Fletton Quays, Peterborough",PE2 8WB,Peterborough & Cambridgeshire (PE2),01733 214161,https://www.peterboroughdentalhub.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,PETERBOROUGH DENTAL HUB LIMITED,CQC directory (auto-downloaded),
London Road Dental Practice,,"81 London Road, Peterborough",PE2 9BS,Peterborough & Cambridgeshire (PE2),01733 340005,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Jemtec Limited,CQC directory (auto-downloaded),
Park Dental Studio,,"59 Norfolk Street, Boston",PE21 6PE,Peterborough & Cambridgeshire (PE21),01205 365870,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Taofik Gbenga Oyedele,CQC directory (auto-downloaded),
Main Ridge West Dental Practice,,"11 Main Ridge West, Boston",PE21 6QQ,Peterborough & Cambridgeshire (PE21),01205 369333,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,RRRSS Ltd,CQC directory (auto-downloaded),
Pump Square Dental Lodge,,"5 Pump Square, Boston",PE21 6QW,Peterborough & Cambridgeshire (PE21),01205 875575,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Burton Dental Lodge Ltd,CQC directory (auto-downloaded),
Holland House Dental Practice,,"69 Wide Bargate, Boston",PE21 6SG,Peterborough & Cambridgeshire (PE21),01205 362310,https://www.hollandhousedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Smile Orthodontics Boston,,"Holland House Dental Surgery, 69 Wide Bargate, Boston",PE21 6SG,Peterborough & Cambridgeshire (PE21),01205 362310,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile Orthodontics LLP,CQC directory (auto-downloaded),
Boston Smiles Centre,,"37 Wide Bargate, Boston",PE21 6SR,Peterborough & Cambridgeshire (PE21),01205 368666,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ishak Practices Ltd,CQC directory (auto-downloaded),
