name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Dental Access Centre,0300 5556655,Dental Access Centre,PE1 1TN,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Priestgate Clinic,01733 865000,The Priestgate Clinic,PE1 1WG,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Pods (Hygiene Services),01733 685560,Dental Pods (Hygiene Services),PE1 1XH,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Total Dentalcare Cathedral Square,01733 314131,Total Dentalcare Cathedral Square,PE1 1XW,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
DS Dental Surgery,01733 562436,DS Dental Surgery,PE1 2SJ,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oralcare,01733 560700,Oralcare,PE1 2SS,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smile1.co.uk,
Campbell Orthodontics,01733 847792,Campbell Orthodontics,PE1 2TN,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.chortho.co.uk,
Dental Harmony,01733 913123,Dental Harmony,PE1 2TN,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalharmony.co.uk,
The Smile Boutique,01733 551534,The Smile Boutique,PE1 2UB,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thesmileboutique.co.uk,
Thistlemoor Smiles Centre,01733 551988,Thistlemoor Smiles Centre,PE1 3HP,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Eastfield House Specialist Orthodontic Practice,01733 348670,Eastfield House Specialist Orthodontic Practice,PE1 4AU,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Monument Dental Studio,01733 348433,Monument Dental Studio,PE1 4DA,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.monumentdentalstudio.co.uk,
Huntly Grove Partnership,01733 308157,Huntly Grove Partnership,PE1 4DD,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Peterborough Onefiveseven Partnership,01733 308157,Peterborough Onefiveseven Partnership,PE1 4DD,Peterborough & Cambridgeshire (PE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ernevale House Dentistry,01775 723191,Ernevale House Dentistry,PE11 1EB,Peterborough & Cambridgeshire (PE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ernevalehouse.co.uk,website unreachable
Winsover Dental Care,01775 513113,Winsover Dental Care,PE11 1EJ,Peterborough & Cambridgeshire (PE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.winsoverdentalcare.co.uk,
Fen House Dental Practice - Spalding,01775 660477,Fen House Dental Practice - Spalding,PE11 1JW,Peterborough & Cambridgeshire (PE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile Orthodontics Spalding,0844 5769630,Smile Orthodontics Spalding,PE11 1JW,Peterborough & Cambridgeshire (PE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Tulip Dental Practice,01775 766901,Tulip Dental Practice,PE11 1NX,Peterborough & Cambridgeshire (PE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pinchbeck Dental and Healthcare,01775 513126,Pinchbeck Dental and Healthcare,PE11 3PE,Peterborough & Cambridgeshire (PE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.pinchbeckdh.co.uk/,
Fen House Dental Practice - Gosberton,01775 660478,Fen House Dental Practice - Gosberton,PE11 4NJ,Peterborough & Cambridgeshire (PE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Huntingdon House Dental Practice,01480 470570,Huntingdon House Dental Practice,PE19 1BG,Peterborough & Cambridgeshire (PE19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cambridge Street Dental Practice,01480 475438,Cambridge Street Dental Practice,PE19 1JL,Peterborough & Cambridgeshire (PE19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Market Square Dental Practice,01480 472081,Market Square Dental Practice,PE19 2AW,Peterborough & Cambridgeshire (PE19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Buckden Dental Clinic,01480 812898,Buckden Dental Clinic,PE19 5TS,Peterborough & Cambridgeshire (PE19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.silverstreetdental.co.uk,
Matley Dental Surgery,01733 230066,Matley Dental Surgery,PE2 5YQ,Peterborough & Cambridgeshire (PE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Modern Dentistry Centre,01733 961500,Modern Dentistry Centre,PE2 6LR,Peterborough & Cambridgeshire (PE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.mdcentre.co.uk,
My Choice Health - Stanground,01733 215555,My Choice Health - Stanground,PE2 8EZ,Peterborough & Cambridgeshire (PE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mace Dental Surgery,01733 566203,Mace Dental Surgery,PE2 8RQ,Peterborough & Cambridgeshire (PE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Peterborough Dental Hub,01733 214161,Peterborough Dental Hub,PE2 8WB,Peterborough & Cambridgeshire (PE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.peterboroughdentalhub.co.uk,
London Road Dental Practice,01733 340005,London Road Dental Practice,PE2 9BS,Peterborough & Cambridgeshire (PE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park Dental Studio,01205 365870,Park Dental Studio,PE21 6PE,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Main Ridge West Dental Practice,01205 369333,Main Ridge West Dental Practice,PE21 6QQ,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pump Square Dental Lodge,01205 875575,Pump Square Dental Lodge,PE21 6QW,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Holland House Dental Practice,01205 362310,Holland House Dental Practice,PE21 6SG,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hollandhousedental.co.uk,
Smile Orthodontics Boston,01205 362310,Smile Orthodontics Boston,PE21 6SG,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Boston Smiles Centre,01205 368666,Boston Smiles Centre,PE21 6SR,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentcare1 Boston,01205 364993,Dentcare1 Boston,PE21 6TJ,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentcare1.com,
Boston Dental Centre,01205 400000,Boston Dental Centre,PE21 7BX,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bostondentalcentre.co.uk,
The Private Dental Centre,01205 352892,The Private Dental Centre,PE21 7QR,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.theprivatedentalcentre.co.uk,
Stressless Dental Care Boston,01205 368866,Stressless Dental Care Boston,PE21 8EG,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stresslessdentalcare.co.uk,website unreachable
Boston Dental Care,01205 362391,Boston Dental Care,PE21 8QN,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bostondentalcare.co.uk,
Boston Health Clinic,01205 360880,Boston Health Clinic,PE21 8RU,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lincolnshirecommunityhealthservices.nhs.uk,
Burton Dental Lodge,01205 351542,Burton Dental Lodge,PE21 9QP,Peterborough & Cambridgeshire (PE21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.burtondentallodge.co.uk,
Park Dental Studio,01754 764700,Park Dental Studio,PE25 2AG,Peterborough & Cambridgeshire (PE25),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clark Dental Studio Ltd,01754 762229,Clark Dental Studio Ltd,PE25 2AJ,Peterborough & Cambridgeshire (PE25),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mint Dental Care,01754 879232,Mint Dental Care,PE25 3QD,Peterborough & Cambridgeshire (PE25),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
East of England Community Health and Care NHS Trust,0300 5556655,East of England Community Health and Care NHS Trust,PE27 4LG,Peterborough & Cambridgeshire (PE27),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Old Grammar School Dental Surgery,01480 466466,Old Grammar School Dental Surgery,PE27 5BZ,Peterborough & Cambridgeshire (PE27),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cromwell Place Dental Practice,01480 462563,Cromwell Place Dental Practice,PE27 5JB,Peterborough & Cambridgeshire (PE27),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
MDI Dental Clinic,0740 3385683,MDI Dental Clinic,PE27 5PD,Peterborough & Cambridgeshire (PE27),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kimbolton Dental Studio,01480 860618,Kimbolton Dental Studio,PE28 0HA,Peterborough & Cambridgeshire (PE28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Littlehey,01480 335572,HMP Littlehey,PE28 0SR,Peterborough & Cambridgeshire (PE28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Church Street Dental Practice,01487 843023,Church Street Dental Practice,PE28 3EG,Peterborough & Cambridgeshire (PE28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.churchstreetdentalpractice.com,
Brampton Dental Practice,01480 458100,Brampton Dental Practice,PE28 4TQ,Peterborough & Cambridgeshire (PE28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bramptondentalpractice.co.uk,
Sawtry Dental Surgery,01487 830438,Sawtry Dental Surgery,PE28 5TS,Peterborough & Cambridgeshire (PE28),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Godmanchester Dental,12345678910,Godmanchester Dental,PE29 2AY,Peterborough & Cambridgeshire (PE29),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.godmanchesterdental.co.uk,
Wensleydale Dental Practice,01480 453003,Wensleydale Dental Practice,PE29 3BD,Peterborough & Cambridgeshire (PE29),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Huntingdon Smiles,01480 781421,Huntingdon Smiles,PE29 3EN,Peterborough & Cambridgeshire (PE29),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stukeley Dental Surgery,01480 354812,Stukeley Dental Surgery,PE29 6HH,Peterborough & Cambridgeshire (PE29),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Rightwell East Dental Practice,01733 333990,Rightwell East Dental Practice,PE3 8DT,Peterborough & Cambridgeshire (PE3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bretton Dental Surgery,01733 265255,Bretton Dental Surgery,PE3 8EU,Peterborough & Cambridgeshire (PE3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
OP Dental Limited,01733 262623,OP Dental Limited,PE3 8EU,Peterborough & Cambridgeshire (PE3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smiles Better Dental Care,01553 692296,Smiles Better Dental Care,PE30 1AD,Peterborough & Cambridgeshire (PE30),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smilesbetter.co.uk,
The 3 King Street Dental Centre,01553 760112,The 3 King Street Dental Centre,PE30 1ET,Peterborough & Cambridgeshire (PE30),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Tuesday Market Practice Ltd,01553 773302,Tuesday Market Practice Ltd,PE30 1JN,Peterborough & Cambridgeshire (PE30),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
