practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Archway Dental,,"Block A,  Florence Road Industrial Estate, Kelly Bray, Callington",PL17 8EX,Plymouth & Cornwall east (PL17),01579 383300,https://www.archwaydentalsurgery.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,FAB Teeth Limited,CQC directory (auto-downloaded),
Cornwall Dental Centre,,"77 Fore Street, Bugle, St. Austell",PL26 8PD,Plymouth & Cornwall east (PL26),01726 850633,https://www.cornwall-dental.co.uk,Unknown,Dentally; MyDentist corporate,high,Dentally:portal.dental; MyDentist corporate:mydentist.co.uk,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Cornwall Dental Centre Limited,CQC directory (auto-downloaded),
Plymouth City Centre Dental Education Practice,,"71 New George Street, Plymouth",PL1 1RJ,Plymouth & Cornwall east (PL1),01752 987959,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Peninsula Dental Social Enterprise CIC,CQC directory (auto-downloaded),
Clark House Dental Surgery,,"14 Lockyer Street, The Hoe, Plymouth",PL1 2QJ,Plymouth & Cornwall east (PL1),01752 664918,https://www.plymouthdentalcare.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Clark House Dental Surgeries Limited,CQC directory (auto-downloaded),website unreachable
Mount Wise Dental Practice,,"15A Cumberland Street, Plymouth",PL1 4DX,Plymouth & Cornwall east (PL1),01752 500992,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr Lisa Mary Mullarkey,CQC directory (auto-downloaded),
Devonport Dental Educational Facility,,"Peninsula Dental School, 45 Damerel Close, Plymouth",PL1 4JZ,Plymouth & Cornwall east (PL1),01752 987959,https://www.plymouth.ac.uk/peninsula,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Peninsula Dental Social Enterprise CIC,CQC directory (auto-downloaded),
Cecil Street Dental Surgery,,"35 Cecil Street, Plymouth",PL1 5HW,Plymouth & Cornwall east (PL1),01752 670662,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Vachik Avakian,CQC directory (auto-downloaded),
Astrid Beauty & Dental,,"7 Culver Road, Saltash",PL12 4DW,Plymouth & Cornwall east (PL12),0798 0311070,https://www.astridgroup.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Astrid Group Limited,CQC directory (auto-downloaded),
Archway Dental (Saltash),,"161-163 Fore Street, Saltash",PL12 6AB,Plymouth & Cornwall east (PL12),01752 843680,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Archway Dental (Saltash) Ltd,CQC directory (auto-downloaded),
St Mellion Dental Clinic,,"Briston Orchard, St Mellion, Saltash",PL12 6RQ,Plymouth & Cornwall east (PL12),01579 350831,https://www.stmelliondentalclinic.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr. Miles Bray,CQC directory (auto-downloaded),
