name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Plymouth City Centre Dental Education Practice,01752 987959,Plymouth City Centre Dental Education Practice,PL1 1RJ,Plymouth & Cornwall east (PL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clark House Dental Surgery,01752 664918,Clark House Dental Surgery,PL1 2QJ,Plymouth & Cornwall east (PL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.plymouthdentalcare.co.uk,website unreachable
Mount Wise Dental Practice,01752 500992,Mount Wise Dental Practice,PL1 4DX,Plymouth & Cornwall east (PL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Devonport Dental Educational Facility,01752 987959,Devonport Dental Educational Facility,PL1 4JZ,Plymouth & Cornwall east (PL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.plymouth.ac.uk/peninsula,
Cecil Street Dental Surgery,01752 670662,Cecil Street Dental Surgery,PL1 5HW,Plymouth & Cornwall east (PL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Astrid Beauty & Dental,0798 0311070,Astrid Beauty & Dental,PL12 4DW,Plymouth & Cornwall east (PL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.astridgroup.co.uk,
Archway Dental (Saltash),01752 843680,Archway Dental (Saltash),PL12 6AB,Plymouth & Cornwall east (PL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Mellion Dental Clinic,01579 350831,St Mellion Dental Clinic,PL12 6RQ,Plymouth & Cornwall east (PL12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.stmelliondentalclinic.co.uk,
The Smile Centre,01579 342348,The Smile Centre,PL14 3AQ,Plymouth & Cornwall east (PL14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.the-smile-centre.com,
Liskeard Dental Centre,01579 347543,Liskeard Dental Centre,PL14 3XB,Plymouth & Cornwall east (PL14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Dimensions Centre,01566 773873,Dental Dimensions Centre,PL15 8BA,Plymouth & Cornwall east (PL15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentaldimensions.co.uk,
Madford Lane Partnership,01566 772911,Madford Lane Partnership,PL15 9EB,Plymouth & Cornwall east (PL15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dartmoor Dental,01822 612828,Dartmoor Dental,PL19 8AN,Plymouth & Cornwall east (PL19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dartmoor Dental Ltd,01822 612828,Dartmoor Dental Ltd,PL19 8AN,Plymouth & Cornwall east (PL19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Abbey Mead Dental Practice and Implant Centre,01822 611121,Abbey Mead Dental Practice and Implant Centre,PL19 8AU,Plymouth & Cornwall east (PL19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Andrew Brown Dental Limited,01822 617788,Andrew Brown Dental Limited,PL19 8AU,Plymouth & Cornwall east (PL19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.andrewbrowndental.co.uk,
Spring Hill Dental Practice,01822 613112,Spring Hill Dental Practice,PL19 8JZ,Plymouth & Cornwall east (PL19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Harwood Dental Practice,01822 615694,Harwood Dental Practice,PL19 8LF,Plymouth & Cornwall east (PL19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.harwooddental.co.uk,
Modbury Dental Practice,01548 830811,Modbury Dental Practice,PL21 0PS,Plymouth & Cornwall east (PL21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
