practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Stoke Road Dental Practice,,"62 Stoke Road, Gosport",PO12 1PA,Portsmouth & Hampshire south (PO12),02392 580680,https://www.stokeroaddentalpractice.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Gosport Smile Centre Ltd,CQC directory (auto-downloaded),
Crofton Dental Care,,"37 Stubbington Lane, Stubbington, Fareham",PO14 2PN,Portsmouth & Hampshire south (PO14),01329 662915,https://www.croftondentalcare.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr Basil Mashkour,CQC directory (auto-downloaded),
Monks Brook Dental,,"Block C,  The Apex, Monks Brook, Newport",PO30 5XW,Portsmouth & Hampshire south (PO30),01983 241221,https://www.monksbrookdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Monks Brook Dental ltd,CQC directory (auto-downloaded),
Lighthouse Dental Practice,,"19 Clarendon Road, Southsea",PO5 2ED,Portsmouth & Hampshire south (PO5),02392 822740,https://www.lighthousedental.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Lighthouse Dental Practice Limited,CQC directory (auto-downloaded),
Cosham High Street Dental Practice,,"93 High Street, Cosham, Portsmouth",PO6 3AZ,Portsmouth & Hampshire south (PO6),02392 379695,https://www.perfectsmile-dental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Perfect Smile Cosham Partnership,CQC directory (auto-downloaded),
One Smile Dental Portsmouth,,"Unit A Chaucer House, Isambard Brunel Road, Portsmouth",PO1 2DR,Portsmouth & Hampshire south (PO1),02393 234105,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,1OSD Ltd,CQC directory (auto-downloaded),
Cathedral Dental Practice,,"33A High Street, Portsmouth",PO1 2LS,Portsmouth & Hampshire south (PO1),02392 296620,https://www.cathedraldentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dandelion Limited,CQC directory (auto-downloaded),
Hampshire Terrace Dental Care,,"Dental Surgery, 4 Hampshire Terrace, Portsmouth",PO1 2QF,Portsmouth & Hampshire south (PO1),02392 823779,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hampshire Terrace Dental Care,CQC directory (auto-downloaded),
University of Portsmouth Dental Academy,,"William Beatty Building, Hampshire Terrace, Portsmouth",PO1 2QG,Portsmouth & Hampshire south (PO1),02392 845252,https://www.port.ac.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,University of Portsmouth,CQC directory (auto-downloaded),
Lake Road Dental Practice,,"Lake Road Health Centre, Nutfield Place, Portsmouth",PO1 4JE,Portsmouth & Hampshire south (PO1),02392 826117,https://www.lakeroadpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lake Road Dental Practice,CQC directory (auto-downloaded),website unreachable
