name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Stoke Road Dental Practice,02392 580680,Stoke Road Dental Practice,PO12 1PA,Portsmouth & Hampshire south (PO12),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.stokeroaddentalpractice.co.uk,
Monks Brook Dental,01983 241221,Monks Brook Dental,PO30 5XW,Portsmouth & Hampshire south (PO30),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.monksbrookdental.co.uk,
Lighthouse Dental Practice,02392 822740,Lighthouse Dental Practice,PO5 2ED,Portsmouth & Hampshire south (PO5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.lighthousedental.uk,
Cosham High Street Dental Practice,02392 379695,Cosham High Street Dental Practice,PO6 3AZ,Portsmouth & Hampshire south (PO6),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.perfectsmile-dental.com,
One Smile Dental Portsmouth,02393 234105,One Smile Dental Portsmouth,PO1 2DR,Portsmouth & Hampshire south (PO1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cathedral Dental Practice,02392 296620,Cathedral Dental Practice,PO1 2LS,Portsmouth & Hampshire south (PO1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cathedraldentalpractice.co.uk,
Hampshire Terrace Dental Care,02392 823779,Hampshire Terrace Dental Care,PO1 2QF,Portsmouth & Hampshire south (PO1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
University of Portsmouth Dental Academy,02392 845252,University of Portsmouth Dental Academy,PO1 2QG,Portsmouth & Hampshire south (PO1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.port.ac.uk,
Lake Road Dental Practice,02392 826117,Lake Road Dental Practice,PO1 4JE,Portsmouth & Hampshire south (PO1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lakeroadpractice.co.uk,website unreachable
Millennium Dental Clinic,02392 503111,Millennium Dental Clinic,PO12 1BX,Portsmouth & Hampshire south (PO12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.millenium-dental.co.uk,website unreachable
