practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Synergy Dental Clinic Preston,,"35 Ormskirk Road, Preston",PR1 2QP,Preston (PR1),01772 252154,https://www.synergydental.org.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Synergy Dental Clinic Preston Ltd,CQC directory (auto-downloaded),
Preston Dental Practice,Tooth Talk Preston,"1a Priory Lane, Preston",PR1 0AR,Preston (PR1),01772 349596,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Penwortham Dental Practice Partnership,CQC directory (auto-downloaded),
The247dentist Emergency Dentist - Preston,,"1A, Priory Lane,  Penwortham, Preston",PR1 0AR,Preston (PR1),0330 1759995,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,247 Dental Limited,CQC directory (auto-downloaded),
Penwortham Dental Practice,,"46-48 Liverpool Road, Penwortham, Preston",PR1 0DQ,Preston (PR1),01772 742747,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Penwortham Dental Practice Partnership,CQC directory (auto-downloaded),
Moor Park Dental Practice,,"67 Garstang Road, Preston",PR1 1LB,Preston (PR1),01772 555453,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Ishtiyaq Shaikh,CQC directory (auto-downloaded),
University Of Lancashire Community Dentists Limited,,"Harrington Building, University Of Central Lancashire, Preston",PR1 2HE,Preston (PR1),01772 896300,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,University Of Lancashire Community Dentists Limited,CQC directory (auto-downloaded),
Ringway Dental Care,,"Ringway, Preston",PR1 3HQ,Preston (PR1),01772 695300,https://www.lancashirecare.nhs.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lancashire & South Cumbria NHS Foundation Trust,CQC directory (auto-downloaded),website unreachable
Camden Place Dental Practice,,"6 Camden Place, Preston",PR1 3JL,Preston (PR1),01772 556050,https://www.camdenplace.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Camden Place Dental Implant Centre Limited,CQC directory (auto-downloaded),
Preston Orthodontics,,"35 Ribblesdale Place, Preston",PR1 3NA,Preston (PR1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Preston Orthodontics Limited,CQC directory (auto-downloaded),
London Road Dental Care,,"132 London Road, Preston",PR1 4AY,Preston (PR1),01772 439019,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Richard Nicholas Baines,CQC directory (auto-downloaded),
HMP Preston,,"2 Ribbleton Lane, Preston",PR1 5AB,Preston (PR1),01772 444550,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
A W Robinson Dental Practice,,"295 New Hall Lane, Preston",PR1 5XE,Preston (PR1),01772 794468,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Andrew Watson Robinson,CQC directory (auto-downloaded),
Holly Dental Practice Ltd,,"11 Moor Park Avenue, Preston",PR1 6AS,Preston (PR1),01772 561748,https://www.hollydental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Holly Dental Practice Limited,CQC directory (auto-downloaded),
NIGHT AND DAY EMERGENCY DENTIST,,"38 Holme Slack Lane, Preston",PR1 6EY,Preston (PR1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,S M Rahman Limited,CQC directory (auto-downloaded),
Acer Aesthetics Ltd,,"J Sainsburys Acer Dental Clinic, Flintoff Way, Preston",PR1 6PJ,Preston (PR1),0798 8163716,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Acer Aesthetics Ltd,CQC directory (auto-downloaded),
Pennine Dental,,"Unit 2,  Deepdale Pavilions, Osbourne Way, Preston",PR1 6PZ,Preston (PR1),01772 660053,https://www.penninedental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Special Smiles Limited,CQC directory (auto-downloaded),
The Smile Clinic Preston,,"Unit 2,  Deepdale Pavillion, Osbourne Way, Preston",PR1 6PZ,Preston (PR1),01772 825531,https://www.thesmileclinicpreston.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile Clinics Limited,CQC directory (auto-downloaded),website unreachable
Deepdale Dental Centre,,"73 St. Gregory Road, Preston",PR1 6YA,Preston (PR1),01618 203470,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Ritu Dhariwal,CQC directory (auto-downloaded),
Deepdale Dental Health Center,,"73 St Gregory Road, Deepdale, Preston",PR1 6YA,Preston (PR1),01772 366031,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Redbridge Associates Limited,CQC directory (auto-downloaded),
Adelphi Dental Centre,,"157 Adelphi Street, Preston",PR1 7BH,Preston (PR1),01772 253443,https://www.adelphidentalcentre.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Adelphi Dental Care,CQC directory (auto-downloaded),website unreachable
Fishergate Hill Dental,,"96 Fishergate Hill, Preston",PR1 8JD,Preston (PR1),0793 3637257,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Fishergate Hill Ltd,CQC directory (auto-downloaded),
