name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Preston Dental Practice,01772 349596,Preston Dental Practice,PR1 0AR,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The247dentist Emergency Dentist - Preston,0330 1759995,The247dentist Emergency Dentist - Preston,PR1 0AR,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Penwortham Dental Practice,01772 742747,Penwortham Dental Practice,PR1 0DQ,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Moor Park Dental Practice,01772 555453,Moor Park Dental Practice,PR1 1LB,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
University Of Lancashire Community Dentists Limited,01772 896300,University Of Lancashire Community Dentists Limited,PR1 2HE,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ringway Dental Care,01772 695300,Ringway Dental Care,PR1 3HQ,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lancashirecare.nhs.uk,website unreachable
Camden Place Dental Practice,01772 556050,Camden Place Dental Practice,PR1 3JL,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.camdenplace.co.uk,
London Road Dental Care,01772 439019,London Road Dental Care,PR1 4AY,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Preston,01772 444550,HMP Preston,PR1 5AB,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
A W Robinson Dental Practice,01772 794468,A W Robinson Dental Practice,PR1 5XE,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Holly Dental Practice Ltd,01772 561748,Holly Dental Practice Ltd,PR1 6AS,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hollydental.co.uk,
Acer Aesthetics Ltd,0798 8163716,Acer Aesthetics Ltd,PR1 6PJ,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pennine Dental,01772 660053,Pennine Dental,PR1 6PZ,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.penninedental.com,
The Smile Clinic Preston,01772 825531,The Smile Clinic Preston,PR1 6PZ,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thesmileclinicpreston.com,website unreachable
Deepdale Dental Centre,01618 203470,Deepdale Dental Centre,PR1 6YA,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Deepdale Dental Health Center,01772 366031,Deepdale Dental Health Center,PR1 6YA,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Adelphi Dental Centre,01772 253443,Adelphi Dental Centre,PR1 7BH,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.adelphidentalcentre.co.uk,website unreachable
Fishergate Hill Dental,0793 3637257,Fishergate Hill Dental,PR1 8JD,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smilesite,01772 253418,Smilesite,PR1 8JD,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Diamond Dental Care,01772 746196,Diamond Dental Care,PR1 9BY,Preston (PR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Cedars Dental Practice,01772 726015,The Cedars Dental Practice,PR2 1HQ,Preston (PR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ashton Health Centre,01772 695300,Ashton Health Centre,PR2 1HR,Preston (PR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lancashirecare.nhs.uk,website unreachable
Lane Ends Aesthetic and Implant Centre Ltd,01772 726932,Lane Ends Aesthetic and Implant Centre Ltd,PR2 2DU,Preston (PR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.laneendsdental.co.uk,
The Waterside Dental Clinic,01772 349349,The Waterside Dental Clinic,PR2 2YP,Preston (PR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.waterside.dental,
Linton Dental,01772 787881,Linton Dental,PR2 3BJ,Preston (PR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Linton Street Dental Practice,01772 787881,Linton Street Dental Practice,PR2 3BJ,Preston (PR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BallDent Ltd,01772 953510,BallDent Ltd,PR2 3LL,Preston (PR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
AJM Dental Group,01772 862489,AJM Dental Group,PR2 3NB,Preston (PR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Burns Dental,01772 718414,Burns Dental,PR2 3QA,Preston (PR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Grimsargh Smile Clinic,01772 651130,Grimsargh Smile Clinic,PR2 5JS,Preston (PR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Drakes Dental Care - Ribbleton,01772 797724,Drakes Dental Care - Ribbleton,PR2 6RH,Preston (PR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
