practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Shine Dental & Facial Limited,,"3 Wargrave Road, Twyford, Reading",RG10 9NY,Reading & Berkshire (RG10),01189 349703,https://www.shine-dental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Shine Dental & Facial Limited,CQC directory (auto-downloaded),
The Briars Dental Centre,,"8 St Johns Road, Newbury",RG14 7LJ,Reading & Berkshire (RG14),163540311,https://www.briarsdentalcentre.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Briars Dental Centre,CQC directory (auto-downloaded),
Wood Lane Dentistry,,"37 Wood Lane, Sonning Common, Reading",RG4 9SJ,Reading & Berkshire (RG4),01189 722626,https://www.woodlanedentistry.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr. Vikram Chugani,CQC directory (auto-downloaded),
Tranquil Dental,,"53a Denmark Street, Wokingham",RG40 2AY,Reading & Berkshire (RG40),01183 150898,https://www.tranquildental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Tranquil Dental Ltd,CQC directory (auto-downloaded),
Woodley Dentist,,"Unit 2,  57-59 Crockhamwell Road, Woodley, Reading",RG5 3SZ,Reading & Berkshire (RG5),0782 5726812,https://www.woodleydentist.com/,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,DENTOPEDIAGROUP LIMITED,CQC directory (auto-downloaded),
Friar Street Dental Practice,,"15 Friar Street, Reading",RG1 1DB,Reading & Berkshire (RG1),01189 573668,https://www.friardental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Friar Street Dental Practice,CQC directory (auto-downloaded),
Reading Smiles,,"1st Floor,  4 Broad Street, Reading",RG1 2BH,Reading & Berkshire (RG1),01189 576600,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Hanel Suresh Nathwani,CQC directory (auto-downloaded),
Puresmile Reading Ltd,,"9-10 Market Place, Reading",RG1 2EG,Reading & Berkshire (RG1),01189 507229,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Puresmile Reading Ltd,CQC directory (auto-downloaded),
Dr BK,,"115 Queens Road, Reading",RG1 4DA,Reading & Berkshire (RG1),01189 606930,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr B K Limited,CQC directory (auto-downloaded),
Alexandra Dental Practice,,"74 London Road, Reading",RG1 5AS,Reading & Berkshire (RG1),01189 868167,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
