name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
The Briars Dental Centre,163540311,The Briars Dental Centre,RG14 7LJ,Reading & Berkshire (RG14),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.briarsdentalcentre.com,
Wood Lane Dentistry,01189 722626,Wood Lane Dentistry,RG4 9SJ,Reading & Berkshire (RG4),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.woodlanedentistry.co.uk,
Tranquil Dental,01183 150898,Tranquil Dental,RG40 2AY,Reading & Berkshire (RG40),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.tranquildental.co.uk,
Friar Street Dental Practice,01189 573668,Friar Street Dental Practice,RG1 1DB,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.friardental.com,
Reading Smiles,01189 576600,Reading Smiles,RG1 2BH,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Puresmile Reading Ltd,01189 507229,Puresmile Reading Ltd,RG1 2EG,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr BK,01189 606930,Dr BK,RG1 4DA,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alexandra Dental Practice,01189 868167,Alexandra Dental Practice,RG1 5AS,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kendrick View Dental Practice,01189 590222,Kendrick View Dental Practice,RG1 5BL,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.kendrickdental.co.uk,
The Orthodontic Centre (Reading) Ltd,01189 664511,The Orthodontic Centre (Reading) Ltd,RG1 5LU,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.the-orthodontic.centre.co.uk,website unreachable
Wellbulance Dental,0753 5230230,Wellbulance Dental,RG1 5PH,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Vesta Dental Care,01189 508099,Vesta Dental Care,RG1 7AQ,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Inspire Dental Reading,01189 574516,Inspire Dental Reading,RG1 7NL,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.inspiredentalreading.co.uk,
Castle Hill Clinic,01189 586766,Castle Hill Clinic,RG1 7TW,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.castlehilldental.co.uk,
Markham Associates,01189 502275,Markham Associates,RG1 7UY,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Perfect Smile Reading Dental Sedation Clinic,01189 509949,Perfect Smile Reading Dental Sedation Clinic,RG1 7UZ,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
CrownWood Dental,01344 482882,CrownWood Dental,RG12 0TH,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.crownwooddental.co.uk,
Perfect Smile Bracknell Market Street,01344 484466,Perfect Smile Bracknell Market Street,RG12 1FA,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Centre Limited - Parkhouse,01344 425435,Dental Centre Limited - Parkhouse,RG12 2LU,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Blueberry Dental Surgery Limited,01344 483220,Blueberry Dental Surgery Limited,RG12 2NX,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.blueberrydental.co.uk,
Church Hill House,01344 823333,Church Hill House,RG12 7FR,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.berkshirehealthcare.nhs.uk,
Bywood Dental Practice,01344 425477,Bywood Dental Practice,RG12 7RF,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wildridings Limited,01344 441822,Wildridings Limited,RG12 7SJ,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wildridingsdental.co.uk,
Dental Centre Limited - Harmanswater,01344 425522,Dental Centre Limited - Harmanswater,RG12 9QA,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Westbrook House,163545999,Westbrook House,RG14 1BD,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Rectory Clinic Ltd,01635 286363,The Rectory Clinic Ltd,RG14 1DY,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
20/20 Dental Practice Limited,01635 569291,20/20 Dental Practice Limited,RG14 5DD,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentistnewbury.co.uk,
Smile N Shine Dental Practice,163543170,Smile N Shine Dental Practice,RG14 5DT,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Blanchard and Castle Dental Practice,163440781,Blanchard and Castle Dental Practice,RG14 5JB,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
