name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Friar Street Dental Practice,01189 573668,Friar Street Dental Practice,RG1 1DB,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.friardental.com,
Reading Smiles,01189 576600,Reading Smiles,RG1 2BH,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Puresmile Reading Ltd,01189 507229,Puresmile Reading Ltd,RG1 2EG,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr BK,01189 606930,Dr BK,RG1 4DA,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alexandra Dental Practice,01189 868167,Alexandra Dental Practice,RG1 5AS,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kendrick View Dental Practice,01189 590222,Kendrick View Dental Practice,RG1 5BL,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.kendrickdental.co.uk,
The Orthodontic Centre (Reading) Ltd,01189 664511,The Orthodontic Centre (Reading) Ltd,RG1 5LU,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.the-orthodontic.centre.co.uk,website unreachable
Wellbulance Dental,0753 5230230,Wellbulance Dental,RG1 5PH,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Vesta Dental Care,01189 508099,Vesta Dental Care,RG1 7AQ,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Inspire Dental Reading,01189 574516,Inspire Dental Reading,RG1 7NL,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.inspiredentalreading.co.uk,
Castle Hill Clinic,01189 586766,Castle Hill Clinic,RG1 7TW,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.castlehilldental.co.uk,
Markham Associates,01189 502275,Markham Associates,RG1 7UY,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Perfect Smile Reading Dental Sedation Clinic,01189 509949,Perfect Smile Reading Dental Sedation Clinic,RG1 7UZ,Reading & Berkshire (RG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
CrownWood Dental,01344 482882,CrownWood Dental,RG12 0TH,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.crownwooddental.co.uk,
Perfect Smile Bracknell Market Street,01344 484466,Perfect Smile Bracknell Market Street,RG12 1FA,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Centre Limited - Parkhouse,01344 425435,Dental Centre Limited - Parkhouse,RG12 2LU,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Blueberry Dental Surgery Limited,01344 483220,Blueberry Dental Surgery Limited,RG12 2NX,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.blueberrydental.co.uk,
Church Hill House,01344 823333,Church Hill House,RG12 7FR,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.berkshirehealthcare.nhs.uk,
Bywood Dental Practice,01344 425477,Bywood Dental Practice,RG12 7RF,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wildridings Limited,01344 441822,Wildridings Limited,RG12 7SJ,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wildridingsdental.co.uk,
Dental Centre Limited - Harmanswater,01344 425522,Dental Centre Limited - Harmanswater,RG12 9QA,Reading & Berkshire (RG12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Westbrook House,163545999,Westbrook House,RG14 1BD,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Rectory Clinic Ltd,01635 286363,The Rectory Clinic Ltd,RG14 1DY,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
20/20 Dental Practice Limited,01635 569291,20/20 Dental Practice Limited,RG14 5DD,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentistnewbury.co.uk,
Smile N Shine Dental Practice,163543170,Smile N Shine Dental Practice,RG14 5DT,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Blanchard and Castle Dental Practice,163440781,Blanchard and Castle Dental Practice,RG14 5JB,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Blanchard and Castle Dental Surgery,163540781,Blanchard and Castle Dental Surgery,RG14 5JB,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Washcommon Dental Practice,163545876,Washcommon Dental Practice,RG14 6QN,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Baldev's Dental Care,163549999,Baldev's Dental Care,RG14 7LX,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://baldevsdentalcare.co.uk,
Newbury Orthodontic Centre,01635 528830,Newbury Orthodontic Centre,RG14 7PB,Reading & Berkshire (RG14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.newbury-orthodontics.co.uk,
Highgrove Dental Care,01189 871287,Highgrove Dental Care,RG2 0EG,Reading & Berkshire (RG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.highgrovedentalcare.co.uk,
Olive Tree Dental,01189 757015,Olive Tree Dental,RG2 6UG,Reading & Berkshire (RG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
University Dental Centre,01189 759660,University Dental Centre,RG2 7HE,Reading & Berkshire (RG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shinfield Road Dental Practice,01189 756161,Shinfield Road Dental Practice,RG2 8HA,Reading & Berkshire (RG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cathay Dental Practice,01189 864800,Cathay Dental Practice,RG2 9BE,Reading & Berkshire (RG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shinfield Dental Centre,01189 883178,Shinfield Dental Centre,RG2 9EH,Reading & Berkshire (RG2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.shinfielddental.co.uk,website unreachable
Bounty Road Dental Practice,01256 465764,Bounty Road Dental Practice,RG21 3BZ,Reading & Berkshire (RG21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gwynne Dental Ltd,01256 321945,Gwynne Dental Ltd,RG21 3EP,Reading & Berkshire (RG21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.gwynnedental.co.uk,
Envisage Dental Basingstoke,01256 461888,Envisage Dental Basingstoke,RG21 3ET,Reading & Berkshire (RG21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stratfield Road Dental Practice,01256 326690,Stratfield Road Dental Practice,RG21 5SA,Reading & Berkshire (RG21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smileright Dencare Limited - Basingstoke,0777 5847960,Smileright Dencare Limited - Basingstoke,RG21 7LW,Reading & Berkshire (RG21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smileright.co,
Chequers Dental Clinic,01256 321589,Chequers Dental Clinic,RG21 7PU,Reading & Berkshire (RG21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Glenholme Dental Practice,01256 465130,Glenholme Dental Practice,RG21 7PU,Reading & Berkshire (RG21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.glenholmedental.co.uk,
Claremont Dental Surgery,01256 321249,Claremont Dental Surgery,RG21 8TZ,Reading & Berkshire (RG21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Winchester Road Dental Surgery,01256 322922,Winchester Road Dental Surgery,RG21 8UL,Reading & Berkshire (RG21),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Beggarwood Dental Surgery,01256 391391,Beggarwood Dental Surgery,RG22 4AQ,Reading & Berkshire (RG22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Buckskin Dental Surgery,01256 469080,Buckskin Dental Surgery,RG22 5BW,Reading & Berkshire (RG22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Basingstoke Orthodontics,01256 474187,Basingstoke Orthodontics,RG22 5LY,Reading & Berkshire (RG22),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.basingstokeortho.co.uk,
