practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Broadway Dental Boutique,,"38 The Broadway, Crawley",RH10 1HG,Redhill & Crawley (RH10),01293 428342,https://www.broadwaydentalb.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,BDC (Crawley) Limited,CQC directory (auto-downloaded),
Crabtree Dental Practice,,"25 Crabtree Road, Crawley",RH11 7HL,Redhill & Crawley (RH11),01293 526481,https://www.crabtreecare.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mrs Kellie May Downie,CQC directory (auto-downloaded),
East Mews Dental Practice Limited,,"2 East Mews, East Street, Horsham",RH12 1HJ,Redhill & Crawley (RH12),01403 257237,https://www.eastmews.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,East Mews Dental Practice Limited,CQC directory (auto-downloaded),
Burgess Hill Dental,,"75 Station Road, Burgess Hill",RH15 9DY,Redhill & Crawley (RH15),01444 233454,https://www.burgesshilldental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Burgess Hill Dental Care Limited,CQC directory (auto-downloaded),
The Wellington Clinic,,"2 Castlefield Court, Church Street, Reigate",RH2 0AH,Redhill & Crawley (RH2),01737 448055,https://www.thewellingtonclinic.com/reigate,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Wellington Clinic (Reigate) Limited,CQC directory (auto-downloaded),
Fairoaks Dental Surgery,,"Fair Oaks, Town Hill, Lingfield",RH7 6AG,Redhill & Crawley (RH7),01342 832904,https://www.fairoaksdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Galileo Satchi Limited,CQC directory (auto-downloaded),
Cherry Tree Dental Practice Limited,,"103 Station Road, Redhill",RH1 1DW,Redhill & Crawley (RH1),01737 764161,https://www.cherrytreesdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cherry Tree Dental Practice Ltd,CQC directory (auto-downloaded),
Granville House Dental Practice,,"91 Station Road, Redhill",RH1 1DW,Redhill & Crawley (RH1),01737 761169,https://www.granvillehousedentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Pieter Niklas Jacobus Viljoen,CQC directory (auto-downloaded),
P Marsden,,"31 Nutfield Road, Merstham, Redhill",RH1 3EN,Redhill & Crawley (RH1),01737 642066,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Paul Marsden,CQC directory (auto-downloaded),
Lowcroft Dental Surgery - Redhill,,"Arun Lodge, 37 Redstone Hill, Redhill",RH1 4AW,Redhill & Crawley (RH1),01737 761130,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lowcroft Dental Surgery Ltd,CQC directory (auto-downloaded),
