practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Dental Beauty Romford Limited,,"167 North Street, Romford",RM1 1DT,Romford & Essex east (RM1),01708 740372,https://www.dentalbeautyromford.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dental Beauty Romford Limited,CQC directory (auto-downloaded),
Share a Smile,,"63 Eastern Road, Romford",RM1 3PB,Romford & Essex east (RM1),01708 380244,https://www.shareasmile.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Share a Smile Limited,CQC directory (auto-downloaded),
Goossens & Odendaal,,"140 - 142 North Street, Hornchurch",RM11 1SU,Romford & Essex east (RM11),01708 459445,https://www.shareasmile.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Perio Limited,CQC directory (auto-downloaded),
UK Smiles Dental Practice Limited - Romford,,"123a South Street, Romford",RM1 1NX,Romford & Essex east (RM1),01708 751745,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,UK Smiles Dental Practice Ltd,CQC directory (auto-downloaded),
Dental Beauty St Johns,,"56 Western Road, Romford",RM1 3LP,Romford & Essex east (RM1),01708 749611,https://www.stjohnsdentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,St. John's Dental Practice Limited,CQC directory (auto-downloaded),website unreachable
Western Road Dental Practice,,"97 Western Road, Romford",RM1 3LS,Romford & Essex east (RM1),01708 776840,https://www.romford-dental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Western Road Dental Practice Ltd,CQC directory (auto-downloaded),
IORA Dental,,"Unit H9/H10, Laurie Walk,  Liberty Shopping Centre, Romford",RM1 3RT,Romford & Essex east (RM1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gentle Dental Care,CQC directory (auto-downloaded),
Inspire Dental Dagenham,,"228 Oxlow Lane, Dagenham",RM10 7YX,Romford & Essex east (RM10),02085 175347,https://www.inspiredentaldagenham.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Inspire Dental Dagenham Limited,CQC directory (auto-downloaded),
Aspire Dental Care Limited,Aspire Dental Care Dagenham,"1-3 Dewey Road, Dagenham",RM10 8AP,Romford & Essex east (RM10),02085 951116,https://www.aspiredentalltd.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Aspire Dental Care Limited,CQC directory (auto-downloaded),
The Heathway Dental Surgery,,"276a,  Heathway, Dagenham",RM10 8QS,Romford & Essex east (RM10),0789 1165744,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Niti Kaushal,CQC directory (auto-downloaded),
1-5 Orchard Road,,"1-5 Orchard Road, Dagenham",RM10 9PT,Romford & Essex east (RM10),02085 924330,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Orchard Road (DS) Limited,CQC directory (auto-downloaded),
SimplyTeeth Hornchurch,,"Jash House, 27-29 North Street, Hornchurch",RM11 1RS,Romford & Essex east (RM11),01708 441143,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Simplyteeth Hornchurch Ltd,CQC directory (auto-downloaded),
Hornchurch Dental Care,,"98 North Street, Hornchurch",RM11 1SU,Romford & Essex east (RM11),01708 620403,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Mohammad Haris Mazhar, Khushboo Baba & Velautham Kajan",CQC directory (auto-downloaded),
Harrow Dental Practice,,"23-27 High Street, Hornchurch, Romford",RM11 1TP,Romford & Essex east (RM11),01708 479717,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Harrow Dental Practice,CQC directory (auto-downloaded),
