name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
UK Smiles Dental Practice Limited - Romford,01708 751745,UK Smiles Dental Practice Limited - Romford,RM1 1NX,Romford & Essex east (RM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Beauty St Johns,01708 749611,Dental Beauty St Johns,RM1 3LP,Romford & Essex east (RM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stjohnsdentalpractice.co.uk,website unreachable
Western Road Dental Practice,01708 776840,Western Road Dental Practice,RM1 3LS,Romford & Essex east (RM1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.romford-dental.co.uk,
Inspire Dental Dagenham,02085 175347,Inspire Dental Dagenham,RM10 7YX,Romford & Essex east (RM10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.inspiredentaldagenham.co.uk,
Aspire Dental Care Limited,02085 951116,Aspire Dental Care Limited,RM10 8AP,Romford & Essex east (RM10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.aspiredentalltd.co.uk,
The Heathway Dental Surgery,0789 1165744,The Heathway Dental Surgery,RM10 8QS,Romford & Essex east (RM10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
1-5 Orchard Road,02085 924330,1-5 Orchard Road,RM10 9PT,Romford & Essex east (RM10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
SimplyTeeth Hornchurch,01708 441143,SimplyTeeth Hornchurch,RM11 1RS,Romford & Essex east (RM11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hornchurch Dental Care,01708 620403,Hornchurch Dental Care,RM11 1SU,Romford & Essex east (RM11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Harrow Dental Practice,01708 479717,Harrow Dental Practice,RM11 1TP,Romford & Essex east (RM11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Best Health Clinic,01708 477577,Best Health Clinic,RM11 1XA,Romford & Essex east (RM11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bhclinics.com,
Ardleigh Green Dental Clinic,01708 621020,Ardleigh Green Dental Clinic,RM11 2LG,Romford & Essex east (RM11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Langton Dental Services Limited,01708 693026,Langton Dental Services Limited,RM11 3SD,Romford & Essex east (RM11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
All Smiles Dental Care,01708 444656,All Smiles Dental Care,RM12 4TG,Romford & Essex east (RM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Highland View Dental Surgery Hornchurch,01708 707050,Highland View Dental Surgery Hornchurch,RM12 4TP,Romford & Essex east (RM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.highlandview.co.uk,
Perfect Smile Spa - Dental Practice,01708 442114,Perfect Smile Spa - Dental Practice,RM12 4UH,Romford & Essex east (RM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.perfectsmilespa.com,website unreachable
Elm Park Dental Clinic,01708 453414,Elm Park Dental Clinic,RM12 5AB,Romford & Essex east (RM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Elm Park Dental Surgery,01708 451882,Elm Park Dental Surgery,RM12 5LH,Romford & Essex east (RM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hacton Dental Care,01708 447603,Hacton Dental Care,RM12 6PH,Romford & Essex east (RM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Viva Dental Studio,01708 446447,Viva Dental Studio,RM12 6QP,Romford & Essex east (RM12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.vivadentalstudio.co.uk,
10 Hall Lane Dental Practice Limited,01708 220043,10 Hall Lane Dental Practice Limited,RM14 1AE,Romford & Essex east (RM14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cranham Dental Centre,01708 228291,Cranham Dental Centre,RM14 1BJ,Romford & Essex east (RM14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cranhamdentalcentre.co.uk,
Corbets Tey Dental Practice,0789 6420979,Corbets Tey Dental Practice,RM14 2AD,Romford & Essex east (RM14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Upminster Dental Practice,01708 226899,Upminster Dental Practice,RM14 2QU,Romford & Essex east (RM14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Church View Clinic Limited,01708 220563,Church View Clinic Limited,RM14 2TR,Romford & Essex east (RM14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Mary's Dental Care,01708 229330,St Mary's Dental Care,RM14 3BL,Romford & Essex east (RM14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
MedicaPlus,0744 5325726,MedicaPlus,RM17 5DS,Romford & Essex east (RM17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Toothshine Dental Clinic,01375 392303,Toothshine Dental Clinic,RM17 5ET,Romford & Essex east (RM17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
