practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
The Dentists,,"Suite 7,  Beckett House, 4 Bridge Street, Salisbury",SP1 2LX,Salisbury & Wiltshire south (SP1),01722 413513,https://www.thedentistsalisbury.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Dentist Salisbury Limited,CQC directory (auto-downloaded),
Salisbury Orthodontic Practice,Mid-Wessex Orthodontics,"32 Chipper Lane, Salisbury",SP1 1BG,Salisbury & Wiltshire south (SP1),0770 3532959,https://www.salisbury-orthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Matthew John Clover,CQC directory (auto-downloaded),
The Chequers Dental Practice,,"18 Endless Street, Salisbury",SP1 1DP,Salisbury & Wiltshire south (SP1),01722 329959,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,A Giaziri Ltd,CQC directory (auto-downloaded),
Bond Dental Clinic,,"37 Castle Street, Salisbury",SP1 1TT,Salisbury & Wiltshire south (SP1),0783 1635265,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bond Dental Clinic Ltd,CQC directory (auto-downloaded),
Gentle Dental,,"29 Castle Street, Salisbury",SP1 1TT,Salisbury & Wiltshire south (SP1),01722 413311,https://www.gentle-dental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Salisbury Dental Care Limited,CQC directory (auto-downloaded),
Catherine Street Dental Practice,,"9A Catherine Street, Salisbury",SP1 2DF,Salisbury & Wiltshire south (SP1),01722 412621,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Newman Dental Care Limited,CQC directory (auto-downloaded),
The Cathedral Close Dental Practice,,"14 Cathedral Close, Salisbury",SP1 2EB,Salisbury & Wiltshire south (SP1),0798 8221993,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,J & W Smiles Limited,CQC directory (auto-downloaded),
Private Treatment Centre,,"23 New Street, Salisbury",SP1 2PH,Salisbury & Wiltshire south (SP1),01722 333733,https://www.private-treatment-center.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile Dent Ltd,CQC directory (auto-downloaded),website unreachable
Inspire Orthodontic Centre,,"73-75 Estcourt Road, Salisbury",SP1 3AX,Salisbury & Wiltshire south (SP1),01722 410528,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Annalise Grant Hecks,CQC directory (auto-downloaded),
Bishops Down Farm Dental Practice,,"Dental Surgery,  28 St Clements Way, Bishopdown, Salisbury",SP1 3FF,Salisbury & Wiltshire south (SP1),01722 412290,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bishops Down Farm Dental Practice,CQC directory (auto-downloaded),
Sarum Dental Practice,,"208 Castle Street, Salisbury",SP1 3TE,Salisbury & Wiltshire south (SP1),01722 333324,https://www.sarumdental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sarum Dent Ltd,CQC directory (auto-downloaded),
Salisbury Dental Centre,,"40 Castle Street, Salisbury",SP1 3TS,Salisbury & Wiltshire south (SP1),01722 322722,https://www.execudent.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Execudent Limited,CQC directory (auto-downloaded),
New Street Dental Care,,"New Street House, 130 New Street, Andover",SP10 1DR,Salisbury & Wiltshire south (SP10),01264 301301,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Wellum House Dental Health Centre,,"2 Winchester Road, Andover",SP10 2EG,Salisbury & Wiltshire south (SP10),01264 324301,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wellum House Dental Health Centre,CQC directory (auto-downloaded),
Dental Concepts Partnership Andover,,"Unit 1B, 132 Weyhill Road, Andover",SP10 3BE,Salisbury & Wiltshire south (SP10),01264 313999,https://www.dental-concepts.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Concepts Partnership,CQC directory (auto-downloaded),
ORAL SURGERY LTD - ANDOVER,,"Unit 1B, 132 Weyhill Road, Andover",SP10 3BE,Salisbury & Wiltshire south (SP10),0330 1229382,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oral Surgery Ltd,CQC directory (auto-downloaded),
Andover Dental Practice,,"45 Charlton Road, Andover",SP10 3JY,Salisbury & Wiltshire south (SP10),01264 362892,https://www.andoverdentalpractice.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mrs Aarti Kohli Jain,CQC directory (auto-downloaded),
Andover Advanced Dental Centre,,"2 Thistledown Close, Andover",SP10 3LE,Salisbury & Wiltshire south (SP10),0782 8050754,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile Arts Studio PVT Ltd,CQC directory (auto-downloaded),
Redenham Park Dental Practice,,"6-10 The Stud Offices, Redenham Park, Andover",SP11 9AQ,Salisbury & Wiltshire south (SP11),01264 771114,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Redenham Park Dental Practice Ltd,CQC directory (auto-downloaded),
MA Surgeries Ltd,,"16 North Street, Wilton, Salisbury",SP2 0HE,Salisbury & Wiltshire south (SP2),01722 742100,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,MA Surgeries Limited,CQC directory (auto-downloaded),
Fisherton House Partnership,,"Fisherton House, Fountain Way, Salisbury",SP2 7FD,Salisbury & Wiltshire south (SP2),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Fisherton House Partnership,CQC directory (auto-downloaded),
