name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
The Dentists,01722 413513,The Dentists,SP1 2LX,Salisbury & Wiltshire south (SP1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.thedentistsalisbury.co.uk,
Salisbury Orthodontic Practice,0770 3532959,Salisbury Orthodontic Practice,SP1 1BG,Salisbury & Wiltshire south (SP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.salisbury-orthodontics.co.uk,
The Chequers Dental Practice,01722 329959,The Chequers Dental Practice,SP1 1DP,Salisbury & Wiltshire south (SP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bond Dental Clinic,0783 1635265,Bond Dental Clinic,SP1 1TT,Salisbury & Wiltshire south (SP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gentle Dental,01722 413311,Gentle Dental,SP1 1TT,Salisbury & Wiltshire south (SP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.gentle-dental.co.uk,
Catherine Street Dental Practice,01722 412621,Catherine Street Dental Practice,SP1 2DF,Salisbury & Wiltshire south (SP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Cathedral Close Dental Practice,0798 8221993,The Cathedral Close Dental Practice,SP1 2EB,Salisbury & Wiltshire south (SP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Private Treatment Centre,01722 333733,Private Treatment Centre,SP1 2PH,Salisbury & Wiltshire south (SP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.private-treatment-center.co.uk,website unreachable
Inspire Orthodontic Centre,01722 410528,Inspire Orthodontic Centre,SP1 3AX,Salisbury & Wiltshire south (SP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bishops Down Farm Dental Practice,01722 412290,Bishops Down Farm Dental Practice,SP1 3FF,Salisbury & Wiltshire south (SP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sarum Dental Practice,01722 333324,Sarum Dental Practice,SP1 3TE,Salisbury & Wiltshire south (SP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sarumdental.com,
Salisbury Dental Centre,01722 322722,Salisbury Dental Centre,SP1 3TS,Salisbury & Wiltshire south (SP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.execudent.co.uk,
New Street Dental Care,01264 301301,New Street Dental Care,SP10 1DR,Salisbury & Wiltshire south (SP10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wellum House Dental Health Centre,01264 324301,Wellum House Dental Health Centre,SP10 2EG,Salisbury & Wiltshire south (SP10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
