practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
54 Ladhope Vale,,"GALASHIELS, NA",TD1 1BT,Scottish Borders (TD1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Bank Street Dental Practice,,"19 BANK STREET, GALASHIELS",TD1 1EN,Scottish Borders (TD1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Infinityblu Dental Care & Implant Clinic,,"23 ALBERT PLACE, GALASHIELS, SELKIRKSHIRE",TD1 3DL,Scottish Borders (TD1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Infinityblu Dental Care & Implant Clinic,,"40 MARKET SQUARE, DUNS, BERWICKSHIRE",TD113AL,Scottish Borders (TD11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Duns Dental Care,,"4 MURRAY STREET, DUNS",TD113DE,Scottish Borders (TD11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Old Telephone Exchange,,"UPPER HOUNDLAW, EYEMOUTH",TD145BU,Scottish Borders (TD14),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
The Corn Exchange,,"31 WOODMARKET, KELSO",TD5 7AT,Scottish Borders (TD5),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Kelso Dental Care,,"36-40 HORSEMARKET, KELSO",TD5 7HD,Scottish Borders (TD5),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Selkirk Dental Practice,,"25 WEST PORT, SELKIRK",TD7 4DG,Scottish Borders (TD7),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Clearwater Dental,,"11 HIGH STREET, JEDBURGH",TD8 6AQ,Scottish Borders (TD8),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Jedburgh Family Dental Practice,,"JEDBURGH HEALTH CENTRE, QUEEN ST.,JEDBURGH",TD8 6EN,Scottish Borders (TD8),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Nhs Borders Dental Centre,,"HAWICK COMMUNITY HOSPITAL, VICTORIA ROAD, HAWICK",TD9 7AH,Scottish Borders (TD9),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
G K Dental,,"54 HIGH STREET, HAWICK",TD9 9EE,Scottish Borders (TD9),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
41 North Bridge Street,,"HAWICK, ROXBURGHSHIRE",TD9 9PX,Scottish Borders (TD9),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Teviot Dental Practice,,"20 NORTH BRIDGE STREET, HAWICK",TD9 9QW,Scottish Borders (TD9),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
