"Dental_Practice_Code","address1","address2","address3","pc7","HB","HBQF","HSCP","HSCPQF","CA","CAQF","DataZone","DataZoneQF","Registrations","RegistrationsQF"
2,"GLASGOW SOUTH DENTAL CARE","57 KILMARNOCK ROAD","SHAWLANDS, GLASGOW","G41 3YR","S08000031","","S37000034","","S12000049","","S01009925","","4147",""
6,"SKENE STREET DENTAL PRACTICE","170 SKENE STREET","ABERDEEN","AB101QN","S08000020","","S37000001","","S12000033","","S01006584","","1704",""
9,"THE DENTAL PRACTICE","21 RUBISLAW TERRACE","ABERDEEN","AB101XE","S08000020","","S37000001","","S12000033","","S01006571","","303",""
10,"HENDERSON&HARDY DENTAL SURGERY","3 RUBISLAW PLACE","ABERDEEN","AB101XN","S08000020","","S37000001","","S12000033","","S01006571","","603",""
12,"UNION STREET DENTAL CARE","129 UNION STREET","ABERDEEN","AB116BH","S08000020","","S37000001","","S12000033","","S01006588","","5827",""
13,"ADVANCE DENTAL CENTRE","17 CROWN STREET","ABERDEEN","AB116HA","S08000020","","S37000001","","S12000033","","S01006587","","9024",""
16,"MILLER RM & MILLER MJ","101 VICTORIA ROAD","ABERDEEN","AB119LX","S08000020","","S37000001","","S12000033","","S01006627","","7877",""
18,"PORTLETHEN DENTAL CARE","4 COOKSTON ROAD","PORTLETHEN","AB124PT","S08000020","","S37000002","","S12000034","","S01006851","","14818",""
21,"T/A BUPA DENTAL CARE","14 QUEENS ROAD","ABERDEEN","AB154ZT","S08000020","","S37000001","","S12000033","","S01006571","","3005",""
23,"CULTS DENTAL PRACTICE","383 NORTH DEESIDE ROAD","CULTS ABERDEEN","AB159SX","S08000020","","S37000001","","S12000033","","S01006524","","2008",""
27,"WOODSIDE DENTAL PRACTICE","417 GREAT NORTHERN ROAD","ABERDEEN","AB242EU","S08000020","","S37000001","","S12000033","","S01006684","","6717",""
28,"KING STREET DENTAL PRACTICE","173 KING STREET","ABERDEEN","AB245AE","S08000020","","S37000001","","S12000033","","S01006642","","4333",""
30,"GRAY & IRELAND & ASSOCIATES","2 WESTFIELD ROAD","ABERDEEN","AB252NG","S08000020","","S37000001","","S12000033","","S01006570","","4837",""
32,"NORTHFIELD DENTAL CENTRE","7B BYRON SQUARE","NORTHFIELD, ABERDEEN","AB167LL","S08000020","","S37000001","","S12000033","","S01006721","","6734",""
34,"BRIDGE OF DON DENTAL AND AESTHETIC CLINI","BALGOWNIE ROAD","BRIDGE OF DON","AB238JP","S08000020","","S37000001","","S12000033","","S01006784","","5073",""
36,"C. A. GARDEN","13 MARY STREET","STONEHAVEN","AB392AT","S08000020","","S37000002","","S12000034","","S01006835","","2655",""
37,"MARKET SQUARE DENTAL PRACTICE","4 MARKET SQUARE","STONEHAVEN","AB392BT","S08000020","","S37000002","","S12000034","","S01006835","","5003",""
39,"DEESIDE DENTAL CARE","75 HIGH STREET","BANCHORY, ABERDEENSHIRE","AB315TJ","S08000020","","S37000002","","S12000034","","S01006865","","1176",""
40,"FOUNTAIN DENTAL GROUP-BANCHORY","STATION ROAD","BANCHORY","AB315YA","S08000020","","S37000002","","S12000034","","S01006862","","4504",""
43,"FOUNTAIN DENTAL GROUP-ABOYNE","OLD BALLATER ROAD","ABOYNE","AB345HN","S08000020","","S37000002","","S12000034","","S01006799","","2858",""
47,"SCHOOLHILL DENTAL PRACTICE","SCHOOLHILL","ELLON","AB419JP","S08000020","","S37000002","","S12000034","","S01006959","","6434",""
48,"YTHAN BRIDGE DENTAL CENTRE","2 YTHAN TERRACE","ELLON","AB419LJ","S08000020","","S37000002","","S12000034","","S01006959","","7746",""
49,"PETERHEAD DENTAL AND IMPLANT CENTRE","44 MARISCHAL STREET","PETERHEAD","AB421HS","S08000020","","S37000002","","S12000034","","S01007086","","13962",""
53,"GC DENTAL MINTLAW","9 STATION ROAD","MINTLAW","AB425EE","S08000020","","S37000002","","S12000034","","S01007059","","495",""
56,"MACDUFF DENTAL SURGERY","52 DUFF STREET","MACDUFF","AB441LQ","S08000020","","S37000002","","S12000034","","S01007038","","1248",""
