practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Alex Jones Dentistry Penistone,,"54 High Street, Penistone, Sheffield",S36 6BS,Stocksbridge,01226 762242,https://www.alexjonesdentistry.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
Alex Jones Dentistry Barnsley,,"Gateway Plaza, Sackville Street, Barnsley",S70 2RD,Barnsley,01226 290017,https://www.alexjonesdentistry.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
Mola Dental,,"Unit 4, 8,  Archer Drive,  Archer Road Retail Park, Sheffield",S8 0LB,Sheffield south-east,01143 177002,https://www.moladental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mola Healthcare Ltd,CQC directory (auto-downloaded),
The Smile Designers,,"Masters House, 92A Arundel Street, Sheffield",S1 4RE,Sheffield city centre,01142 812211,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,TheSmileDesignersLtd,CQC directory (auto-downloaded),
School Road Dental Practice,,"257 School Road, Sheffield",S10 1GQ,Sheffield south-west,01142 661335,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Christina Jane Jones,CQC directory (auto-downloaded),
The Orthodontic Clinic,,"271 Glossop Road, Sheffield",S10 2HB,Sheffield south-west,01142 721700,https://www.ortho-clinic.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Una Doherty,CQC directory (auto-downloaded),website unreachable
Broomhill Dental Practice,,"487-491 Glossop Road, Broomhill, Sheffield",S10 2QE,Sheffield south-west,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Taptonville House Limited,CQC directory (auto-downloaded),
The Charles Clifford Dental Hospital,,"Wellesley Road, Sheffield",S10 2SZ,Sheffield south-west,01142 717800,https://www.sth.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sheffield Teaching Hospitals NHS Foundation Trust,CQC directory (auto-downloaded),
Western Bank Dental Care,,"295 Western Bank, Sheffield",S10 2TJ,Sheffield south-west,01142 780110,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Bealby and Jones Dental Practice,,"17 Northumberland Road, Broomhill, Sheffield",S10 2TT,Sheffield south-west,01142 729927,https://www.bealbyandjones.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bealby and Jones Ltd,CQC directory (auto-downloaded),
S10 Dental,,"12 Tom Lane, Fulwood, Sheffield",S10 3PB,Sheffield south-west,01142 301431,https://www.s10dental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,S10 Dental Limited,CQC directory (auto-downloaded),
Redmires Dental Care,,"68 Rochester Road, Lodge Moor, Sheffield",S10 4JQ,Sheffield south-west,01142 295020,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr Rajesh Rasiklal Patel,CQC directory (auto-downloaded),
Taptonville House Dental,,"1 Taptonville Road, Broomhill, Sheffield",S10 5BQ,Sheffield south-west,01143 990888,https://www.taptonvillehouse.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Taptonville House Limited,CQC directory (auto-downloaded),website unreachable
Sandygate Dental Practice,,"17A Sandygate Road, Sheffield",S10 5NG,Sheffield south-west,01142 661265,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr. John Alesbrook,CQC directory (auto-downloaded),
Ringinglow Dental Practice,,"70 Ringinglow Road, Sheffield",S11 7PQ,Sheffield south,01142 660651,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gordon & Wild Partnership,CQC directory (auto-downloaded),
S11 Dental Practice,,"70 Ringinglow Road, Sheffield",S11 7PQ,Sheffield south,01142 660651,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smethwick Practice Limited,CQC directory (auto-downloaded),
Porterbrook Dental Centre,,"253 Cemetery Road, Sheffield",S11 8FS,Sheffield south,01142 799894,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Priyadarshan Gaitonde,CQC directory (auto-downloaded),
Impress Sheffield,,"Unit 3,  Brook Place, Summerfield Street, Sheffield",S11 8HJ,Sheffield south,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile2Impress Clinics Ltd,CQC directory (auto-downloaded),
