name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Mola Dental,01143 177002,Mola Dental,S8 0LB,Sheffield south-east,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.moladental.com,
The Smile Designers,01142 812211,The Smile Designers,S1 4RE,Sheffield city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
School Road Dental Practice,01142 661335,School Road Dental Practice,S10 1GQ,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Orthodontic Clinic,01142 721700,The Orthodontic Clinic,S10 2HB,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ortho-clinic.co.uk,website unreachable
The Charles Clifford Dental Hospital,01142 717800,The Charles Clifford Dental Hospital,S10 2SZ,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sth.nhs.uk,
Western Bank Dental Care,01142 780110,Western Bank Dental Care,S10 2TJ,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bealby and Jones Dental Practice,01142 729927,Bealby and Jones Dental Practice,S10 2TT,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bealbyandjones.co.uk,
S10 Dental,01142 301431,S10 Dental,S10 3PB,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.s10dental.co.uk,
Redmires Dental Care,01142 295020,Redmires Dental Care,S10 4JQ,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Taptonville House Dental,01143 990888,Taptonville House Dental,S10 5BQ,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.taptonvillehouse.com,website unreachable
Sandygate Dental Practice,01142 661265,Sandygate Dental Practice,S10 5NG,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Ringinglow Dental Practice,01142 660651,Ringinglow Dental Practice,S11 7PQ,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
S11 Dental Practice,01142 660651,S11 Dental Practice,S11 7PQ,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Porterbrook Dental Centre,01142 799894,Porterbrook Dental Centre,S11 8FS,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sheffield Dental Centre,01142 669188,Sheffield Dental Centre,S11 8HW,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.611dental.co.uk,website unreachable
Confidental Health Ltd,0781 7241329,Confidental Health Ltd,S11 8PJ,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Total Orthodontics Sheffield,01142 678797,Total Orthodontics Sheffield,S11 8PP,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Sheffield Ortho Centre,01142 684753,Sheffield Ortho Centre,S11 8PY,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LWT Dental Care,01142 662853,LWT Dental Care,S11 8TG,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sheffield Practice Limited,01142 673696,Sheffield Practice Limited,S11 8TH,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sharrow Vale Dental,01142 686076,Sharrow Vale Dental,S11 8ZH,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
