name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
S10 Dental,01142 301431,S10 Dental,S10 3PB,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.s10dental.co.uk,
Redmires Dental Care,01142 295020,Redmires Dental Care,S10 4JQ,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Sandygate Dental Practice,01142 661265,Sandygate Dental Practice,S10 5NG,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Total Orthodontics Sheffield,01142 678797,Total Orthodontics Sheffield,S11 8PP,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Sharrow Vale Dental,01142 686076,Sharrow Vale Dental,S11 8ZH,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Ridgeway Dental Practice,01142 651581,Ridgeway Dental Practice,S12 2SX,Sheffield east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Hackenthorpe Dental Centre,01142 480071,Hackenthorpe Dental Centre,S12 4LB,Sheffield east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.hackenthorpedental.co.uk,
Orgreave Dental Surgery,01142 694808,Orgreave Dental Surgery,S13 9NE,Sheffield north-east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Dore Dental Care,01142 368402,Dore Dental Care,S17 3DR,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Crystal Peaks Orthodontic Centre,01142 280100,Crystal Peaks Orthodontic Centre,S20 7HZ,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
The Harwood Clinic,01142 489547,The Harwood Clinic,S20 7LE,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.harwoodclinic.co.uk,
Chapeltown Dental Care,01142 467514,Chapeltown Dental Care,S35 2US,Sheffield north-east/Chapeltown,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.hdsdentalcare.co.uk,website unreachable
Thompson & Thomas,01142 343346,Thompson & Thomas,S6 2UB,Sheffield north-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Woodseats Dental Care,01142 749083,Woodseats Dental Care,S8 0GU,Sheffield south-east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Hemper Lane Dental Practice,01142 377275,Hemper Lane Dental Practice,S8 7FD,Sheffield south-east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Azure Dental Practice,01142 445278,Azure Dental Practice,S9 1UF,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Darnall Dental Clinic,01142 447220,Darnall Dental Clinic,S9 4LP,Sheffield south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.darnalldentalclinic.co.uk,
Manor Park Family Dental Centre,01159 790909,Manor Park Family Dental Centre,S2 1RA,Sheffield north-east,Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Nationwide Healthcare,Yes,,
Hillsborough Family Dental Centre,01159 790909,Hillsborough Family Dental Centre,S6 2SA,Sheffield north-west,Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Nationwide Healthcare,Yes,,
Abbeydale Road Family Dental Centre,01159 790909,Abbeydale Road Family Dental Centre,S7 1FD,Sheffield south-west,Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Nationwide Healthcare,Yes,,
