practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Shrewsbury Orthodontic Centre,,"9 St Marys Place, Shrewsbury",SY1 1DZ,Shrewsbury & Mid Wales border (SY1),01743 344921,https://www.shrewsbury-orthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Arc Orthodontics Limited,CQC directory (auto-downloaded),
Bellstone Dental Practice,,"3 Bellstone Court, Bellstone, Shrewsbury",SY1 1JB,Shrewsbury & Mid Wales border (SY1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Shropshire Dental Limited,CQC directory (auto-downloaded),
St John's Hill Dental Practice,,"30 St John's Hill, Shrewsbury",SY1 1JJ,Shrewsbury & Mid Wales border (SY1),01743 343115,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr. Timothy Maurice Parsons,CQC directory (auto-downloaded),
Dr Sunday Samuel Dental Surgery,,"Courtyard House, 39 St Johns Hill, Shrewsbury",SY1 1JQ,Shrewsbury & Mid Wales border (SY1),01743 343200,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sunday Adewale Samuel,CQC directory (auto-downloaded),
Belmont Orthodontic Centre,,"5a Belmont, Shrewsbury",SY1 1TE,Shrewsbury & Mid Wales border (SY1),01743 365302,https://www.belmont-orthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Exclusive Orthodontics Limited,CQC directory (auto-downloaded),
Bowdlers House Dental Practice Ltd,,"Bowdlers House, Town Walls, Shrewsbury",SY1 1TP,Shrewsbury & Mid Wales border (SY1),01743 270170,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bowdlers House Dental Practice Ltd,CQC directory (auto-downloaded),
Pride Hill Dental Surgery,,"23 Butchers Row, Shrewsbury",SY1 1UW,Shrewsbury & Mid Wales border (SY1),01743 289123,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Sandeep Kaur Dhanda,CQC directory (auto-downloaded),
Pride Hill Dental Surgery - Butcher Row,,"23 Butcher Row, Shrewsbury",SY1 1UW,Shrewsbury & Mid Wales border (SY1),01743 289123,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Yuen-Man Tso,CQC directory (auto-downloaded),
The247dentist Emergency Dentist – Shrewsbury,,"76 Coton Hill, Shrewsbury",SY1 2DP,Shrewsbury & Mid Wales border (SY1),0330 1759995,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,247 Dental Limited,CQC directory (auto-downloaded),
Winchester House Dental Practice,,"76 Coton Hill, Shrewsbury",SY1 2DP,Shrewsbury & Mid Wales border (SY1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Winchester House Dental Practice Partnership,CQC directory (auto-downloaded),
Greenfields Dental Surgery,,"114 Ellesmere Road, Shrewsbury",SY1 2QT,Shrewsbury & Mid Wales border (SY1),01743 243026,https://www.greenfieldsdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Greenfields Dental Surgery,CQC directory (auto-downloaded),
Oracle Dental Clinics Shrewsbury,,"10 Longbow Close, Shrewsbury",SY1 3GZ,Shrewsbury & Mid Wales border (SY1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oracle Dental Limited,CQC directory (auto-downloaded),
The Smile Centre,,"73 Whitchurch Road, Shrewsbury",SY1 4EE,Shrewsbury & Mid Wales border (SY1),01743 440209,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr Harjinder Singh Basra,CQC directory (auto-downloaded),
Ambleside Dental Practice,,"1 Ambleside, Shrewsbury",SY1 4ET,Shrewsbury & Mid Wales border (SY1),01743 465473,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Aether Dental Limited,CQC directory (auto-downloaded),
Willow Street Dental Practice,,"64 Willow Street, Oswestry",SY11 1AD,Shrewsbury & Mid Wales border (SY11),01691 652143,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Willow Street Dental Practice,CQC directory (auto-downloaded),
Pearls Dental,,"5-7 Willow Street, Oswestry",SY11 1AF,Shrewsbury & Mid Wales border (SY11),01691 658114,https://www.thepearldental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kalisetty Dental Limited,CQC directory (auto-downloaded),
Oswyn House Dental Practice,,"20 Oswald Road, Oswestry",SY11 1RE,Shrewsbury & Mid Wales border (SY11),01691 652424,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Oswyn House Dental Practice,CQC directory (auto-downloaded),
Thomas Dental Practice,,"3 Lower Brook Street, Oswestry",SY11 2HG,Shrewsbury & Mid Wales border (SY11),01691 653074,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Thomas Dental Practice Partnership,CQC directory (auto-downloaded),
Butterfly Dental Practice,,"Victoria Road, Oswestry",SY11 2JF,Shrewsbury & Mid Wales border (SY11),01691 656360,https://www.butterflydentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Zetesmed Ltd,CQC directory (auto-downloaded),
Church Street Clinic,,"36 Church Street, Oswestry",SY11 2SP,Shrewsbury & Mid Wales border (SY11),01691 671413,https://www.churchstreetclinic.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Laura Katie Baldwin,CQC directory (auto-downloaded),
Signature Smiles Dental Practice,,"3-4 Brook Buildings, Gobowen",SY11 3JP,Shrewsbury & Mid Wales border (SY11),01692 662719,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Diana Jaffri,CQC directory (auto-downloaded),
Mrs Ursula Pencavel also known as Ellesmere Dental Practice,,"18 High Street, Ellesmere",SY12 0EP,Shrewsbury & Mid Wales border (SY12),01691 623333,https://www.ellesmeredental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ellesmere Dental Practice Limited,CQC directory (auto-downloaded),
ARC Dental Studio,,"2 Watergate Street, Ellesmere",SY12 0EU,Shrewsbury & Mid Wales border (SY12),01691 623692,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,ARC Healthcare Ltd,CQC directory (auto-downloaded),
Green End Dental Practice,,"43 Green End, Whitchurch",SY13 1AD,Shrewsbury & Mid Wales border (SY13),0776 3311177,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Amr Mahmoud Noseir,CQC directory (auto-downloaded),
Whitchurch Dental Studio,,"The Old Fire Station, Brownlow Street, Whitchurch",SY13 1QS,Shrewsbury & Mid Wales border (SY13),01948 661139,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Whitchurch Studio Limited,CQC directory (auto-downloaded),
Malpas Dental,,"Drake House, High Street, Malpas",SY14 8NR,Shrewsbury & Mid Wales border (SY14),01968 861100,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Sachin Uduchana,CQC directory (auto-downloaded),
Monkmoor Dental Practice,,"54 Monkmoor Road, Shrewsbury",SY2 5AU,Shrewsbury & Mid Wales border (SY2),01743 351419,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Monkmoor Dental Practice Limited,CQC directory (auto-downloaded),
Shropshire Community Health NHS Trust - HQ,,"Mount McKinley Building, Anchorage Avenue,  Shrewsbury Business Park, Shrewsbury",SY2 6FG,Shrewsbury & Mid Wales border (SY2),01743 277500,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Shropshire Community Health NHS Trust,CQC directory (auto-downloaded),
Emstrey Dental Practice,,"Oak House,  Ground Floor, Sitka Drive,  Shrewsbury Business Park, Shrewsbury",SY2 6LG,Shrewsbury & Mid Wales border (SY2),01743 272632,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cadmus (Shropshire) Ltd,CQC directory (auto-downloaded),
Bayston Hill Dental Practice,,"3a Lansdowne Road, Bayston Hill, Shrewsbury",SY3 0HT,Shrewsbury & Mid Wales border (SY3),01743 873643,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bayston Hill Dental Practice,CQC directory (auto-downloaded),
Oxon Dental Care,,"Welshpool Road, Bicton Heath, Shrewsbury",SY3 5AH,Shrewsbury & Mid Wales border (SY3),01743 343030,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oxon Dental Care Ltd,CQC directory (auto-downloaded),
The Radbrook Dental Practice,,"Unit 2,  Bank Farm Road, Shrewsbury",SY3 6DU,Shrewsbury & Mid Wales border (SY3),01743 241132,https://www.radbrookdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Radbrook Practice Ltd,CQC directory (auto-downloaded),
Greyfriars Dental Practice,,"129a Longden Coleham, Shrewsbury",SY3 7DN,Shrewsbury & Mid Wales border (SY3),01743 352702,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Greyfriars Dental Practice,CQC directory (auto-downloaded),
Argo Practices Shrewsbury,,"Brassey Road, Shrewsbury",SY3 7FA,Shrewsbury & Mid Wales border (SY3),01743 362501,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oracle Dental Limited,CQC directory (auto-downloaded),
New Park House Dental Centre,,"Brassey Road, Shrewsbury",SY3 7FA,Shrewsbury & Mid Wales border (SY3),01743 231001,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,New Park House Dental Centre,CQC directory (auto-downloaded),
Esthetique Dental,,"Unit 11-12, Sansaw Business Park, Shrewsbury",SY4 4AS,Shrewsbury & Mid Wales border (SY4),0777 3372113,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Envisage Dental UK Limited,CQC directory (auto-downloaded),
Drawwell House Dental Practice,,"3 Drawwell House, Noble Street, Shrewsbury",SY4 5DZ,Shrewsbury & Mid Wales border (SY4),01939 233809,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Drawwell HD Practice Ltd,CQC directory (auto-downloaded),
Chapel Street Dental and Implant Centre,,"16 Chapel Street, Wem, Shrewsbury",SY4 5ER,Shrewsbury & Mid Wales border (SY4),01939 232864,https://www.chapelstreetdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Monkey Wem LLP,CQC directory (auto-downloaded),
Church Stretton Dental Practice,,"15 Burway Road, Church Stretton",SY6 6DL,Shrewsbury & Mid Wales border (SY6),01694 722660,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Khanna Dental Limited,CQC directory (auto-downloaded),
Stretton Dental Practice,,"2 Central Avenue, Church Stretton",SY6 6EE,Shrewsbury & Mid Wales border (SY6),01694 722862,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Shropshire Dental Limited,CQC directory (auto-downloaded),
Alliance Dentistry,,"2 Alliance Court, Ludlow",SY8 1FB,Shrewsbury & Mid Wales border (SY8),01584 878439,https://www.alliancedentistry.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Alliance Dentistry Limited,CQC directory (auto-downloaded),
Corve Street Family Dental Practice,,"131 Corve Street, Ludlow",SY8 2PG,Shrewsbury & Mid Wales border (SY8),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Zia Ishtiaq Rehman,CQC directory (auto-downloaded),
Butler and Finnigan Dental Practice,,"2 The Square, Bishops Castle",SY9 5BN,Shrewsbury & Mid Wales border (SY9),01588 638581,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Butler & Finnigan Dental Practice (B.C.) Ltd,CQC directory (auto-downloaded),
Mydentist - Claremont Bank - Shrewsbury,mydentist,"2 Claremont Buildings, Claremont Bank, Shrewsbury",SY1 1RJ,Shrewsbury & Mid Wales border (SY1),01743 289890,https://www.mydentist.co.uk,Unknown,MyDentist corporate,medium,MyDentist corporate:mydentist.co.uk,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,Whitecross Dental Care Limited,CQC directory (auto-downloaded),
Corser House Dental Practice,,"17 Green End, Whitchurch",SY13 1AD,Shrewsbury & Mid Wales border (SY13),01948 664149,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,SPA Dental,No,SpaDental Whitchurch LLP,CQC directory (auto-downloaded),
The Dental Spa,,"8 Darwin Court, Clayton Way,  Oxon Business Park,  Bicton Heath, Shrewsbury",SY3 5AL,Shrewsbury & Mid Wales border (SY3),01743 343433,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Todays Dental,No,Todays Dental Practices Limited,CQC directory (auto-downloaded),
Pontesbury Dental,,"Minsterley Road, Pontesbury, Shrewsbury",SY5 0QJ,Shrewsbury & Mid Wales border (SY5),01743 790678,,Unknown,,,,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Todays Dental,No,Todays Dental Practices Limited,CQC directory (auto-downloaded),
Mydentist - New Road - Ludlow,,"Castle View House, New Road, Ludlow",SY8 2LS,Shrewsbury & Mid Wales border (SY8),01584 879479,https://www.mydentist.co.uk,Unknown,MyDentist corporate,medium,MyDentist corporate:mydentist.co.uk,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,Whitecross Dental Care Limited,CQC directory (auto-downloaded),
