name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Shrewsbury Orthodontic Centre,01743 344921,Shrewsbury Orthodontic Centre,SY1 1DZ,Shrewsbury & Mid Wales border (SY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.shrewsbury-orthodontics.co.uk,
St John's Hill Dental Practice,01743 343115,St John's Hill Dental Practice,SY1 1JJ,Shrewsbury & Mid Wales border (SY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Dr Sunday Samuel Dental Surgery,01743 343200,Dr Sunday Samuel Dental Surgery,SY1 1JQ,Shrewsbury & Mid Wales border (SY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Belmont Orthodontic Centre,01743 365302,Belmont Orthodontic Centre,SY1 1TE,Shrewsbury & Mid Wales border (SY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.belmont-orthodontics.co.uk,
Bowdlers House Dental Practice Ltd,01743 270170,Bowdlers House Dental Practice Ltd,SY1 1TP,Shrewsbury & Mid Wales border (SY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pride Hill Dental Surgery,01743 289123,Pride Hill Dental Surgery,SY1 1UW,Shrewsbury & Mid Wales border (SY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pride Hill Dental Surgery - Butcher Row,01743 289123,Pride Hill Dental Surgery - Butcher Row,SY1 1UW,Shrewsbury & Mid Wales border (SY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The247dentist Emergency Dentist – Shrewsbury,0330 1759995,The247dentist Emergency Dentist – Shrewsbury,SY1 2DP,Shrewsbury & Mid Wales border (SY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Greenfields Dental Surgery,01743 243026,Greenfields Dental Surgery,SY1 2QT,Shrewsbury & Mid Wales border (SY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.greenfieldsdental.co.uk,
The Smile Centre,01743 440209,The Smile Centre,SY1 4EE,Shrewsbury & Mid Wales border (SY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Ambleside Dental Practice,01743 465473,Ambleside Dental Practice,SY1 4ET,Shrewsbury & Mid Wales border (SY1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Willow Street Dental Practice,01691 652143,Willow Street Dental Practice,SY11 1AD,Shrewsbury & Mid Wales border (SY11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pearls Dental,01691 658114,Pearls Dental,SY11 1AF,Shrewsbury & Mid Wales border (SY11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thepearldental.com,
Oswyn House Dental Practice,01691 652424,Oswyn House Dental Practice,SY11 1RE,Shrewsbury & Mid Wales border (SY11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Thomas Dental Practice,01691 653074,Thomas Dental Practice,SY11 2HG,Shrewsbury & Mid Wales border (SY11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Butterfly Dental Practice,01691 656360,Butterfly Dental Practice,SY11 2JF,Shrewsbury & Mid Wales border (SY11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.butterflydentalpractice.co.uk,
Church Street Clinic,01691 671413,Church Street Clinic,SY11 2SP,Shrewsbury & Mid Wales border (SY11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.churchstreetclinic.com,
Signature Smiles Dental Practice,01692 662719,Signature Smiles Dental Practice,SY11 3JP,Shrewsbury & Mid Wales border (SY11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mrs Ursula Pencavel also known as Ellesmere Dental Practice,01691 623333,Mrs Ursula Pencavel also known as Ellesmere Dental Practice,SY12 0EP,Shrewsbury & Mid Wales border (SY12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ellesmeredental.co.uk,
ARC Dental Studio,01691 623692,ARC Dental Studio,SY12 0EU,Shrewsbury & Mid Wales border (SY12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Green End Dental Practice,0776 3311177,Green End Dental Practice,SY13 1AD,Shrewsbury & Mid Wales border (SY13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Whitchurch Dental Studio,01948 661139,Whitchurch Dental Studio,SY13 1QS,Shrewsbury & Mid Wales border (SY13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Malpas Dental,01968 861100,Malpas Dental,SY14 8NR,Shrewsbury & Mid Wales border (SY14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
