practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
CastleView Dental,,"1 Farm Yard, Windsor",SL4 1QL,Slough & Windsor (SL4),01753 257237,https://www.castleviewdental.net,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,DOCS UK Limited,CQC directory (auto-downloaded),
Care Dental Windsor,,"6 The Parade, 67 Dedworth Road, Windsor",SL4 5AZ,Slough & Windsor (SL4),01753 623723,https://www.caredentalwindsor.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Alluradent Limited,CQC directory (auto-downloaded),
Eledent Smiles,,"7 Hermitage Parade, High Street, Ascot",SL5 7HE,Slough & Windsor (SL5),01344 297001,https://www.frankeldentalcare.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Frankel Care Limited,CQC directory (auto-downloaded),
Linden Dental Surgery,,"20 Linden Avenue, Maidenhead",SL6 6HB,Slough & Windsor (SL6),01628 621810,https://www.lindendental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Linden Dental Surgery Limited,CQC directory (auto-downloaded),
Dental Wellbeing,,"16 Thorney Lane South, Richings Park, Iver",SL0 9AE,Slough & Windsor (SL0),01753 655446,https://www.dentalwellbeing.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Wellbeing Ltd,CQC directory (auto-downloaded),
Iver Dental Practice,,"25 High Street, Iver",SL0 9ND,Slough & Windsor (SL0),01753 651014,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Makhani Alkarim,CQC directory (auto-downloaded),
Dr Nicholas Ziegel - Oxford House,,"Oxford House, 175 High Street, Iver",SL0 9QB,Slough & Windsor (SL0),01753 652223,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Nicholas Ziegel,CQC directory (auto-downloaded),
Iver Dental Care,,"Oxford House, 175 High Street, Iver",SL0 9QB,Slough & Windsor (SL0),01753 652223,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Iver Dental Care Limited,CQC directory (auto-downloaded),
Berkshire Dental Suite,,"Cornwall House 55-57, High Street, Slough",SL1 1DZ,Slough & Windsor (SL1),0798 4739048,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Berkshire Dental Suite Limited,CQC directory (auto-downloaded),
Herschel dental and implant centre,,"45 Osborne Street, Slough",SL1 1TT,Slough & Windsor (SL1),0777 1606941,https://www.herscheldental.ci.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Herschel DIC Limited,CQC directory (auto-downloaded),website unreachable
Yew Tree Dental Care,,"1a Yew Tree Road, Slough",SL1 2AA,Slough & Windsor (SL1),01753 522500,https://yewtreedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Yew Tree Dental Care,CQC directory (auto-downloaded),
Maple Orthodontics Ltd,,"Beechwood House, 10 Windsor Road, Slough",SL1 2EJ,Slough & Windsor (SL1),01753 572888,https://www.mapleorthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Maple Orthodontics LTD,CQC directory (auto-downloaded),
Abbey D Surgery Limited,,"5 Sheffield Road, Slough",SL1 3EG,Slough & Windsor (SL1),01753 536601,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Abbey D. Surgery Ltd,CQC directory (auto-downloaded),
Acorn Dental Care,,"8 Stoke Poges Lane, Slough",SL1 3NT,Slough & Windsor (SL1),0750 6610237,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,HSS & PKS Dental Limited,CQC directory (auto-downloaded),
Slough Dental Hygiene,,"30 Bradford Road, Slough",SL1 4PG,Slough & Windsor (SL1),01753 781643,https://www.sloughdentalhygiene.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Clare Ann Gerrish,CQC directory (auto-downloaded),
Polscy Lekarze Dental Service,,"1st Floor, 306 Farnham Road, Slough",SL1 4XL,Slough & Windsor (SL1),0770 2125889,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Mariusz Turek,CQC directory (auto-downloaded),
Broken Acre Dental Practice,,"92 Burnham Lane, Slough",SL1 6LS,Slough & Windsor (SL1),01628 602488,https://www.brockenacredental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Broken Acre Dental Practice,CQC directory (auto-downloaded),website unreachable
The Dental Surgery Burnham Limited,,"43-45 High Street, Burnham, Slough",SL1 7JD,Slough & Windsor (SL1),01628 664614,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dental Surgery Burnham Limited,CQC directory (auto-downloaded),
Farnham Road Dental Practice,,"275 Farnham Road, Slough",SL2 1HA,Slough & Windsor (SL2),01753 537634,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Arti Sharma and Shiva Emami and Jeremy Stanley Michael Potter,CQC directory (auto-downloaded),
SC Dental Studio Ltd,,"5 Kingfisher Court, 281 Farnham Road, Slough",SL2 1JF,Slough & Windsor (SL2),01753 550888,https://www.dentalstudioslough.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,SC Dental Studio Ltd,CQC directory (auto-downloaded),
Carling Dental Practice,,"1 Ashley House, The Broadway,  Farnham Common, Slough",SL2 3PQ,Slough & Windsor (SL2),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Carling Dental Practice,CQC directory (auto-downloaded),
Wexham Road Dental Surgery Limited,,"208 Wexham Road, Slough",SL2 5JP,Slough & Windsor (SL2),01753 776655,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wexham Road Dental Surgery Ltd,CQC directory (auto-downloaded),
Westwood Dental Practice,,"29 London Road, Slough",SL3 7RP,Slough & Windsor (SL3),01753 522091,https://www.westwooddental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Westwood Smile Care Ltd,CQC directory (auto-downloaded),
Langley Road Dental Practice,,"162a, Langley Road, Slough",SL3 7TG,Slough & Windsor (SL3),0787 7832887,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Ajay Menon,CQC directory (auto-downloaded),
Dentalcare Langley,Dentalcare Group,"276 High Street, Langley, Slough",SL3 8HD,Slough & Windsor (SL3),01753 543742,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentalcare Langley Ltd,CQC directory (auto-downloaded),
Dentalcare Langley 2,,"84 High Street, Langley, Slough",SL3 8JS,Slough & Windsor (SL3),01753 540111,https://www.dentalcare.ltd.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentalcare Limited,CQC directory (auto-downloaded),website unreachable
Village Dental Practice,,"The Green, Datchet, Slough",SL3 9BJ,Slough & Windsor (SL3),01753 548416,https://www.datchetdentalsurgery.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Temple Cottages Ltd,CQC directory (auto-downloaded),website unreachable
White Dental Datchet,,"1 Horton Road, Datchet, Slough",SL3 9EN,Slough & Windsor (SL3),01753 541828,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Fizan Tahir,CQC directory (auto-downloaded),
Smile Rooms,,"44 Peascod Street, Windsor",SL4 1DE,Slough & Windsor (SL4),175385331,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Hanel Suresh Nathwani,CQC directory (auto-downloaded),
Estetica,,"82 Peascod Street, Windsor",SL4 1DH,Slough & Windsor (SL4),01753 378608,https://www.esteticaa.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Estetica Oral Limited,CQC directory (auto-downloaded),
Old Windsor Dental Practice,,"2 Lyndwood Parade,  St. Lukes Road, Old Windsor, Windsor",SL4 2QX,Slough & Windsor (SL4),01753 856233,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Old Windsor Dental Practice Partnership,CQC directory (auto-downloaded),
Egham Dental Care,,"96 Straight Road, Old Windsor, Windsor",SL4 2RX,Slough & Windsor (SL4),0785 5805678,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Egham Dental Care Limited,CQC directory (auto-downloaded),
Windsor Centre for Advanced Dentistry,,"Dorset House, 1 Dorset Road, Windsor",SL4 3BA,Slough & Windsor (SL4),01753 833755,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,York House Centre Limited,CQC directory (auto-downloaded),
Complete Dental,,"64 St Leonards Road, Windsor",SL4 3BY,Slough & Windsor (SL4),01753 864484,https://www.completedentalwindsor.net,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kingfisher Hill Limited,CQC directory (auto-downloaded),
