name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
CastleView Dental,01753 257237,CastleView Dental,SL4 1QL,Slough & Windsor (SL4),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.castleviewdental.net,
Care Dental Windsor,01753 623723,Care Dental Windsor,SL4 5AZ,Slough & Windsor (SL4),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.caredentalwindsor.co.uk,
Eledent Smiles,01344 297001,Eledent Smiles,SL5 7HE,Slough & Windsor (SL5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.frankeldentalcare.co.uk,
Linden Dental Surgery,01628 621810,Linden Dental Surgery,SL6 6HB,Slough & Windsor (SL6),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.lindendental.co.uk,
Dental Wellbeing,01753 655446,Dental Wellbeing,SL0 9AE,Slough & Windsor (SL0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalwellbeing.co.uk,
Iver Dental Practice,01753 651014,Iver Dental Practice,SL0 9ND,Slough & Windsor (SL0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr Nicholas Ziegel - Oxford House,01753 652223,Dr Nicholas Ziegel - Oxford House,SL0 9QB,Slough & Windsor (SL0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Iver Dental Care,01753 652223,Iver Dental Care,SL0 9QB,Slough & Windsor (SL0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Berkshire Dental Suite,0798 4739048,Berkshire Dental Suite,SL1 1DZ,Slough & Windsor (SL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Herschel dental and implant centre,0777 1606941,Herschel dental and implant centre,SL1 1TT,Slough & Windsor (SL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.herscheldental.ci.uk,website unreachable
Yew Tree Dental Care,01753 522500,Yew Tree Dental Care,SL1 2AA,Slough & Windsor (SL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://yewtreedental.co.uk,
Maple Orthodontics Ltd,01753 572888,Maple Orthodontics Ltd,SL1 2EJ,Slough & Windsor (SL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.mapleorthodontics.co.uk,
Abbey D Surgery Limited,01753 536601,Abbey D Surgery Limited,SL1 3EG,Slough & Windsor (SL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Acorn Dental Care,0750 6610237,Acorn Dental Care,SL1 3NT,Slough & Windsor (SL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Slough Dental Hygiene,01753 781643,Slough Dental Hygiene,SL1 4PG,Slough & Windsor (SL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sloughdentalhygiene.co.uk,
Polscy Lekarze Dental Service,0770 2125889,Polscy Lekarze Dental Service,SL1 4XL,Slough & Windsor (SL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Broken Acre Dental Practice,01628 602488,Broken Acre Dental Practice,SL1 6LS,Slough & Windsor (SL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.brockenacredental.co.uk,website unreachable
The Dental Surgery Burnham Limited,01628 664614,The Dental Surgery Burnham Limited,SL1 7JD,Slough & Windsor (SL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Farnham Road Dental Practice,01753 537634,Farnham Road Dental Practice,SL2 1HA,Slough & Windsor (SL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
SC Dental Studio Ltd,01753 550888,SC Dental Studio Ltd,SL2 1JF,Slough & Windsor (SL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.dentalstudioslough.com,
Wexham Road Dental Surgery Limited,01753 776655,Wexham Road Dental Surgery Limited,SL2 5JP,Slough & Windsor (SL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Westwood Dental Practice,01753 522091,Westwood Dental Practice,SL3 7RP,Slough & Windsor (SL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.westwooddental.co.uk,
Langley Road Dental Practice,0787 7832887,Langley Road Dental Practice,SL3 7TG,Slough & Windsor (SL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentalcare Langley,01753 543742,Dentalcare Langley,SL3 8HD,Slough & Windsor (SL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentalcare Langley 2,01753 540111,Dentalcare Langley 2,SL3 8JS,Slough & Windsor (SL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalcare.ltd.uk,website unreachable
Village Dental Practice,01753 548416,Village Dental Practice,SL3 9BJ,Slough & Windsor (SL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.datchetdentalsurgery.co.uk,website unreachable
White Dental Datchet,01753 541828,White Dental Datchet,SL3 9EN,Slough & Windsor (SL3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile Rooms,175385331,Smile Rooms,SL4 1DE,Slough & Windsor (SL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Estetica,01753 378608,Estetica,SL4 1DH,Slough & Windsor (SL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.esteticaa.co.uk,
Old Windsor Dental Practice,01753 856233,Old Windsor Dental Practice,SL4 2QX,Slough & Windsor (SL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Egham Dental Care,0785 5805678,Egham Dental Care,SL4 2RX,Slough & Windsor (SL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Windsor Centre for Advanced Dentistry,01753 833755,Windsor Centre for Advanced Dentistry,SL4 3BA,Slough & Windsor (SL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Complete Dental,01753 864484,Complete Dental,SL4 3BY,Slough & Windsor (SL4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.completedentalwindsor.net,
