practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Court Drive Dental Practice,,"1a Court Drive, Hillingdon, Uxbridge",UB10 0BJ,Southall & Ealing west (UB10),01895 233955,https://www.courtdrivedentalpractice.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr. Yasir Noorani,CQC directory (auto-downloaded),
Inspire Dental Southall,,"56-58 South Road, Southall",UB1 1RQ,Southall & Ealing west (UB1),02085 744455,https://www.inspiredentalsouthall.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Inspire Dental Southall Limited,CQC directory (auto-downloaded),
Kooner Dental - Southall Dental Centre,,"4a South Road, Southall",UB1 1RT,Southall & Ealing west (UB1),02085 742543,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,"Davinderpal S Kooner, Simran S Kooner and Pritpal S Kooner",CQC directory (auto-downloaded),
Sage Referral Centre,,"89 South Road, Southall",UB1 1SQ,Southall & Ealing west (UB1),02085 719090,https://www.sterlingdentalcentre.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sage Referral Centre Limited,CQC directory (auto-downloaded),
Sage Smile Clinic,,"Sage House, 89-91 South Road, Southall",UB1 1SQ,Southall & Ealing west (UB1),02037 014600,https://www.sterlingdentalcentre.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sage Smile Clinic Limited,CQC directory (auto-downloaded),
Sterling Dental Referral Centre,,"89 South Road, Southall",UB1 1SQ,Southall & Ealing west (UB1),02085 719090,https://www.sterlingdentalcentre.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sterling Dental Centre,CQC directory (auto-downloaded),
West London Dental Practice,,"93-95 South Road, Southall",UB1 1SQ,Southall & Ealing west (UB1),0784 6086685,https://www.whitehousedental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sage Dental Practice Limited,CQC directory (auto-downloaded),website unreachable
N Tavakoli & A Arya Dental Surgery,,"152 Lady Margaret Road, Southall",UB1 2RW,Southall & Ealing west (UB1),02085 744666,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs. Nazak Tavakoli,CQC directory (auto-downloaded),
Swakeleys Dental Practice,,"116 Swakeleys Road, Ickenham, Uxbridge",UB10 8BA,Southall & Ealing west (UB10),01895 636427,https://www.swakeleysdental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sterling Dental Surgeries Limited,CQC directory (auto-downloaded),
Denpure Dental Care and Implant Centre,,"77 Swakeleys Road, Ickenham, Uxbridge",UB10 8DQ,Southall & Ealing west (UB10),01895 678889,https://www.the-dentalsurgery.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Santosh Makhijani,CQC directory (auto-downloaded),website unreachable
Sweetcroft Dental Practice,,"267 Long Lane, Hillingdon, Uxbridge",UB10 9JR,Southall & Ealing west (UB10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Trishna Dhot and Natasha Luthra,CQC directory (auto-downloaded),
Escentics Dental Health and Beauty,,"299 Long Lane, North Hillingdon, Uxbridge",UB10 9JY,Southall & Ealing west (UB10),01895 258700,https://www.escentics.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Daljit Sohal,CQC directory (auto-downloaded),
Campbell House Dental Practice,,"330 Long Lane, Hillingdon, Uxbridge",UB10 9PF,Southall & Ealing west (UB10),01895 234540,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Bharat Velji Taank,CQC directory (auto-downloaded),
King Street Dental Practice,,"66 King Street, Southall",UB2 4DD,Southall & Ealing west (UB2),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Premi Essex Limited,CQC directory (auto-downloaded),
Norwood Green Family Dental Practice,,"269 Norwood Road, Norwood Green, Southall",UB2 4JJ,Southall & Ealing west (UB2),02085 742046,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Rajesh Aggarwal,CQC directory (auto-downloaded),
Smile 32 Dental,,"283 Convent Way, Southall",UB2 5UL,Southall & Ealing west (UB2),02088 936825,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile32 Limited,CQC directory (auto-downloaded),
Hayes Dental Clinic,,"87A Coldharbour Lane, Hayes",UB3 3EF,Southall & Ealing west (UB3),02085 735899,https://www.hayesdentalclinic.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Sapna Chauhan,CQC directory (auto-downloaded),
130 Dental Centre,,"130 Coldharbour Lane, Hayes",UB3 3HB,Southall & Ealing west (UB3),02085 730026,https://www.130dentalcentre.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,130 Dental Centre,CQC directory (auto-downloaded),
R L Services (UK) Limited,,"130 Coldharbour Lane, Hayes",UB3 3HB,Southall & Ealing west (UB3),02085 730026,https://www.130dentalcentre.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,R L Services (UK) Limited,CQC directory (auto-downloaded),
Hayes Dental Practice,,"115-117 Station Road, Hayes",UB3 4BX,Southall & Ealing west (UB3),02085 733048,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hayes Dental Practice,CQC directory (auto-downloaded),
Village Dental Practice,,"159 High Street, Harlington, Hayes",UB3 5DA,Southall & Ealing west (UB3),02087 540085,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Ashit Patel,CQC directory (auto-downloaded),
Yeading Dental Care,,"1a, Carlyon Road, Hayes",UB4 0NR,Southall & Ealing west (UB4),02085 734210,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Yeading Dental Care,CQC directory (auto-downloaded),
