name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Court Drive Dental Practice,01895 233955,Court Drive Dental Practice,UB10 0BJ,Southall & Ealing west (UB10),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.courtdrivedentalpractice.co.uk,
Inspire Dental Southall,02085 744455,Inspire Dental Southall,UB1 1RQ,Southall & Ealing west (UB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.inspiredentalsouthall.co.uk,
Kooner Dental - Southall Dental Centre,02085 742543,Kooner Dental - Southall Dental Centre,UB1 1RT,Southall & Ealing west (UB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sage Referral Centre,02085 719090,Sage Referral Centre,UB1 1SQ,Southall & Ealing west (UB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sterlingdentalcentre.co.uk,
Sage Smile Clinic,02037 014600,Sage Smile Clinic,UB1 1SQ,Southall & Ealing west (UB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sterlingdentalcentre.co.uk,
Sterling Dental Referral Centre,02085 719090,Sterling Dental Referral Centre,UB1 1SQ,Southall & Ealing west (UB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.sterlingdentalcentre.co.uk,
West London Dental Practice,0784 6086685,West London Dental Practice,UB1 1SQ,Southall & Ealing west (UB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.whitehousedental.co.uk,website unreachable
N Tavakoli & A Arya Dental Surgery,02085 744666,N Tavakoli & A Arya Dental Surgery,UB1 2RW,Southall & Ealing west (UB1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Swakeleys Dental Practice,01895 636427,Swakeleys Dental Practice,UB10 8BA,Southall & Ealing west (UB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.swakeleysdental.com,
Denpure Dental Care and Implant Centre,01895 678889,Denpure Dental Care and Implant Centre,UB10 8DQ,Southall & Ealing west (UB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.the-dentalsurgery.co.uk,website unreachable
Escentics Dental Health and Beauty,01895 258700,Escentics Dental Health and Beauty,UB10 9JY,Southall & Ealing west (UB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.escentics.com,
Campbell House Dental Practice,01895 234540,Campbell House Dental Practice,UB10 9PF,Southall & Ealing west (UB10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Norwood Green Family Dental Practice,02085 742046,Norwood Green Family Dental Practice,UB2 4JJ,Southall & Ealing west (UB2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile 32 Dental,02088 936825,Smile 32 Dental,UB2 5UL,Southall & Ealing west (UB2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
