practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Lowen Dental Spa,,"1 Radcliffe Row, Abbotswood Common Road, Romsey",SO51 0DU,Southampton & Eastleigh (SO51),02380 266658,https://www.lowendentalspa.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Alice Martin,CQC directory (auto-downloaded),
Clover Dental & Implant Centre,,"Fleming Avenue, North Baddesley, Romsey",SO52 9EP,Southampton & Eastleigh (SO52),02380 738787,https://www.cloverdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Clover Practice Limited,CQC directory (auto-downloaded),
Royal South Hants Hospital,,"Brinton’s Terrace, Southampton",SO14 0YG,Southampton & Eastleigh (SO14),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,CQC directory (auto-downloaded),
Queens Terrace Dental Practice,,"26 Queens Terrace, Southampton",SO14 3BQ,Southampton & Eastleigh (SO14),02380 335005,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Renata Redka,CQC directory (auto-downloaded),
Ferry Dental Centre,,"31-32, Canute Road, Southampton",SO14 3FJ,Southampton & Eastleigh (SO14),02380 332255,https://www.ferrydental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Iuri Coev,CQC directory (auto-downloaded),
Dentistry@OceanaBoulevard,,"11 Briton Street, Southampton",SO14 3HU,Southampton & Eastleigh (SO14),02380 223000,https://www.dentistryatoceanaboulevard.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Ian Kendal,CQC directory (auto-downloaded),
Ocean Village Dental Clinic,,"Enhance Studio,  Sapphire Court, Cobalt Quarter,  Maritime Walk,  Ocean Village, Southampton",SO14 3JY,Southampton & Eastleigh (SO14),02380 639530,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ocean Village Dental Clinic Ltd,CQC directory (auto-downloaded),
Portland Street Dental Care,,"3 Portland Street, Southampton",SO14 7EB,Southampton & Eastleigh (SO14),02380 335156,https://www.portlandstreetdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portland Street Practice Ltd,CQC directory (auto-downloaded),
Portland Street Dental Clinic,South Cliff Dental Group Central Southampton,"Flat 1 & 2, 10 Portland Street, Southampton",SO14 7EB,Southampton & Eastleigh (SO14),02380 635248,https://www.southcliffdentalgroup.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dale Road Oral Care Ltd,CQC directory (auto-downloaded),
Atlantic Clinic Ltd,,"Unit 4, Mountbatten Business Centre,  Millbrook Road East, Southampton",SO15 1HY,Southampton & Eastleigh (SO15),02380 637374,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Atlantic Clinic Ltd,CQC directory (auto-downloaded),
