name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Lowen Dental Spa,02380 266658,Lowen Dental Spa,SO51 0DU,Southampton & Eastleigh (SO51),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.lowendentalspa.co.uk,
Atlantic Clinic Ltd,02380 637374,Atlantic Clinic Ltd,SO15 1HY,Southampton & Eastleigh (SO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Danica Payne Aesthetics & Dental,02380 392070,Danica Payne Aesthetics & Dental,SO15 1QE,Southampton & Eastleigh (SO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Southampton Orthodontic Centre,02380 220008,Southampton Orthodontic Centre,SO15 2DG,Southampton & Eastleigh (SO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.braces4u.co.uk,
Bedford Place Dentist,02380 333383,Bedford Place Dentist,SO15 2DT,Southampton & Eastleigh (SO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Practice,02380 390090,The Dental Practice,SO15 2GD,Southampton & Eastleigh (SO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Westrow Dental Surgery,02380 223914,Westrow Dental Surgery,SO15 2LW,Southampton & Eastleigh (SO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Shirley Road Dental Practice,02380 224401,The Shirley Road Dental Practice,SO15 3FD,Southampton & Eastleigh (SO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shirley Health Centre,02380 778338,Shirley Health Centre,SO15 3UA,Southampton & Eastleigh (SO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Grove Dental Surgery,02380 778338,Grove Dental Surgery,SO15 3UH,Southampton & Eastleigh (SO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shirley Avenue Dental Care,02380 774056,Shirley Avenue Dental Care,SO15 5NG,Southampton & Eastleigh (SO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.shirleyavenuedental.com,
Hilltop Dental Practice,02380 775900,Hilltop Dental Practice,SO15 7PH,Southampton & Eastleigh (SO15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
University Dental Practice,02380 677635,University Dental Practice,SO16 3AY,Southampton & Eastleigh (SO16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.universitydentalpractice.com,website unreachable
Burgess Road Dental Surgery,02380 550111,Burgess Road Dental Surgery,SO16 3BJ,Southampton & Eastleigh (SO16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oakley Road Dental Practice,02380 771450,Oakley Road Dental Practice,SO16 4LJ,Southampton & Eastleigh (SO16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pasadena Dental Practice,02380 773345,Pasadena Dental Practice,SO16 4QF,Southampton & Eastleigh (SO16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.psadenadental.co.uk,website unreachable
Veriam Dental Surgery Limited,02380 702007,Veriam Dental Surgery Limited,SO16 5DT,Southampton & Eastleigh (SO16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
