practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Enanee Dental Practice,,"505-507, Southchurch Road, Southend-on-sea",SS1 2PH,Southend & Basildon (SS1),01702 837767,https://www.enaneedentalpractice.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Enanee Dental Ltd,CQC directory (auto-downloaded),
Wisdom Dental Limited,,"18 Elm Road, Leigh-on-sea",SS9 1SN,Southend & Basildon (SS9),01702 886840,https://wisdomdentalleigh.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Wisdom Dental Limited,CQC directory (auto-downloaded),
Dental Health & Aesthetics,,"313 Eastwood Road North, Leigh-on-sea",SS9 4LT,Southend & Basildon (SS9),0780 5207186,https://www.dhaclinic.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,DH & Aesthetics Clinic Limited,CQC directory (auto-downloaded),
JR Medical Clinic,,"42 Highfield Gardens, Westcliff-on-sea",SS0 0SX,Southend & Basildon (SS0),01702 314497,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,JR Medical Ltd,CQC directory (auto-downloaded),
Westcliff Dental Practice Ltd,Enamel Dental Care - Westcliff Dental Practice,"340 London Road, Westcliff On Sea",SS0 7JJ,Southend & Basildon (SS0),0844 5769669,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Westcliff Dental Practice Ltd,CQC directory (auto-downloaded),
Focus Dental Clinic,,"63 Chalkwell Avenue, Westcliff-on-sea",SS0 8NL,Southend & Basildon (SS0),01702 476907,https://www.focusdentalclinic.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Focus Westcliff Limited,CQC directory (auto-downloaded),
Chalkwell Dental Practice,,"42-44, The Ridgeway, Westcliff-on-sea",SS0 8NU,Southend & Basildon (SS0),0777 3372113,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sandip Kaur Dau,CQC directory (auto-downloaded),
Family Dental Westcliff,,"108 West Road, Westcliff On Sea",SS0 9DD,Southend & Basildon (SS0),01702 344275,https://www.familydentalwestcliff.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Inspire Dental Eastwood Limited,CQC directory (auto-downloaded),
Inspire Dental Southend,,"459 London Road, Westcliff-on-sea",SS0 9LG,Southend & Basildon (SS0),01702 334334,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Crowstone Dental Centre Limited,CQC directory (auto-downloaded),
Dr Sai Gathani,,"647 London Road, Westcliff-on-sea",SS0 9PD,Southend & Basildon (SS0),01702 335132,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sai Gathani,CQC directory (auto-downloaded),
ND Rankin & Associates,,"647 London Road, Westcliff-on-sea",SS0 9PD,Southend & Basildon (SS0),01702 344844,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Devi Gopinath,CQC directory (auto-downloaded),
Focus Dental Southend,,"17 Clarence Road, Southend-on-sea",SS1 1AN,Southend & Basildon (SS1),01702 343744,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Majestic Solutions Ltd,CQC directory (auto-downloaded),
Royal Mews Dental Practice,,"17 Royal Mews, Southend on Sea",SS1 1DB,Southend & Basildon (SS1),01702 352450,https://www.royalMewsDentalPractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Royal Mews Dental Practice Limited,CQC directory (auto-downloaded),
Parmar Dental,,"673 Southchurch Road, Southend On Sea",SS1 2PW,Southend & Basildon (SS1),01702 467133,https://www.parmardental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Ramesh Parmar,CQC directory (auto-downloaded),
Warwick Lodge Dental Centre,,"Warwick Road, Thorpe Bay, Southend-on-sea",SS1 3BN,Southend & Basildon (SS1),01702 582561,https://www.thesdc.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Smiles on Broadway,,"122 The Broadway, Southend-on-sea",SS1 3ES,Southend & Basildon (SS1),01702 588818,https://www.smilesonbroadway.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smiles On Broadway,CQC directory (auto-downloaded),
Thorpe Bay Dental Practice,,"25 Station Road, Southend-on-sea",SS1 3JY,Southend & Basildon (SS1),01702 584535,https://www.thorpe-bay-dental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Thorpe Bay Dental Practice Partnership,CQC directory (auto-downloaded),
Cygnet Dental Practice,,"102 Swan Lane, Runwell, Wickford",SS11 7DF,Southend & Basildon (SS11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,C O'Connell and H Pabari,CQC directory (auto-downloaded),
Mr P J Power,,"24 Riverside Court, Riverside Court,  Lower Southend Road, Wickford",SS11 8AW,Southend & Basildon (SS11),01268 733718,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Jayesh Kotecha & Karissa Kotecha,CQC directory (auto-downloaded),
Wickford Dental Practice & Orthodontic Centre,,"68-70 London Road, Wickford",SS12 0AN,Southend & Basildon (SS12),01268 761638,https://www.wickforddentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Jayesh Kotecha & Karissa Kotecha,CQC directory (auto-downloaded),
Pitsea Dental Surgery,,"4 Burns Avenue, Pitsea, Basildon",SS13 3AG,Southend & Basildon (SS13),01268 552137,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Abas Said,CQC directory (auto-downloaded),
Affinity Dental Clinic,,"Room 111 Southgate House, 88 Town Square, Basildon",SS14 1BN,Southend & Basildon (SS14),01268 526262,https://www.affinitydentalclinic.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Alex Manuelsson,CQC directory (auto-downloaded),
Dhillon and Kazemi,,"Suite E,  2nd Floor, Southgate House, Basildon",SS14 1BN,Southend & Basildon (SS14),01268 271219,https://www.tanandkazemiorthodonticpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dhillon and Kazemi,CQC directory (auto-downloaded),website unreachable
Tooth Doctor (UK) Ltd,Enamel Dental Care - Tooth Doctor Basildon,"7 Market Pavement, Basildon",SS14 1DD,Southend & Basildon (SS14),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Tooth Doctor (UK) Ltd,CQC directory (auto-downloaded),
Eastgate Dental Practice,,"46 Southernhay, Basildon",SS14 1ET,Southend & Basildon (SS14),01268 521603,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Masoud Karimi,CQC directory (auto-downloaded),
Pitsea Dental Care Ltd,,"Bridge House,  134 Sandon Road, Basildon",SS14 1TS,Southend & Basildon (SS14),01268 551276,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Pitsea Dental Care Ltd,CQC directory (auto-downloaded),
Purely Orthodontics,,"Bridge House,  134 Sandon Road, Basildon",SS14 1TS,Southend & Basildon (SS14),01268 556633,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Purely Orthodontics,CQC directory (auto-downloaded),
Smile Dental Centre,,"438 Whitmore Way, Basildon",SS14 2EZ,Southend & Basildon (SS14),01268 520555,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr Sanjay Kumar Sareen,CQC directory (auto-downloaded),
Phoenix House,,"Christopher Martin Road, Basildon",SS14 3EZ,Southend & Basildon (SS14),01268 244600,https://www.nelft.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,North East London NHS Foundation Trust,CQC directory (auto-downloaded),
TruSmile Dental Practice,,"1 Danacre, Basildon",SS15 5PT,Southend & Basildon (SS15),01268 544218,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,TruSmile Dental Practice,CQC directory (auto-downloaded),
Laindon Health Centre,,"The Laindon Health Centre, Laindon, Basildon",SS15 5TR,Southend & Basildon (SS15),01268 209370,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Laindon Health Centre Dental Practice,CQC directory (auto-downloaded),
Acer Dental Practice,,"2 Roberts Road, Basildon",SS15 6AZ,Southend & Basildon (SS15),01268 541087,https://www.acerdental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr. Chia Yen Huang,CQC directory (auto-downloaded),
Basildon Dental Practice,,"The Dental Surgery, Southview Road,  Vange, Basildon",SS16 4XP,Southend & Basildon (SS16),01268 553315,https://www.basildontdentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Amar Dave And Rahul Patel,CQC directory (auto-downloaded),website unreachable
G&S Partners Dental Surgery,,"12 Kibcaps, Basildon",SS16 5SA,Southend & Basildon (SS16),01268 544838,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Michael Goodchild,CQC directory (auto-downloaded),
Miss Julie Sutton - Kibcaps,,"12 Kibcaps, Basildon",SS16 5SA,Southend & Basildon (SS16),01268 544838,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Miss Julie Sutton,CQC directory (auto-downloaded),
Dental Beauty Basildon,Langdon Hills Dental Care,"1 Alpha House, High Road,  Langdon Hills, Basildon",SS16 6HG,Southend & Basildon (SS16),01268 419845,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Beauty Basildon,CQC directory (auto-downloaded),
Harley Place Dental & Implant Service,Enamel Dental Care - Tooth Doctor Stanford Le Hope,"26 Corringham Road, Stanford Le Hope",SS17 0AH,Southend & Basildon (SS17),01375 641117,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Tooth Doctor (UK) Ltd,CQC directory (auto-downloaded),
