name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
JR Medical Clinic,01702 314497,JR Medical Clinic,SS0 0SX,Southend & Basildon (SS0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Westcliff Dental Practice Ltd,0844 5769669,Westcliff Dental Practice Ltd,SS0 7JJ,Southend & Basildon (SS0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Focus Dental Clinic,01702 476907,Focus Dental Clinic,SS0 8NL,Southend & Basildon (SS0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.focusdentalclinic.co.uk,
Chalkwell Dental Practice,0777 3372113,Chalkwell Dental Practice,SS0 8NU,Southend & Basildon (SS0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Family Dental Westcliff,01702 344275,Family Dental Westcliff,SS0 9DD,Southend & Basildon (SS0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.familydentalwestcliff.co.uk,
Inspire Dental Southend,01702 334334,Inspire Dental Southend,SS0 9LG,Southend & Basildon (SS0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Dr Sai Gathani,01702 335132,Dr Sai Gathani,SS0 9PD,Southend & Basildon (SS0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
ND Rankin & Associates,01702 344844,ND Rankin & Associates,SS0 9PD,Southend & Basildon (SS0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Focus Dental Southend,01702 343744,Focus Dental Southend,SS1 1AN,Southend & Basildon (SS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Royal Mews Dental Practice,01702 352450,Royal Mews Dental Practice,SS1 1DB,Southend & Basildon (SS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.royalMewsDentalPractice.co.uk,
Parmar Dental,01702 467133,Parmar Dental,SS1 2PW,Southend & Basildon (SS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.parmardental.co.uk,
Warwick Lodge Dental Centre,01702 582561,Warwick Lodge Dental Centre,SS1 3BN,Southend & Basildon (SS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thesdc.co.uk,
Smiles on Broadway,01702 588818,Smiles on Broadway,SS1 3ES,Southend & Basildon (SS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smilesonbroadway.co.uk,
Thorpe Bay Dental Practice,01702 584535,Thorpe Bay Dental Practice,SS1 3JY,Southend & Basildon (SS1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thorpe-bay-dental.co.uk,
Affinity Dental Clinic,01268 526262,Affinity Dental Clinic,SS14 1BN,Southend & Basildon (SS14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.affinitydentalclinic.co.uk,
Dhillon and Kazemi,01268 271219,Dhillon and Kazemi,SS14 1BN,Southend & Basildon (SS14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.tanandkazemiorthodonticpractice.co.uk,website unreachable
Eastgate Dental Practice,01268 521603,Eastgate Dental Practice,SS14 1ET,Southend & Basildon (SS14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pitsea Dental Care Ltd,01268 551276,Pitsea Dental Care Ltd,SS14 1TS,Southend & Basildon (SS14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Purely Orthodontics,01268 556633,Purely Orthodontics,SS14 1TS,Southend & Basildon (SS14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile Dental Centre,01268 520555,Smile Dental Centre,SS14 2EZ,Southend & Basildon (SS14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Phoenix House,01268 244600,Phoenix House,SS14 3EZ,Southend & Basildon (SS14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.nelft.nhs.uk,
TruSmile Dental Practice,01268 544218,TruSmile Dental Practice,SS15 5PT,Southend & Basildon (SS15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Laindon Health Centre,01268 209370,Laindon Health Centre,SS15 5TR,Southend & Basildon (SS15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Acer Dental Practice,01268 541087,Acer Dental Practice,SS15 6AZ,Southend & Basildon (SS15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.acerdental.com,
Basildon Dental Practice,01268 553315,Basildon Dental Practice,SS16 4XP,Southend & Basildon (SS16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.basildontdentalpractice.co.uk,website unreachable
G&S Partners Dental Surgery,01268 544838,G&S Partners Dental Surgery,SS16 5SA,Southend & Basildon (SS16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Miss Julie Sutton - Kibcaps,01268 544838,Miss Julie Sutton - Kibcaps,SS16 5SA,Southend & Basildon (SS16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Beauty Basildon,01268 419845,Dental Beauty Basildon,SS16 6HG,Southend & Basildon (SS16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Harley Place Dental & Implant Service,01375 641117,Harley Place Dental & Implant Service,SS17 0AH,Southend & Basildon (SS17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stanford Dental Practice,137567975,Stanford Dental Practice,SS17 0HD,Southend & Basildon (SS17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sorrells Dental Care,01375 640505,Sorrells Dental Care,SS17 7ER,Southend & Basildon (SS17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Homesteads Dental Care,01375 675710,Homesteads Dental Care,SS17 8HD,Southend & Basildon (SS17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Corringham Dental Practice,01375 673228,Corringham Dental Practice,SS17 9AB,Southend & Basildon (SS17),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Advanced Dental Aesthetics,01702 584000,Advanced Dental Aesthetics,SS3 8BA,Southend & Basildon (SS3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Longford House Dental Practice,01702 292615,Longford House Dental Practice,SS3 9HZ,Southend & Basildon (SS3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
