practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
St Albans Smile Studio,,"46 New House Park, St. Albans",AL1 1UJ,St Albans & Hatfield (AL1),0780 1827115,https://www.stalbanssmilestudio.co.uk/,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr Gordon Black,CQC directory (auto-downloaded),
St Peter's Lodge Dental Practice,,"48 Adelaide Street, St Albans",AL3 5DA,St Albans & Hatfield (AL3),01727 853160,https://www.stpeterslodgedentalpractice.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr. Kirit Siani,CQC directory (auto-downloaded),
Visage Dental Spa,,"12 Leyton Green, Harpenden",AL5 2TG,St Albans & Hatfield (AL5),0797 1608227,https://www.visagedentalspa.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Visage Harpenden Limited,CQC directory (auto-downloaded),
Peartree Clinic Welwyn Limited,,"43 Peartree Lane, Welwyn Garden City",AL7 3UA,St Albans & Hatfield (AL7),01707 321071,https://www.peartreeclinic.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Peartree Clinic Welwyn Limited,CQC directory (auto-downloaded),
Dental Beauty Welwyn Garden City,Dental Beauty WGC,"10 Howardsgate, Welwyn Garden City",AL8 6BQ,St Albans & Hatfield (AL8),01707 328008,https://www.dentalbeautywgc.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dental Beauty Welwyn Garden City,CQC directory (auto-downloaded),
St Albans Orthodontic Centre,,"3a Holywell Hill, St Albans",AL1 1ER,St Albans & Hatfield (AL1),01727 238590,https://www.ortho-centre.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ortho-Tek Limited,CQC directory (auto-downloaded),
Priory Park Dentalcare,,"118A Old London Road, St Albans",AL1 1PU,St Albans & Hatfield (AL1),01727 812800,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr. Leo Pascoulis,CQC directory (auto-downloaded),
Family Dental Practice,,"27b Vesta Avenue, St Albans",AL1 2PG,St Albans & Hatfield (AL1),01727 815375,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Sukanthi Rajaratnam,CQC directory (auto-downloaded),
Aviva Dentistry Ltd,,"101 St Peters Street, St Albans",AL1 3EN,St Albans & Hatfield (AL1),01727 854429,https://www.avivacosmeticdentistry.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Aviva Dentistry Limited,CQC directory (auto-downloaded),website unreachable
Alexander House Dental Practice,,"109 St. Peters Street, St. Albans",AL1 3ET,St Albans & Hatfield (AL1),01727 869471,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Alexander House Dental Practice Partnership,CQC directory (auto-downloaded),
The Maltings Dental Surgery,,"54 The Maltings Shopping Centre, St Albans",AL1 3HL,St Albans & Hatfield (AL1),01727 837376,https://www.themaltingsdentalsurgery.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smileright Limited,CQC directory (auto-downloaded),
Regency House Dental Clinic,,"28 St. Peters Street, St. Albans",AL1 3NA,St Albans & Hatfield (AL1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Regeden Limited,CQC directory (auto-downloaded),
